92-U-234(n,total fission) ENDF/B-VII.1
31.0192,0.486647
31.0752,0.847399
31.1018,0.96916
31.1277,1.01668
31.1297,1.01695
31.1541,0.980571
31.1765,0.889383
31.2139,0.661668
31.2537,0.406513
31.2765,0.286732
31.2952,0.208999
31.3102,0.159869
31.3244,0.122905
31.3385,0.0943768
31.3526,0.0726152
31.3667,0.0562828
31.3811,0.0439416
31.3957,0.0348564
31.4102,0.0282291
31.4268,0.0227833
31.4455,0.0184902
31.4662,0.0151744
31.4922,0.0123221
31.5233,0.00998155
31.5596,0.00808494
31.6032,0.00648842
31.653,0.00520482
31.7112,0.00415053
31.7713,0.0033717
31.844,0.00269786
31.927,0.00215326
32.0142,0.00174522
32.1138,0.00140967
32.2259,0.00113936
32.3587,9.12044E-4
32.4957,7.44371E-4
32.6617,5.99162E-4
32.8402,4.8866E-4
33.0436,3.98719E-4
33.2767,3.25846E-4
33.54,2.67654E-4
33.8471,2.20282E-4
34.1578,1.86886E-4
34.5313,1.57714E-4
35.0008,1.32407E-4
35.5984,1.11308E-4
36.1106,9.90903E-5
36.8789,8.72987E-5
37.818,7.82399E-5
38.8424,7.34562E-5
39.7288,7.20783E-5
40.8187,7.46827E-5
41.636,8.12965E-5
42.1128,8.8348E-5
42.6237,9.99361E-5
43.0324,1.15676E-4
43.3389,1.3384E-4
43.6161,1.57554E-4
43.8347,1.85185E-4
44.0533,2.25602E-4
44.2189,2.7006E-4
44.3812,3.32673E-4
44.512,4.05466E-4
44.6313,4.99909E-4
44.7356,6.17888E-4
44.8283,7.67907E-4
44.9095,9.5596E-4
44.979,0.00118575
45.037,0.00145543
45.0867,0.00177797
45.1264,0.00213492
45.1596,0.00254488
45.1885,0.00304849
45.2117,0.00361895
45.232,0.00432147
45.2523,0.00532825
45.2697,0.00656337
45.2846,0.00802162
45.2995,0.00999242
45.3144,0.012653
45.3293,0.0162245
45.3434,0.0206737
45.3583,0.0268164
45.3748,0.0357729
45.3904,0.0466509
45.4073,0.0615942
45.427,0.0836406
45.4507,0.117018
45.4828,0.173009
45.5457,0.292105
45.5782,0.335003
45.6086,0.350085
45.6098,0.350108
45.6391,0.336966
45.6696,0.29885
45.7193,0.206927
45.7604,0.131048
45.7862,0.0921896
45.8071,0.0672408
45.8253,0.050085
45.8418,0.0378732
45.8584,0.0284411
45.8733,0.0219383
45.8874,0.0172075
45.9019,0.0134867
