E(MeV)  pendfb7/Fe56:2
0.026839142  17.2409723
0.026874396  18.6431059
0.02690965  20.1591895
0.026944904  21.7975907
0.026980158  23.5668642
0.027015412  25.4756056
0.027050666  27.5322522
0.02708592  29.7438715
0.0271282248  32.6198511
0.0271705296  35.7301004
0.0272128344  39.1040364
0.0272551392  42.7186199
0.027297444  46.5916704
0.0273538504  52.1031486
0.0274243584  59.4559818
0.0275724252  75.4588457
0.0276358824  81.8217129
0.0276781872  85.6365667
0.027720492  88.9888702
0.0277627968  91.7910211
0.0278022813  93.8475173
0.0278474064  95.4832876
0.0278897112  96.3203241
0.0279214398  96.5134424
0.0279602192  96.2592833
0.028002524  95.4251616
0.0280448288  94.0752127
0.0281294384  90.148598
0.0281858448  86.8807905
0.0284396736  70.2127728
0.028531334  64.5081822
0.028601842  60.4329064
0.02867235  56.6563192
0.028742858  53.1807264
0.028813366  49.9963323
0.028883874  47.0864064
0.028954382  44.4307577
0.02902489  42.0079772
0.029095398  39.7968238
0.029165906  37.7770313
0.029236414  35.9297366
0.029306922  34.2376664
0.029412684  31.9585806
0.0295537  29.3273309
0.029659462  27.6202161
0.029765224  26.0839075
0.029870986  24.7218869
0.029976748  23.4868815
0.03008251  22.3824792
0.030223526  21.0640403
0.030364542  19.9019313
0.030505558  18.8715844
0.030646574  17.9530453
0.030822844  16.9356566
0.030999114  16.0457022
0.031175384  15.2559061
0.031386908  14.423641
0.031598432  13.694773
0.031809956  13.0546667
0.03202148  12.4793543
0.032303512  11.8096614
0.032585544  11.2273493
0.032867576  10.7165712
0.033149608  10.26501
0.033502148  9.76916498
0.033889942  9.29577114
0.0342098172  8.95885972
0.0342164256  8.96949085
0.034220592  9.01539215
0.0342225556  9.06501352
0.0342253469  9.18053226
0.0342307551  9.48582579
0.0342340921  9.56939995
0.0342363029  9.5289469
0.0342437697  9.12569625
0.034246561  9.02379497
0.0342500501  8.95920278
0.0342584241  8.91682258
0.0344077597  8.75798447
0.0348943329  8.32786143
0.0354353004  7.91799836
0.0360254468  7.53496546
0.03669557  7.16771562
0.036703745  7.17547137
0.0367076282  7.2099026
0.0367099444  7.27380605
0.0367117838  7.37404463
0.0367131463  7.49029038
0.0367145088  7.65085049
0.0367158713  7.85921284
0.0367176153  8.18894132
0.036720531  8.80590435
0.036721621  9.01088278
0.036722711  9.17554921
0.036723801  9.28511163
0.0367250218  9.32987531
0.0367260628  9.29902263
0.0367270165  9.21717791
0.036728924  8.92712411
0.0367323848  8.20684084
0.0367341288  7.87509178
0.0367354913  7.664053
0.0367368538  7.50027707
0.0367382163  7.38060447
0.0367400557  7.27580981
0.0367423719  7.20668604
0.036746255  7.16498477
0.03676533  7.13478337
0.0372641406  6.8903574
0.038394039  6.43563408
0.038400885  6.45211343
0.0384041858  6.49861732
0.038407731  6.62894811
0.038410176  6.7827776
0.0384143814  7.09519238
0.0384161418  7.18683538
0.0384180685  7.22393615
0.0384195648  7.20026285
0.0384210318  7.13622123
0.038426802  6.7220289
0.038429247  6.58578156
0.0384315087  6.50623901
0.038434626  6.45205219
0.038439516  6.42713285
0.0394901704  6.07200821
0.0404983301  5.79116731
0.0415781175  5.53150095
0.04279854  5.2770278
0.0442443339  5.01643273
0.0456461925  4.79775785
0.0458468842  4.7792218
0.045939094  4.80354434
0.0459662145  4.84092909
0.0459831648  4.89379029
0.0459933349  4.95210791
0.0460018102  5.03279379
0.0460068952  5.10663676
0.0460111667  5.19354182
0.0460154382  5.31698973
0.0460182858  5.43123988
0.0460203199  5.53653414
0.0460223539  5.67025609
0.0460238794  5.79659759
0.0460254049  5.95417905
0.046026761  6.13030505
0.046027778  6.29230082
0.046028795  6.48777862
0.046029812  6.72607315
0.04603049  6.91450192
0.046031168  7.13149524
0.046031846  7.38201286
0.0460325241  7.67177898
0.0460332021  8.00713364
0.0460338801  8.3952884
0.0460345581  8.8441267
0.0460350666  9.22568014
0.0460355751  9.64992853
0.0460360836  10.1207655
0.0460365921  10.6421381
0.0460371006  11.2179757
0.0460377109  11.9863831
0.046038372  12.9206722
0.046039033  13.9675497
0.0460396941  15.1328678
0.0460403551  16.4198825
0.0460407958  17.3463568
0.0460414738  18.8775618
0.0460421518  20.5328931
0.0460428298  22.3038143
0.0460438469  25.1473926
0.0460471013  34.8958919
0.0460479827  37.3852037
0.0460486607  39.1538511
0.0460493387  40.7528541
0.0460499761  42.0687257
0.0460506134  43.1746776
0.0460513864  44.20085
0.0460519152  44.687578
0.0460524576  44.9957547
0.0460530298  45.1057215
0.0460535424  45.0150371
0.0460542747  44.5785463
0.0460548442  43.9971059
0.0460554138  43.214935
0.0460559833  42.2461275
0.0460566613  40.8726535
0.0460573393  39.2911088
0.0460583563  36.6087053
0.0460592377  34.0722112
0.046061882  26.1332459
0.046062899  23.2390252
0.046063577  21.4235837
0.046064255  19.7177367
0.046064933  18.1320122
0.046065611  16.6726402
0.0460661195  15.66259
0.0460665772  14.8152376
0.0460671536  13.8300783
0.0460677299  12.9337683
0.0460683062  12.1223078
0.0460688825  11.3910851
0.0460694588  10.7349301
0.0460700351  10.1483237
0.0460706114  9.62558047
0.0460712386  9.12257959
0.0460719166  8.64804504
0.0460725946  8.23698164
0.0460732726  7.88131821
0.0460739506  7.5736662
0.0460746286  7.30737028
0.0460753066  7.0765194
0.0460763236  6.78554781
0.0460773407  6.54813109
0.0460783577  6.35268046
0.0460797137  6.14192662
0.0460810697  5.97381684
0.0460829004  5.79517893
0.046084053  5.70371117
0.0460863582  5.55557139
0.0460886635  5.44096121
0.0460909687  5.34989202
0.0460943588  5.24591514
0.046099444  5.13413223
0.046104529  5.05573414
0.0461113091  4.98256563
0.0461180892  4.93150993
0.0461323275  4.86374688
0.0461506339  4.81536431
0.0461777544  4.77696226
0.0462374194  4.73842532
0.0463892942  4.69838697
0.0473244347  4.56261466
0.0494283242  4.30140256
0.051282132  4.0977178
0.051662424  4.07391651
0.051795084  4.08532626
0.05187468  4.11579209
0.051914478  4.14921756
0.051949854  4.20181171
0.0519774915  4.27202902
0.051994074  4.33623434
0.0520106565  4.42828795
0.0520237014  4.53144178
0.0520349775  4.65484325
0.0520424949  4.76278789
0.0520484646  4.86875926
0.0520550976  5.01471298
0.0520595196  5.13344243
0.0520639416  5.27421229
0.0520683636  5.4427762
0.0520727856  5.64691086
0.0520761021  5.82964869
0.0520794186  6.04435703
0.0520825693  6.28509731
0.0520853883  6.53819127
0.0520882074  6.83551962
0.0520910264  7.18802817
0.0520929057  7.46072036
0.0520947851  7.76988843
0.0520966644  8.12232771
0.0520983227  8.47600014
0.0520999809  8.87714003
0.0521016392  9.33465763
0.0521032974  9.85946521
0.0521049557  10.4652813
0.0521060612  10.9223985
0.0521071667  11.4290895
0.0521082722  11.9924271
0.0521093777  12.6206215
0.0521104832  13.3231751
0.0521115887  14.1110342
0.0521126942  14.99672
0.0521137997  15.9944183
0.0521147946  17.0011443
0.052115679  17.9932176
0.0521165634  19.0866221
0.0521174478  20.2912906
0.0521183322  21.6173825
0.0521192166  23.0750061
0.052120101  24.6738569
0.0521209854  26.4227659
0.0521219804  28.5789383
0.0521228095  30.5332995
0.0521236386  32.6332283
0.0521247441  35.6579083
0.0521258496  38.9286419
0.0521269551  42.4219538
0.0521286134  47.9928358
0.0521321289  60.1999749
0.0521335218  64.6966379
0.0521346052  67.855597
0.0521355339  70.244826
0.0521364624  72.2778186
0.0521373468  73.8361905
0.0521382312  74.9879954
0.052139036  75.6591168
0.0521400354  75.9718746
0.0521409728  75.733619
0.0521418572  75.0432052
0.0521427416  73.9183953
0.052143626  72.3870539
0.0521444441  70.6404922
0.0521455717  67.7799574
0.0521466994  64.4887401
0.0521480702  60.0697025
0.0521521605  45.996648
0.052153266  42.3601749
0.0521543715  38.9107788
0.052155477  35.6842263
0.0521563891  33.2058037
0.0521573011  30.9004064
0.0521582132  28.7687305
0.0521591252  26.8085273
0.0521600372  25.0137755
0.0521608387  23.5667471
0.0521618337  21.9297751
0.0521628286  20.4567719
0.0521638236  19.1332602
0.0521648185  17.9453329
0.0521658135  16.8790379
0.0521668084  15.9216516
0.0521678034  15.0610061
0.0521688536  14.2456217
0.0521699591  13.4780859
0.0521710646  12.7920108
0.0521721701  12.1770359
0.0521732756  11.6241737
0.0521743811  11.1256597
0.0521754866  10.6748019
0.0521771448  10.0755036
0.0521788031  9.5544221
0.0521804613  9.09863595
0.0521821196  8.69763045
0.0521837778  8.34297845
0.0521859888  7.93039696
0.0521881998  7.57494255
0.0521904108  7.2664353
0.0521926218  6.99687146
0.0521948328  6.7598941
0.0521981493  6.45464629
0.0522014658  6.19812955
0.0522047823  5.98042683
0.0522080988  5.7940296
0.0522125208  5.58440801
0.0522169428  5.41001053
0.0522213648  5.26330035
0.0522266712  5.11600114
0.0522319776  4.99339387
0.0522399372  4.84458187
0.0522469019  4.74033687
0.0522555248  4.63604785
0.0522684591  4.51666986
0.0522826095  4.42060791
0.052299192  4.33808083
0.052321302  4.26007019
0.052354467  4.18315994
0.052394265  4.12525411
0.05244954  4.07552383
0.052529136  4.03289477
0.052688328  3.98578231
0.053042088  3.92805319
0.0535030572  3.87436291
0.0535290463  3.8817179
0.053535437  3.89847588
0.0535382064  3.92221687
0.0535402834  3.95902844
0.0535420409  4.0135096
0.0535436386  4.09172736
0.0535447037  4.16433823
0.0535457581  4.25606634
0.0535468019  4.36923315
0.0535478457  4.50698018
0.0535488895  4.67068526
0.0535500931  4.89159935
0.0535514565  5.17959809
0.0535555466  6.15411286
0.0535569099  6.44497488
0.053557762  6.59848402
0.0535586141  6.72334386
0.0535595089  6.81841581
0.0535604887  6.87545419
0.0535610682  6.8847804
0.0535619118  6.86547967
0.0535627894  6.80494907
0.0535643232  6.60882812
0.0535652605  6.44137845
0.0535666239  6.15140929
0.0535703731  5.26190359
0.053571566  5.00352895
0.0535728762  4.7527941
0.0535741863  4.54165992
0.0535750597  4.42338445
0.0535761249  4.30239865
0.05357719  4.2048403
0.0535782551  4.1277957
0.0535798528  4.04374428
0.0535814505  3.98834128
0.0535835807  3.94399457
0.0535866164  3.91292697
0.0535916756  3.89303519
0.0536104218  3.87345323
0.053658981  3.86007853
0.0536777549  3.87009845
0.053704272  3.85484131
0.0590532382  3.31905394
0.0591084441  3.32526387
0.0591347326  3.33864625
0.0591528059  3.36020579
0.0591675932  3.39693379
0.0591774515  3.4436047
0.0591840236  3.49543732
0.0591889527  3.55450793
0.0591922387  3.60988586
0.0591950976  3.67439324
0.0591975293  3.74730808
0.0591993531  3.81809186
0.0592011768  3.90902872
0.0592023926  3.98523546
0.0592036084  4.07836809
0.0592049229  4.20431271
0.0592059087  4.3212435
0.0592068945  4.46288093
0.0592078803  4.63536616
0.0592085375  4.77111696
0.0592091948  4.92644355
0.059209852  5.10414635
0.0592105092  5.3073842
0.0592111664  5.53957188
0.0592118236  5.80437769
0.0592124808  6.10568336
0.059213138  6.44752626
0.0592137952  6.83402201
0.0592144196  7.24632598
0.0592150111  7.68057504
0.0592156026  8.16007265
0.0592161941  8.68725418
0.0592167856  9.26418044
0.0592173771  9.89242839
0.0592179686  10.5729776
0.0592185601  11.306096
0.0592191844  12.136262
0.0592198416  13.0707965
0.0592204988  14.0639479
0.0592214846  15.6515409
0.0592227991  17.9094622
0.059225165  22.106714
0.0592262165  23.8821056
0.0592272024  25.4111458
0.0592281882  26.7515633
0.0592288454  27.5145362
0.059229713  28.3349331
0.0592304227  28.8312105
0.0592311062  29.1493834
0.0592321052  29.3195782
0.0592328938  29.2027383
0.0592335773  28.924616
0.0592342871  28.4685461
0.0592351546  27.6948909
0.0592358118  26.9648746
0.0592367977  25.6691173
0.0592377835  24.1787374
0.0592389665  22.2113477
0.0592417925  17.2598781
0.0592427783  15.6049691
0.0592437642  14.0465906
0.0592444214  13.0735804
0.0592450786  12.1591214
0.0592457194  11.3269349
0.0592463438  10.5740627
0.0592469681  9.87892812
0.0592475925  9.24070287
0.0592482168  8.65817026
0.0592488412  8.12905464
0.0592494655  7.65091379
0.0592500899  7.22059567
0.0592507307  6.82536125
0.0592513879  6.46498749
0.0592520451  6.14615477
0.0592527023  5.86486898
0.0592533595  5.61726171
0.0592540167  5.39965379
0.0592546739  5.20860067
0.0592553311  5.04092179
0.0592560212  4.88683688
0.0592567442  4.74633488
0.0592578285  4.56923969
0.0592589129  4.42482082
0.0592599973  4.30607305
0.0592614431  4.17829922
0.0592633163  4.05050678
0.0592651893  3.95236303
0.0592676867  3.85230311
0.0592701841  3.77592697
0.0592730759  3.70734719
0.0592763619  3.64715923
0.059281291  3.5802987
0.0592878631  3.51849
0.0592977213  3.45877876
0.0593082367  3.41862795
0.0593253243  3.37893472
0.0593713291  3.33073694
0.0594475657  3.30039376
0.0596536777  3.26505714
0.062701154  2.92546543
0.0634293527  2.83596367
0.0634432204  2.84128124
0.0634466028  2.8502884
0.0634491396  2.86736216
0.0634508308  2.8891795
0.063452522  2.92533486
0.0634537904  2.96624655
0.0634550587  3.0232375
0.0634559889  3.07778544
0.0634569191  3.14515268
0.0634578493  3.22711999
0.0634587794  3.32529846
0.063459625  3.42974933
0.0634604706  3.54935736
0.0634613162  3.6843522
0.0634625423  3.90666537
0.0634636838  4.13918965
0.0634679118  5.10391187
0.0634692647  5.389071
0.0634704147  5.59621223
0.0634712265  5.71604274
0.0634722412  5.82900703
0.0634732153  5.89442757
0.0634741489  5.91485422
0.0634751162  5.89153708
0.0634760971  5.82284303
0.0634771118  5.70748843
0.0634780589  5.56404569
0.0634790736  5.37881375
0.0634800883  5.16899441
0.0634835553  4.38327772
0.0634850774  4.05935773
0.0634862612  3.83336096
0.0634871068  3.68864709
0.0634879524  3.55877389
0.063488798  3.44389178
0.0634896858  3.3390293
0.063490616  3.24554392
0.0634915461  3.16747244
0.0634924763  3.10316771
0.0634937869  3.03257405
0.0634946325  2.99742391
0.0634963237  2.94609991
0.0634980149  2.91325251
0.0634997061  2.89246385
0.0635030885  2.87054991
0.0635112062  2.85248572
0.063536574  2.8361199
0.0636677627  2.81157329
0.0651685201  2.60836465
0.0661932303  2.45221031
0.0670467403  2.30547697
0.0676868728  2.18212228
0.0683270052  2.04387321
0.0688604489  1.91381231
0.0692872039  1.79830032
0.06960727  1.70286901
0.069945343  1.59255621
0.0702411569  1.48655499
0.0705369708  1.37027835
0.0707905255  1.26090679
0.0710018212  1.16184919
0.0712131168  1.05501885
0.0713990569  0.953537529
0.0715736716  0.85161173
0.0717215786  0.759846349
0.0718606956  0.668929726
0.0719994746  0.573934571
0.0721343657  0.477977588
0.0724747207  0.229114618
0.0725378558  0.184659534
0.0725805376  0.155624208
0.0726144294  0.133391495
0.0726397849  0.117339716
0.0726693663  0.099355904
0.0726904958  0.087074874
0.0727116254  0.075329877
0.0727310646  0.065053204
0.0727479682  0.05657259
0.0727614911  0.050120692
0.072775014  0.043983969
0.0727872692  0.038713609
0.0727983622  0.034203881
0.0728094552  0.029950266
0.0728179071  0.02689357
