E(MeV)  pendfb7/Pu240:2
3.42407077e-07  0.022067933
3.43128899e-07  0.021362897
3.4385378e-07  0.02066889
3.44581721e-07  0.01998618
3.45309662e-07  0.019317816
3.46037602e-07  0.018663893
3.465851e-07  0.018181634
3.47135684e-07  0.017704987
3.47686268e-07  0.017236733
3.48236852e-07  0.016776913
3.48787435e-07  0.01632557
3.49338019e-07  0.015882741
3.4989327e-07  0.015444825
3.50448521e-07  0.015015655
3.51003772e-07  0.014595273
3.51559023e-07  0.014183721
3.52114274e-07  0.013781044
3.52672663e-07  0.013385085
3.53232621e-07  0.012997113
3.53792578e-07  0.012618301
3.54352536e-07  0.012248693
3.54912493e-07  0.011888333
3.55474033e-07  0.01153629
3.56038738e-07  0.011191735
3.56603443e-07  0.010856727
3.56979913e-07  0.010638715
3.57356383e-07  0.010424982
3.57732852e-07  0.010215542
3.58109322e-07  0.010010408
3.58609237e-07  0.00974469
3.59076758e-07  0.009503115
3.59544278e-07  0.009268261
3.60011799e-07  0.009040154
3.6047932e-07  0.008818824
3.60952407e-07  0.008601783
3.61436625e-07  0.008386881
3.61920844e-07  0.008179338
3.62243657e-07  0.008045081
3.62566469e-07  0.007914118
3.62889282e-07  0.007786458
3.63212094e-07  0.007662111
3.63534907e-07  0.007541087
3.63857719e-07  0.007423395
3.64180532e-07  0.007309043
3.64503344e-07  0.007198043
3.64826157e-07  0.007090402
3.65148969e-07  0.006986132
3.65471782e-07  0.00688524
3.65794594e-07  0.006787737
3.66117407e-07  0.006693633
3.66440219e-07  0.006602937
3.66763032e-07  0.006515659
3.67085844e-07  0.006431808
3.67408657e-07  0.006351394
3.67731469e-07  0.006274427
3.68054282e-07  0.006200916
3.68377094e-07  0.006130872
3.68699907e-07  0.006064304
3.69022719e-07  0.006001223
3.69345532e-07  0.005941637
3.69668344e-07  0.005885557
3.69991157e-07  0.005832993
3.70313969e-07  0.005783954
3.70636782e-07  0.005738451
3.70959594e-07  0.005696495
3.71282407e-07  0.005658093
3.71605219e-07  0.005623258
3.71928032e-07  0.005591998
3.72250844e-07  0.005564325
3.72573657e-07  0.005540248
3.72896469e-07  0.005519777
3.73219282e-07  0.005502923
3.73542094e-07  0.005489696
3.73897188e-07  0.005479347
3.74187719e-07  0.005474163
3.74526672e-07  0.005471861
3.74865625e-07  0.005473603
3.75156157e-07  0.005478324
3.75414407e-07  0.005485029
3.75737219e-07  0.005496739
3.76060032e-07  0.005512156
3.76382844e-07  0.005531292
3.76705657e-07  0.005554157
3.77028469e-07  0.005580761
3.77351282e-07  0.005611115
3.77674094e-07  0.005645229
3.77996907e-07  0.005683116
3.78319719e-07  0.005724784
3.78642532e-07  0.005770244
3.78965344e-07  0.005819509
3.79288157e-07  0.005872587
3.79610969e-07  0.005929491
3.79933782e-07  0.00599023
3.80256594e-07  0.006054816
3.80579407e-07  0.006123261
3.80902219e-07  0.006195573
3.81225032e-07  0.006271766
3.81547844e-07  0.006351848
3.81870657e-07  0.006435833
3.82193469e-07  0.00652373
3.82516282e-07  0.006615551
3.82839094e-07  0.006711307
3.83161907e-07  0.006811009
3.83484719e-07  0.006914669
3.83807532e-07  0.007022297
3.84130344e-07  0.007133904
3.84453157e-07  0.007249503
3.84775969e-07  0.007369104
3.85098782e-07  0.007492719
3.85421594e-07  0.007620359
3.85744407e-07  0.007752036
3.86067219e-07  0.007887761
3.86390032e-07  0.008027545
3.86712844e-07  0.0081714
3.87035657e-07  0.008319338
3.87358469e-07  0.008471369
3.87681282e-07  0.008627507
3.88004094e-07  0.008787762
3.88326907e-07  0.008952147
3.88649719e-07  0.009120671
3.88972532e-07  0.009293349
3.89295344e-07  0.009470191
3.89618157e-07  0.009651209
3.89940969e-07  0.009836415
3.90263782e-07  0.010025821
3.90586594e-07  0.010219439
3.90909407e-07  0.010417281
3.91232219e-07  0.010619358
3.91716438e-07  0.010930442
3.92200657e-07  0.011251125
3.92684875e-07  0.011581446
3.93169094e-07  0.011921448
3.93653313e-07  0.012271172
3.94137532e-07  0.012630658
3.9462175e-07  0.012999948
3.95105969e-07  0.013379086
3.95590188e-07  0.013768111
