E(MeV)  pendfb7/Be9:2
3.3006792e-08  6.38893917
3.6371267e-08  6.36444839
4.0248565e-08  6.34132268
4.4916755e-08  6.31879867
5.0338841e-08  6.29790253
5.689267e-08  6.27798129
6.4845994e-08  6.25923067
7.4536371e-08  6.2418047
8.6402653e-08  6.22580046
1.01433412e-07  6.21091956
1.21106371e-07  6.19705281
1.46436073e-07  6.18474062
1.80841467e-07  6.17363377
2.30999989e-07  6.16339829
3.05203765e-07  6.15426937
4.1709195e-07  6.14663676
6.04694075e-07  6.14030356
9.53892859e-07  6.13541899
4.36157631e-06  6.13025308
1.95979295e-05  6.14301427
3.32519408e-05  6.18906395
8.21340905e-05  6.42738938
0.000104060119  6.46247868
0.000379467631  6.46415341
0.0104272284  6.19689112
0.0283375696  5.92269666
0.0521361418  5.60417861
0.1  5.06373882
0.25  3.97776779
0.5  3.28527793
0.55  3.32841037
0.57  3.44377913
0.58  3.57972095
0.59  3.85482087
0.6  4.48267014
0.61  5.98918542
0.615  7.09514787
0.6175  7.53765006
0.62  7.74734193
0.6220625  7.69777826
0.623  7.6112236
0.625  7.32210822
0.63  6.33286292
0.64  4.83357961
0.65  4.14808315
0.66  3.82424269
0.66715  3.69228722
0.67  3.65287498
0.7  3.44991591
0.74  3.37610403
0.75  3.36689108
0.795  3.37575214
0.8  3.48343267
0.805  4.02796619
0.809921875  5.77944995
0.81  5.79536564
0.81015625  5.7836433
0.81203125  5.4672101
0.815  4.58857287
0.82  3.93957254
0.825  3.71569784
0.83  3.6142987
0.9  3.40404894
1  3.27428448
1.05  3.18389035
1.11551908  3.04149911
1.2  2.8355974
1.38376397  2.36575676
1.5  2.09592737
1.7488  1.70949211
1.8  1.66837829
1.88  1.6283223
2  1.61811947
2.1  1.65499062
2.2  1.74555438
2.25  1.81458236
2.44  2.19935815
2.55  2.53618018
2.6  2.7998711
2.65  3.23823702
2.7  3.81483572
2.725  3.97071591
2.74960938  3.94722834
2.8  3.61054652
2.9  3.02962979
3  2.69972418
3.1  2.42322772
3.2  2.20952013
3.3  2.03292066
