E(MeV)  pendfb7/H1:102
8.17785e-09  0.583977948
8.42299e-09  0.575417246
8.675632e-09  0.566977019
8.935694e-09  0.558665536
9.203714e-09  0.550471017
9.479605e-09  0.542401506
9.76394e-09  0.534445547
1.0056625e-08  0.526610959
1.0358267e-08  0.518886608
1.0668767e-08  0.51128011
1.098877e-08  0.503780634
1.131817e-08  0.496395578
1.1657652e-08  0.489114419
1.2007102e-08  0.481944369
1.2367248e-08  0.474875181
1.2737969e-08  0.467913867
1.3120036e-08  0.461050494
1.3513323e-08  0.454291825
1.3918647e-08  0.447628256
1.4335873e-08  0.441066351
1.4765869e-08  0.434596772
1.5208491e-08  0.428225902
1.5664661e-08  0.421944663
1.6134225e-08  0.415759267
1.6618162e-08  0.409660889
1.7116308e-08  0.403655563
1.7629702e-08  0.397734724
1.8158171e-08  0.391904226
1.8702814e-08  0.386155757
1.926345e-08  0.380494998
1.9841246e-08  0.374913879
2.0436008e-08  0.369417918
2.1048973e-08  0.363999285
2.1679938e-08  0.358663317
2.2330215e-08  0.353402428
2.2999587e-08  0.348221807
2.3689445e-08  0.343114076
2.4399561e-08  0.338084273
2.5268741e-08  0.332218776
2.53e-08  0.332013478
2.6058858e-08  0.327143491
2.684e-08  0.322347806
2.7645049e-08  0.317619595
2.8473738e-08  0.312963523
2.9327791e-08  0.308372959
3.0206922e-08  0.303852437
3.111296e-08  0.299395518
3.2045604e-08  0.295006596
3.3006792e-08  0.290679428
3.3996206e-08  0.286418278
3.5015901e-08  0.282217082
3.6065539e-08  0.278079985
3.7147303e-08  0.274001097
3.8260833e-08  0.269984439
3.9408443e-08  0.266024294
4.0589752e-08  0.262124572
4.1807217e-08  0.258279718
4.3060432e-08  0.254493525
4.4352004e-08  0.250760601
4.5681502e-08  0.247084634
4.705169e-08  0.243460386
4.8462114e-08  0.239891432
4.9915706e-08  0.236372693
5.1411981e-08  0.232907642
5.2954052e-08  0.229491342
5.4541406e-08  0.226127165
5.6177342e-08  0.22281032
5.7861316e-08  0.219544083
5.9596832e-08  0.216323798
6.1383309e-08  0.21315265
6.3224464e-08  0.210026116
6.5119683e-08  0.206947285
6.7072909e-08  0.203911771
6.9083489e-08  0.200922573
7.1155607e-08  0.197975429
7.328857e-08  0.195073253
7.5486817e-08  0.192211908
7.7749613e-08  0.18939422
8.0081665e-08  0.186616176
8.2482197e-08  0.183880518
8.49562e-08  0.181183348
8.7502851e-08  0.178527331
9.0127446e-08  0.175908682
9.2829111e-08  0.173329987
9.5613464e-08  0.170787572
9.8479577e-08  0.16828395
1.01433412e-07  0.165815551
1.04473985e-07  0.163384814
1.07607619e-07  0.160988275
1.1083327e-07  0.158628302
1.14157646e-07  0.156301532
1.17579641e-07  0.154010264
1.21106371e-07  0.151751231
1.24736661e-07  0.149526667
1.28478062e-07  0.147333399
1.32329326e-07  0.145173597
1.36298464e-07  0.14304418
1.40384153e-07  0.140947255
1.4459489e-07  0.13887983
1.48929273e-07  0.13684395
1.53396316e-07  0.134836714
1.57994531e-07  0.132860101
1.62733481e-07  0.1309113
1.67611588e-07  0.128992232
1.72638996e-07  0.127100163
1.7781403e-07  0.125236964
1.83147454e-07  0.123399978
1.8863749e-07  0.121591021
1.94295557e-07  0.119807513
2.0011977e-07  0.118051219
2.06122241e-07  0.116319633
2.12300971e-07  0.114614468
2.18668809e-07  0.112933293
2.25223636e-07  0.111277768
2.31979082e-07  0.109645535
2.38932897e-07  0.108038206
2.46099545e-07  0.106453491
2.53476636e-07  0.104892956
2.61079514e-07  0.103354375
2.68905645e-07  0.10183927
2.76971307e-07  0.100345481
2.85273811e-07  0.098874483
2.93830426e-07  0.097424181
3.02638301e-07  0.095996007
3.11715753e-07  0.094587927
3.21059758e-07  0.09320133
3.30689751e-07  0.091834241
3.40602522e-07  0.09048801
3.50818688e-07  0.089160719
3.61334845e-07  0.08785368
3.72172865e-07  0.086565027
3.83329135e-07  0.085296036
