E(MeV)  pendfb7/Na23:102
8.17785e-09  0.928680089
8.42299e-09  0.915065873
8.675632e-09  0.90164331
8.935694e-09  0.888425543
9.203714e-09  0.875393842
9.479605e-09  0.862560985
9.76394e-09  0.849908772
1.0056625e-08  0.837449619
1.0358267e-08  0.825165831
1.0668767e-08  0.813069508
1.098877e-08  0.801143428
1.131817e-08  0.789399353
1.1657652e-08  0.777820547
1.2007102e-08  0.76641847
1.2367248e-08  0.755176832
1.2737969e-08  0.744106768
1.3120036e-08  0.733192491
1.3513323e-08  0.722444739
1.3918647e-08  0.711848243
1.4335873e-08  0.701413434
1.4765869e-08  0.691125461
1.5208491e-08  0.680994463
1.5664661e-08  0.671005999
1.6134225e-08  0.661169948
1.6618162e-08  0.651472262
1.7116308e-08  0.641922535
1.7629702e-08  0.632507144
1.8158171e-08  0.62323539
1.8702814e-08  0.614094057
1.926345e-08  0.605092159
1.9841246e-08  0.596216877
2.0436008e-08  0.58747697
2.1048973e-08  0.578859992
2.1679938e-08  0.570374422
2.2330215e-08  0.562008202
2.2999587e-08  0.553769586
2.3689445e-08  0.545646838
2.4399561e-08  0.53764798
2.5268741e-08  0.52832008
2.53e-08  0.527993596
2.6058858e-08  0.520248821
2.684e-08  0.512622191
2.7645049e-08  0.505102871
2.8473738e-08  0.497698274
2.9327791e-08  0.490397885
3.0206922e-08  0.483208923
3.111296e-08  0.476121165
3.2045604e-08  0.469141622
3.3006792e-08  0.462260376
3.3996206e-08  0.455484222
3.5015901e-08  0.448803546
3.6065539e-08  0.442224934
3.7147303e-08  0.435739033
3.8260833e-08  0.429352247
3.9408443e-08  0.423055488
4.0589752e-08  0.416854957
4.1807217e-08  0.410741825
4.3060432e-08  0.404722102
4.4352004e-08  0.398787195
4.5681502e-08  0.392942947
4.705169e-08  0.387181011
4.8462114e-08  0.381507039
4.9915706e-08  0.375912936
5.1411981e-08  0.370404188
5.2954052e-08  0.364972937
5.4541406e-08  0.359624512
5.6177342e-08  0.354351298
5.7861316e-08  0.349158475
5.9596832e-08  0.344038654
6.1383309e-08  0.338996881
6.3224464e-08  0.334025969
6.5119683e-08  0.329130843
6.7072909e-08  0.324304533
6.9083489e-08  0.319551797
7.1155607e-08  0.31486588
7.328857e-08  0.310251851
7.5486817e-08  0.305702237
7.7749613e-08  0.301221988
8.0081665e-08  0.296804714
8.2482197e-08  0.292454773
8.49562e-08  0.288165961
8.7502851e-08  0.283942501
9.0127446e-08  0.279778371
9.2829111e-08  0.27567767
9.5613464e-08  0.271634548
9.8479577e-08  0.267652992
1.01433412e-07  0.263727326
1.04473985e-07  0.259861429
1.07607619e-07  0.256049801
1.1083327e-07  0.25229622
1.14157646e-07  0.248595356
1.17579641e-07  0.244950881
1.21106371e-07  0.241357626
1.24736661e-07  0.237819157
1.28478062e-07  0.23433045
1.32329326e-07  0.230894965
1.36298464e-07  0.227507813
1.40384153e-07  0.224172347
1.4459489e-07  0.220883816
1.48929273e-07  0.217645468
1.53396316e-07  0.214452693
1.57994531e-07  0.211308645
1.62733481e-07  0.208208859
1.67611588e-07  0.205156409
1.72638996e-07  0.202146972
1.7781403e-07  0.199183543
1.83147454e-07  0.196261923
1.8863749e-07  0.193385015
1.94295557e-07  0.190548726
2.0011977e-07  0.187755852
2.06122241e-07  0.185002405
2.12300971e-07  0.182291089
2.18668809e-07  0.179618029
2.25223636e-07  0.176985847
2.31979082e-07  0.174390775
2.38932897e-07  0.171835354
2.46099545e-07  0.169315919
2.53476636e-07  0.16683494
2.61079514e-07  0.164388871
2.68905645e-07  0.161980127
2.76971307e-07  0.159605275
2.85273811e-07  0.157266657
2.93830426e-07  0.154960936
3.02638301e-07  0.152690379
3.11715753e-07  0.150451745
3.21059758e-07  0.148247233
3.30689751e-07  0.146073699
3.40602522e-07  0.143933299
3.50818688e-07  0.141823012
3.61334845e-07  0.139744954
3.72172865e-07  0.13769618
3.83329135e-07  0.135678687
3.9482686e-07  0.133689541
4.06662208e-07  0.131730649
4.18859794e-07  0.129799202
4.31415555e-07  0.127897148
4.44355602e-07  0.126021849
4.57675626e-07  0.12417521
4.71403329e-07  0.122354581
4.85534136e-07  0.120561662
5.00097438e-07  0.118793769
5.15088382e-07  0.11705256
5.30538145e-07  0.115335557
5.46441581e-07  0.113644553
5.62831765e-07  0.111977288
5.79703235e-07  0.110335526
5.97091082e-07  0.108716942
6.14989512e-07  0.107123049
6.33435749e-07  0.105551497
6.52423648e-07  0.10400386
6.71992699e-07  0.102478042
6.92136383e-07  0.100975612
7.12896594e-07  0.099494371
7.34266415e-07  0.098035678
7.5629029e-07  0.09659745
7.78960882e-07  0.095181198
8.02325342e-07  0.093784953
8.26375882e-07  0.092409999
8.51162526e-07  0.091054249
8.76677012e-07  0.089719081
9.02972407e-07  0.088402854
9.30039949e-07  0.087107204
9.57935933e-07  0.085830602
9.86651065e-07  0.084574685
1.01195589e-06  0.083513758
1.04050974e-06  0.082364691
1.06986929e-06  0.081232487
1.10005725e-06  0.080116475
1.13109702e-06  0.079016178
1.16301262e-06  0.077931228
1.19582876e-06  0.076861205
1.22957087e-06  0.075805765
1.26426505e-06  0.074764831
