E(MeV)  pendfb7/H2:2
1e-11  137.875452
1.02999e-11  135.854428
1.06087e-11  133.86368
1.09269e-11  131.901224
1.12544e-11  129.968763
1.1592e-11  128.063556
1.19395e-11  126.1873
1.22976e-11  124.337591
1.26662e-11  122.515991
1.30462e-11  120.719931
1.34372e-11  118.951631
1.38403e-11  117.207963
1.42552e-11  115.491109
1.46827e-11  113.798443
1.51229e-11  112.131402
1.55765e-11  110.487801
1.60434e-11  108.86958
1.65246e-11  107.273978
1.70199e-11  105.702794
1.75304e-11  104.153817
1.80559e-11  102.62828
1.85975e-11  101.12435
1.9155e-11  99.6433539
1.97295e-11  98.1833019
2.03209e-11  96.7454103
2.09305e-11  95.3277382
2.15579e-11  93.9319194
2.22045e-11  92.5556263
2.28701e-11  91.2004253
2.35561e-11  89.864203
2.42622e-11  88.5485434
2.49899e-11  87.2513546
2.5739e-11  85.9739588
2.6511e-11  84.714621
2.73057e-11  83.4744241
2.81247e-11  82.2518171
2.89678e-11  81.0477573
2.98367e-11  79.8607117
3.07311e-11  78.6918401
3.16528e-11  77.5394621
3.26017e-11  76.4046159
3.35795e-11  75.2858317
3.45861e-11  74.1840881
3.56235e-11  73.0978989
3.66913e-11  72.0283183
3.77919e-11  70.9737959
3.89247e-11  69.9354246
4.00923e-11  68.9116409
4.12941e-11  67.9035801
4.25327e-11  66.9096628
4.38076e-11  65.931011
4.51216e-11  64.9661256
4.64742e-11  64.0159955
4.78681e-11  63.079286
4.9303e-11  62.1568617
5.07818e-11  61.2474951
5.23041e-11  60.3519869
5.38729e-11  59.4691441
5.54878e-11  58.5997954
5.71521e-11  57.7427351
5.88653e-11  56.8987576
6.0631e-11  56.066686
6.24484e-11  55.2473887
6.43215e-11  54.4396506
6.62496e-11  53.644247
6.82368e-11  52.8600713
7.02822e-11  52.087933
7.23903e-11  51.3266819
7.45603e-11  50.5770883
7.67967e-11  49.8380702
7.90987e-11  49.1103939
8.14712e-11  48.3929991
8.39134e-11  47.6865693
8.64304e-11  46.9901241
8.90212e-11  46.3043718
