E(MeV)  pendfb7/Ni58:2
0.012648049  0.256597781
0.0126490465  0.251849891
0.012650044  0.248742817
0.0126518395  0.245393997
0.0126930355  0.197025211
0.0127161743  0.171235565
0.0127325233  0.15391964
0.0127488723  0.137444734
0.0127652213  0.121857862
0.0127805485  0.108034294
0.0127928103  0.097627431
0.0128053274  0.087595623
0.0128152901  0.080076941
0.0128252528  0.07288675
0.0128347046  0.066474503
0.012843901  0.060603037
0.0128530972  0.05509903
0.0128622936  0.049972161
0.0128714899  0.045232592
0.0128776207  0.042293312
0.0128837516  0.039534052
0.0128898825  0.036958198
0.0128960134  0.034569189
0.0129021442  0.032370367
0.012908786  0.030202646
0.0129137674  0.028729246
0.0129187487  0.027391984
0.0129237301  0.026190138
0.0129287113  0.025125658
0.0129333095  0.024266895
0.0129379077  0.023528968
0.0129425059  0.022913803
0.012947104  0.022423388
0.0129517021  0.022059522
0.0129552785  0.021864694
0.0129614093  0.021716388
0.0129660075  0.021762648
0.0129706057  0.021943756
0.0129752039  0.022263049
0.012979802  0.022723362
0.0129844001  0.023327376
0.0129889983  0.024077885
0.0129935965  0.024977778
0.0129981946  0.026030061
0.0130027928  0.027237954
0.0130073909  0.028604732
0.0130119891  0.030133947
0.0130165872  0.03182921
0.0130211854  0.033694465
0.0130257836  0.035733766
0.0130303817  0.037951382
0.0130349798  0.040351935
0.013039578  0.04294034
0.0130441762  0.045721712
0.0130503071  0.049739924
0.0130564379  0.054125035
0.0130625688  0.058892629
0.0130686997  0.06405962
0.0130748306  0.069644762
0.0130809614  0.075668754
0.0130870923  0.082154961
0.0130932232  0.089129214
0.0130993541  0.09662066
0.0131054849  0.104662095
0.0131116158  0.113291175
0.0131177467  0.122550457
0.0131238776  0.132488935
0.0131300084  0.143162984
0.0131361393  0.154638622
0.0131422702  0.166992422
0.0131484011  0.180314639
0.0131545319  0.194711917
0.0131606628  0.210312234
0.0131667937  0.22726865
0.0131729246  0.245766956
0.0131790554  0.266033979
0.0131851863  0.288350774
0.0131897845  0.306640577
0.0131943826  0.326457456
0.0131989808  0.348017645
0.0132035789  0.371579931
0.0132081771  0.397460961
0.0132127752  0.426046038
0.0132173734  0.457803674
0.0132219716  0.493266475
0.013225037  0.519330161
0.0132281024  0.547696598
0.0132311678  0.578690681
0.0132349997  0.621686872
0.0132375542  0.653380609
0.0132401087  0.687873371
0.0132426632  0.725550477
0.0132452178  0.766869284
0.0132477723  0.812368524
0.0132503268  0.86269794
0.0132525237  0.910434301
0.0132552826  0.977165145
0.0132571219  1.02648348
0.0132589611  1.08024282
