E(MeV)  pendfb7/Cr52:102
8.17785e-09  1.31094274
8.42299e-09  1.29172516
8.675632e-09  1.27277804
8.935694e-09  1.25411993
9.203714e-09  1.2357244
9.479605e-09  1.21760951
9.76394e-09  1.19974951
1.0056625e-08  1.182162
1.0358267e-08  1.16482194
1.0668767e-08  1.14774648
1.098877e-08  1.13091126
1.131817e-08  1.11433292
1.1657652e-08  1.09798784
1.2007102e-08  1.08189219
1.2367248e-08  1.066023
1.2737969e-08  1.05039599
1.3120036e-08  1.03498888
1.3513323e-08  1.01981685
1.3918647e-08  1.00485836
1.4335873e-08  0.990128139
1.4765869e-08  0.975605228
1.5208491e-08  0.961303954
1.5664661e-08  0.947203972
1.6134225e-08  0.933319203
1.6618162e-08  0.919629866
1.7116308e-08  0.90614949
1.7629702e-08  0.89285886
1.8158171e-08  0.87977114
1.8702814e-08  0.86686763
1.926345e-08  0.854161113
1.9841246e-08  0.841633453
2.0436008e-08  0.829297039
2.1048973e-08  0.817134272
2.1679938e-08  0.80515713
2.2330215e-08  0.793348554
2.2999587e-08  0.781720145
2.3689445e-08  0.770255349
2.4399561e-08  0.758965418
2.5268741e-08  0.745799583
2.53e-08  0.74533877
2.6058858e-08  0.734407326
2.684e-08  0.723642531
2.7645049e-08  0.713028983
2.8473738e-08  0.702577169
2.9327791e-08  0.692272176
3.0206922e-08  0.682124164
3.111296e-08  0.672118694
3.2045604e-08  0.662265636
3.3006792e-08  0.652551708
3.3996206e-08  0.642985083
3.5015901e-08  0.63355292
3.6065539e-08  0.624264572
3.7147303e-08  0.615106859
3.8260833e-08  0.606088867
3.9408443e-08  0.597197805
4.0589752e-08  0.588442499
4.1807217e-08  0.579810524
4.3060432e-08  0.571310438
4.4352004e-08  0.562930172
4.5681502e-08  0.554678019
4.705169e-08  0.546542229
4.8462114e-08  0.538530808
4.9915706e-08  0.530632308
5.1411981e-08  0.522854459
5.2954052e-08  0.515186093
5.4541406e-08  0.507634678
5.6177342e-08  0.500189365
5.7861316e-08  0.492857426
5.9596832e-08  0.485628359
6.1383309e-08  0.47850929
6.3224464e-08  0.471490085
6.5119683e-08  0.464577722
6.7072909e-08  0.457762411
6.9083489e-08  0.451050951
7.1155607e-08  0.444433837
7.328857e-08  0.437917658
7.5486817e-08  0.431493165
7.7749613e-08  0.425166735
8.0081665e-08  0.418929374
8.2482197e-08  0.412787264
8.49562e-08  0.406731691
8.7502851e-08  0.400768674
9.0127446e-08  0.394889778
9.2829111e-08  0.389100867
9.5613464e-08  0.383393744
9.8479577e-08  0.377774056
1.01433412e-07  0.372233748
1.04473985e-07  0.366778166
1.07607619e-07  0.361399361
1.1083327e-07  0.356102447
1.14157646e-07  0.350879711
1.17579641e-07  0.345736225
1.21106371e-07  0.340664669
1.24736661e-07  0.335670131
1.28478062e-07  0.330745615
1.32329326e-07  0.325896099
1.36298464e-07  0.321114759
1.40384153e-07  0.316406373
1.4459489e-07  0.311764258
1.48929273e-07  0.307193009
1.53396316e-07  0.302686115
1.57994531e-07  0.298248023
1.62733481e-07  0.293872409
1.67611588e-07  0.28956359
1.72638996e-07  0.285315432
1.7781403e-07  0.281132142
1.83147454e-07  0.277007796
1.8863749e-07  0.272946543
1.94295557e-07  0.268942718
2.0011977e-07  0.265000408
2.06122241e-07  0.261114058
2.12300971e-07  0.257287398
2.18668809e-07  0.253514672
2.25223636e-07  0.249799219
2.31979082e-07  0.246135478
2.38932897e-07  0.242527034
2.46099545e-07  0.238968907
2.53476636e-07  0.235464827
2.61079514e-07  0.232009961
2.68905645e-07  0.228607804
2.76971307e-07  0.225253537
2.85273811e-07  0.221950479
2.93830426e-07  0.218693923
3.02638301e-07  0.21548708
3.11715753e-07  0.212325381
3.21059758e-07  0.209211944
3.30689751e-07  0.206142331
3.40602522e-07  0.20311957
3.50818688e-07  0.200139354
3.61334845e-07  0.197204624
3.72172865e-07  0.194311203
3.83329135e-07  0.191461975
3.9482686e-07  0.18865298
4.06662208e-07  0.185887219
4.18859794e-07  0.183161015
4.31415555e-07  0.180477023
4.44355602e-07  0.17783085
4.57675626e-07  0.175224418
4.71403329e-07  0.172653832
4.85534136e-07  0.170121942
5.00097438e-07  0.167625491
5.15088382e-07  0.165167105
5.30538145e-07  0.162743324
5.46441581e-07  0.160356544
5.62831765e-07  0.158003365
5.79703235e-07  0.155686106
5.97091082e-07  0.153401464
6.14989512e-07  0.151151694
6.33435749e-07  0.148933587
6.52423648e-07  0.146749332
6.71992699e-07  0.144595817
6.92136383e-07  0.142475165
7.12896594e-07  0.140384354
7.34266415e-07  0.138325447
7.5629029e-07  0.136295511
7.78960882e-07  0.13429655
8.02325342e-07  0.132325754
8.26375882e-07  0.130385288
8.51162526e-07  0.128472909
8.76677012e-07  0.126590526
9.02972407e-07  0.124734244
9.30039949e-07  0.122905169
9.57935933e-07  0.121101234
9.86651065e-07  0.119324713
1.01195589e-06  0.117822275
1.04050974e-06  0.116193197
1.06986929e-06  0.114586635
1.10005725e-06  0.113002277
1.13109702e-06  0.111439816
1.16301262e-06  0.109898946
1.19582876e-06  0.108379368
1.22957087e-06  0.106880786
1.26426505e-06  0.10540291
1.29993819e-06  0.103945453
1.33661789e-06  0.10250815
1.37433257e-06  0.101090959
1.41311143e-06  0.09969457
1.45298448e-06  0.098318778
1.5150601e-06  0.096283457
1.57948201e-06  0.094297328
1.64696196e-06  0.092343094
1.71699247e-06  0.0904381
1.79034725e-06  0.088563795
1.86647465e-06  0.086736706
1.94621574e-06  0.08493904
2.02897083e-06  0.083186648
2.11565421e-06  0.081462468
2.20561399e-06  0.079781998
2.29984408e-06  0.078133543
2.3976358e-06  0.076523673
