E(MeV)  pendfb7/Pu241:18
8.42299e-09  1785.75905
8.675632e-09  1758.72988
8.935694e-09  1732.11295
9.203714e-09  1705.87114
9.479605e-09  1680.03083
9.76394e-09  1654.55599
1.0056625e-08  1629.47228
1.0358267e-08  1604.74475
1.0668767e-08  1580.39848
1.098877e-08  1556.3995
1.131817e-08  1532.77221
1.1657652e-08  1509.48366
1.2007102e-08  1486.55763
1.2367248e-08  1463.962
1.2737969e-08  1441.71978
1.3120036e-08  1419.79982
1.3513323e-08  1398.22423
1.3918647e-08  1376.96292
1.4335873e-08  1356.03744
1.4765869e-08  1335.41871
1.5208491e-08  1315.12794
1.5664661e-08  1295.13718
1.6134225e-08  1275.46731
1.6618162e-08  1256.09146
1.7116308e-08  1237.03006
1.7629702e-08  1218.25719
1.8158171e-08  1199.7927
1.8702814e-08  1181.61155
1.926345e-08  1163.73299
1.9841246e-08  1146.13287
2.0436008e-08  1128.82997
2.1048973e-08  1111.80106
2.1679938e-08  1095.06439
2.2330215e-08  1078.5977
2.2999587e-08  1062.41875
2.3689445e-08  1046.50599
2.4399561e-08  1030.87657
2.5268741e-08  1012.70557
2.53e-08  1012.07071
2.6058858e-08  997.034784
2.684e-08  982.275785
2.7645049e-08  967.77461
2.8473738e-08  953.547698
2.9327791e-08  939.577074
3.0206922e-08  925.87888
3.111296e-08  912.435975
3.2045604e-08  899.264022
3.3006792e-08  886.346789
3.3996206e-08  873.699682
3.5015901e-08  861.307551
3.6065539e-08  849.185594
3.7147303e-08  837.3195
3.8260833e-08  825.723772
3.9408443e-08  814.384536
4.0589752e-08  803.315649
4.1807217e-08  792.504352
4.3060432e-08  781.964887
4.4352004e-08  771.686396
4.5681502e-08  761.683576
4.705169e-08  751.946946
4.8462114e-08  742.491018
4.9915706e-08  733.307418
5.1411981e-08  724.410558
5.2954052e-08  715.793438
5.4541406e-08  707.470621
5.6177342e-08  699.436755
5.7861316e-08  691.706743
5.9596832e-08  684.277085
6.1383309e-08  677.163216
6.3224464e-08  670.363755
6.5119683e-08  663.894892
6.7072909e-08  657.757704
6.9083489e-08  651.969435
7.1155607e-08  646.534031
7.328857e-08  641.470165
7.5168216e-08  637.431701
7.709607e-08  633.683062
7.9073367e-08  630.23445
8.1101376e-08  627.097023
8.3181399e-08  624.282988
8.5314768e-08  621.8057
8.7502851e-08  619.679768
8.9747053e-08  617.921174
9.2048813e-08  616.547389
9.4409606e-08  615.57751
9.6830947e-08  615.032395
9.8559744e-08  614.915679
1.00744543e-07  615.086731
1.03328357e-07  615.740129
1.05531145e-07  616.676755
1.07782813e-07  617.989619
1.10080562e-07  619.694592
1.12429299e-07  621.813577
1.14826104e-07  624.363083
1.17276094e-07  627.368651
1.19776224e-07  630.847389
1.22331832e-07  634.828178
1.24939743e-07  639.328159
1.27605522e-07  644.380137
1.30325859e-07  650.002743
1.3310656e-07  656.235474
1.35944169e-07  663.10195
1.38844745e-07  670.654586
1.41208697e-07  677.217895
1.43612896e-07  684.282014
1.46058029e-07  691.888032
1.48544792e-07  700.086796
1.50894304e-07  708.293736
1.52818422e-07  715.373302
1.54764319e-07  722.885422
1.56737785e-07  730.89136
1.58733588e-07  739.412687
1.60757668e-07  748.521356
1.62804658e-07  758.243022
1.6488065e-07  768.659295
1.6698014e-07  779.797322
1.69109375e-07  791.74669
1.70542916e-07  800.178552
1.71988608e-07  809.007989
1.73446555e-07  818.252986
1.74916862e-07  827.931684
1.76399632e-07  838.062365
1.77894972e-07  848.663512
1.79402987e-07  859.753774
1.80923786e-07  871.352014
1.82457477e-07  883.477269
1.84004169e-07  896.148734
1.85563973e-07  909.385717
1.87136999e-07  923.207531
1.88723359e-07  937.633402
1.90323167e-07  952.682317
1.91936536e-07  968.372813
1.93563582e-07  984.7228
1.95204421e-07  1001.74927
1.96859169e-07  1019.46802
1.98527944e-07  1037.89325
2.00210865e-07  1057.03717
2.01908053e-07  1076.90946
2.03619627e-07  1097.51659
2.05345711e-07  1118.86116
2.07086426e-07  1140.94092
2.08841898e-07  1163.74784
2.10612251e-07  1187.26683
2.13294059e-07  1223.80024
2.16013863e-07  1261.81057
2.19691684e-07  1314.3402
2.26277172e-07  1409.35947
2.2916253e-07  1450.15823
2.31105141e-07  1476.8934
2.33064219e-07  1503.00617
2.34543898e-07  1522.02101
2.36031916e-07  1540.40942
2.37532548e-07  1558.09496
2.39041661e-07  1574.89209
2.4055929e-07  1590.66199
2.42085471e-07  1605.26118
2.4311155e-07  1614.30393
2.4413763e-07  1622.68211
2.45172407e-07  1630.4212
2.46207184e-07  1637.41099
2.47250734e-07  1643.66564
2.48294283e-07  1649.08845
2.49346678e-07  1653.682
2.50399073e-07  1657.36591
2.5146039e-07  1660.13109
2.52521706e-07  1661.91628
2.53859598e-07  1662.73514
2.54729688e-07  1662.39402
2.5580936e-07  1660.99843
2.56889032e-07  1658.51455
2.57977856e-07  1654.8991
2.5906668e-07  1650.16451
2.60164734e-07  1644.25702
2.61262788e-07  1637.2174
2.6237015e-07  1628.98194
2.63477513e-07  1619.62082
2.64579619e-07  1609.20648
2.65688707e-07  1597.64548
2.66812447e-07  1584.85617
2.6794095e-07  1570.95829
2.69074216e-07  1555.97845
2.70212286e-07  1539.94758
2.71355158e-07  1522.9019
2.72502875e-07  1504.88134
2.73655436e-07  1485.93064
2.74812882e-07  1466.09759
2.75975213e-07  1445.43408
2.77142471e-07  1423.99422
2.78314655e-07  1401.83547
2.80082868e-07  1367.36631
2.81861059e-07  1331.6434
2.83649272e-07  1294.87991
2.86053767e-07  1244.51623
2.9215716e-07  1115.10425
2.94633776e-07  1063.17665
2.96504349e-07  1024.55419
2.98385463e-07  986.389205
2.9965017e-07  961.171379
3.00914876e-07  936.345302
3.02190304e-07  911.733362
3.03465732e-07  887.572077
3.04751971e-07  863.683398
3.06038211e-07  840.291788
3.07335354e-07  817.2199
3.08632497e-07  794.679759
3.09940635e-07  772.495818
3.11248774e-07  750.867489
3.12568002e-07  729.622113
3.1388723e-07  708.946641
3.14885039e-07  693.686655
3.15882847e-07  678.75112
3.16883475e-07  664.097489
3.17889741e-07  649.68636
3.18896008e-07  635.598451
3.19907961e-07  621.753694
3.20922758e-07  608.191402
3.21937555e-07  594.946909
3.22960954e-07  581.907573
3.23984353e-07  569.182269
3.25010644e-07  556.731341
3.26042719e-07  544.518339
3.27074794e-07  532.608775
3.28112701e-07  520.93218
3.29153524e-07  509.519228
3.30194348e-07  498.397075
3.31243995e-07  487.468917
3.32293641e-07  476.82394
3.33346254e-07  466.426833
3.34404798e-07  456.245352
3.35463342e-07  446.332324
3.36527869e-07  436.627419
3.37595387e-07  427.154659
3.38662904e-07  417.935112
3.39739472e-07  408.887224
3.40816038e-07  400.083656
3.41895647e-07  391.494014
3.4298134e-07  383.090627
3.44067034e-07  374.916115
3.45158862e-07  366.919849
3.46253759e-07  359.120785
3.47348655e-07  351.535485
3.48452834e-07  344.096167
3.49557011e-07  336.861941
3.50664309e-07  329.807214
3.51777847e-07  322.908727
3.52891385e-07  316.200969
3.54011216e-07  309.641918
3.55134194e-07  303.246725
3.56257171e-07  297.02857
3.57389668e-07  290.931551
3.58522165e-07  285.003776
3.59657863e-07  279.223988
3.6079996e-07  273.572875
3.61942057e-07  268.078446
3.63090609e-07  262.706061
3.64242388e-07  257.467946
3.65394166e-07  252.374728
3.66555709e-07  247.380461
3.67717251e-07  242.524439
3.68882075e-07  237.789144
3.70053464e-07  233.158648
3.71224853e-07  228.655841
3.72402861e-07  224.252283
3.7358418e-07  219.957939
3.74765499e-07  215.781495
3.75956831e-07  211.685259
3.77148164e-07  207.70143
3.78342863e-07  203.815639
3.79544295e-07  200.014813
3.80745726e-07  196.317743
3.81953948e-07  192.701077
3.83165564e-07  189.173016
3.8437718e-07  185.740709
3.85599067e-07  182.373187
3.86820954e-07  179.09694
3.88046294e-07  175.900173
3.89278539e-07  172.772151
3.90510783e-07  169.728364
3.91749992e-07  166.749615
3.92992683e-07  163.84268
3.94235374e-07  161.01349
3.95488599e-07  158.236547
3.96741823e-07  155.533729
3.97998589e-07  152.895343
3.99262438e-07  150.312565
4.00526287e-07  147.798223
4.01797278e-07  145.336505
4.03496694e-07  142.146039
4.05203313e-07  139.053936
4.06917135e-07  136.0569
4.08638222e-07  133.151643
4.10366572e-07  130.335107
4.12102248e-07  127.604236
4.1384525e-07  124.956184
4.15595639e-07  122.388117
4.17353416e-07  119.897389
4.19118643e-07  117.481365
4.20891321e-07  115.137587
4.22671512e-07  112.863607
4.24459216e-07  110.657142
4.26254498e-07  108.515913
4.28057357e-07  106.437802
4.29867857e-07  104.42069
4.31685999e-07  102.462607
4.33511847e-07  100.561583
4.35345401e-07  98.715787
4.37186727e-07  96.9233863
4.39035825e-07  95.1826778
4.40892759e-07  93.4919587
4.42757531e-07  91.849643
4.44630207e-07  90.2541447
4.46510787e-07  88.70399
4.48399337e-07  87.1977028
4.50295859e-07  85.7339096
4.52200419e-07  84.3112363
4.54113017e-07  82.9284057
4.56033721e-07  81.5841364
4.57962533e-07  80.277238
4.59899519e-07  79.0065182
4.61844681e-07  77.7708683
4.63798088e-07  76.5691759
4.65759739e-07  75.4004104
4.67729704e-07  74.263535
4.69707984e-07  73.1575888
4.71694649e-07  72.0816055
4.73689699e-07  71.0346901
4.75693204e-07  70.0159406
