E(MeV)  pendfb7/O16:102
8.17785e-09  0.000334192
8.42299e-09  0.000329293
8.675632e-09  0.000324462
8.935694e-09  0.000319706
9.203714e-09  0.000315017
9.479605e-09  0.000310399
9.76394e-09  0.000305846
1.0056625e-08  0.000301362
1.0358267e-08  0.000296942
1.0668767e-08  0.000292589
1.098877e-08  0.000288297
1.131817e-08  0.000284071
1.1657652e-08  0.000279904
1.2007102e-08  0.000275801
1.2367248e-08  0.000271756
1.2737969e-08  0.000267772
1.3120036e-08  0.000263844
1.3513323e-08  0.000259976
1.3918647e-08  0.000256163
1.4335873e-08  0.000252408
1.4765869e-08  0.000248706
1.5208491e-08  0.00024506
1.5664661e-08  0.000241465
1.6134225e-08  0.000237926
1.6618162e-08  0.000234436
1.7116308e-08  0.000230999
1.7629702e-08  0.000227611
1.8158171e-08  0.000224274
1.8702814e-08  0.000220984
1.926345e-08  0.000217745
1.9841246e-08  0.000214551
2.0436008e-08  0.000211406
2.1048973e-08  0.000208305
2.1679938e-08  0.000205251
2.2330215e-08  0.000202241
2.2999587e-08  0.000199276
2.3689445e-08  0.000196353
2.4399561e-08  0.000193475
2.5268741e-08  0.000190118
2.53e-08  0.000190001
2.6058858e-08  0.000187214
2.684e-08  0.000184469
2.7645049e-08  0.000181763
2.8473738e-08  0.000179099
2.9327791e-08  0.000176472
3.0206922e-08  0.000173885
3.111296e-08  0.000171334
3.2045604e-08  0.000168823
3.3006792e-08  0.000166346
3.3996206e-08  0.000163908
3.5015901e-08  0.000161504
3.6065539e-08  0.000159136
3.7147303e-08  0.000156802
3.8260833e-08  0.000154503
3.9408443e-08  0.000152237
4.0589752e-08  0.000150006
4.1807217e-08  0.000147805
4.3060432e-08  0.000145639
4.4352004e-08  0.000143503
4.5681502e-08  0.000141399
4.705169e-08  0.000139325
4.8462114e-08  0.000137283
4.9915706e-08  0.000135269
5.1411981e-08  0.000133287
5.2954052e-08  0.000131332
5.4541406e-08  0.000129407
5.6177342e-08  0.000127509
5.7861316e-08  0.00012564
5.9596832e-08  0.000123797
6.1383309e-08  0.000121983
6.3224464e-08  0.000120194
6.5119683e-08  0.000118432
6.7072909e-08  0.000116695
6.9083489e-08  0.000114985
7.1155607e-08  0.000113298
7.328857e-08  0.000111638
7.5486817e-08  0.00011
7.7749613e-08  0.000108388
8.0081665e-08  0.000106798
8.2482197e-08  0.000105233
8.49562e-08  0.00010369
8.7502851e-08  0.00010217
9.0127446e-08  0.000100671
9.2829111e-08  9.91955e-05
9.5613464e-08  9.77406e-05
9.8479577e-08  9.63078e-05
1.01433412e-07  9.48952e-05
1.04473985e-07  9.35043e-05
1.07607619e-07  9.21328e-05
1.1083327e-07  9.07822e-05
1.14157646e-07  8.94506e-05
1.17579641e-07  8.81393e-05
1.21106371e-07  8.68465e-05
1.24736661e-07  8.55734e-05
1.28478062e-07  8.43182e-05
1.32329326e-07  8.30821e-05
1.36298464e-07  8.18635e-05
1.40384153e-07  8.06634e-05
1.4459489e-07  7.94802e-05
1.48929273e-07  7.83151e-05
1.53396316e-07  7.71664e-05
1.57994531e-07  7.60352e-05
1.62733481e-07  7.49199e-05
1.67611588e-07  7.38216e-05
1.72638996e-07  7.27388e-05
1.7781403e-07  7.16725e-05
1.83147454e-07  7.06213e-05
1.8863749e-07  6.9586e-05
1.94295557e-07  6.85654e-05
2.0011977e-07  6.75602e-05
2.06122241e-07  6.65693e-05
2.12300971e-07  6.55934e-05
2.18668809e-07  6.46313e-05
2.25223636e-07  6.36838e-05
2.31979082e-07  6.27497e-05
2.38932897e-07  6.18298e-05
2.46099545e-07  6.09229e-05
2.53476636e-07  6.00298e-05
2.61079514e-07  5.91492e-05
2.68905645e-07  5.82822e-05
2.76971307e-07  5.74273e-05
2.85273811e-07  5.65854e-05
2.93830426e-07  5.57554e-05
3.02638301e-07  5.49381e-05
3.11715753e-07  5.41323e-05
3.21059758e-07  5.33387e-05
3.30689751e-07  5.25563e-05
3.40602522e-07  5.17859e-05
3.50818688e-07  5.10263e-05
3.61334845e-07  5.02783e-05
3.72172865e-07  4.95408e-05
3.83329135e-07  4.88146e-05
3.9482686e-07  4.80987e-05
4.06662208e-07  4.73936e-05
4.18859794e-07  4.66984e-05
4.31415555e-07  4.60138e-05
4.44355602e-07  4.53389e-05
4.57675626e-07  4.46742e-05
4.71403329e-07  4.40189e-05
4.85534136e-07  4.33736e-05
5.00097438e-07  4.27374e-05
5.15088382e-07  4.21109e-05
5.30538145e-07  4.14932e-05
5.46441581e-07  4.08849e-05
5.62831765e-07  4.02852e-05
5.79703235e-07  3.96947e-05
5.97091082e-07  3.91125e-05
6.14989512e-07  3.85391e-05
6.33435749e-07  3.79738e-05
6.52423648e-07  3.74172e-05
6.71992699e-07  3.68683e-05
6.92136383e-07  3.63278e-05
7.12896594e-07  3.5795e-05
7.34266415e-07  3.52702e-05
7.5629029e-07  3.47529e-05
7.78960882e-07  3.42435e-05
8.02325342e-07  3.37413e-05
8.26375882e-07  3.32467e-05
8.51162526e-07  3.2759e-05
8.76677012e-07  3.22787e-05
9.02972407e-07  3.18052e-05
