E(MeV)  pendfb7/Cr52:2
0.01938977  2.75253943
0.0194000495  2.77426193
0.019410065  2.75316719
0.01941914  2.75129697
0.02  2.75970907
0.0202609  2.93478128
0.0204735  3.2811106
0.0204865563  3.25823729
0.0206824  2.81337371
0.0208944  2.99502182
0.0211098  2.92437553
0.02132605  2.66865254
0.0213318704  2.67579858
0.0215435594  3.36220851
0.0215505  3.37429023
0.021558275  3.36274608
0.021769775  2.75543361
0.0217812399  2.74068289
0.0220052  2.86683868
0.0222369207  2.63366539
0.0224726762  2.23521555
0.022479975  2.24477437
0.0227084867  2.93833091
0.0228319394  3.25127958
0.0228662025  3.35086953
0.022885179  3.42385265
0.0228957215  3.48321854
0.0229009928  3.52521043
0.022906264  3.58373924
0.0229102175  3.64729987
0.0229131826  3.71478247
0.0229154888  3.78721702
0.0229174655  3.87247816
0.0229187833  3.94858377
0.0229201011  4.04961133
0.0229210895  4.150624
0.0229217484  4.23550296
0.0229224073  4.33949644
0.0229230662  4.46857009
0.0229235604  4.58645848
0.0229240545  4.72688363
0.0229245487  4.89482885
0.0229249572  5.05852918
0.0229253229  5.22748958
0.0229256886  5.4207945
0.0229260543  5.64182673
0.02292642  5.89428973
0.0229267857  6.1821986
0.0229271514  6.50985994
0.0229275171  6.88183889
0.0229278828  7.30291174
0.0229282485  7.77800236
0.0229286141  8.311947
0.0229288777  8.73630814
0.0229291413  9.19572248
0.0229294049  9.69194012
0.0229298002  10.5086464
0.0229301955  11.4168496
0.0229305909  12.4209794
0.0229309862  13.5235606
0.0229313816  14.726785
0.0229317769  16.0300119
0.0229321723  17.4319497
0.0229325676  18.9277922
0.0229330684  20.947872
0.0229335428  22.9743013
0.0229342544  26.1708453
0.022935783  33.2316686
0.0229363102  35.553104
0.0229368373  37.7220625
0.022937259  39.3085665
0.0229376807  40.7317029
0.0229382078  42.2405407
0.0229386032  43.1500324
0.0229389669  43.8028862
0.0229393675  44.306282
0.0229400116  44.6209337
0.0229404428  44.484553
0.0229407591  44.2088538
0.0229412124  43.5617067
0.0229416078  42.7656803
0.0229420031  41.7688097
0.0229424644  40.3745618
0.0229430573  38.2672757
0.0229435845  36.1531969
0.0229443752  32.689543
0.022946062  24.9369323
0.0229467341  21.9917274
0.0229472217  19.9764884
0.0229476171  18.4335779
0.0229480124  16.9813721
0.0229484078  15.6245606
0.0229488031  14.3669991
0.0229491984  13.209455
0.0229495938  12.1509901
0.0229499892  11.1896781
0.0229503845  10.3222134
0.0229507798  9.54381362
0.0229511751  8.84918935
0.0229515112  8.32015085
0.0229518472  7.84384717
0.0229521833  7.41615377
0.0229525193  7.03347876
0.0229528553  6.69189758
0.0229531914  6.38764143
0.0229535274  6.1173549
0.0229538634  5.8775861
0.0229543115  5.59988969
0.0229547595  5.36406087
0.0229552044  5.16515206
0.0229559456  4.89766853
0.0229565386  4.72945185
0.0229571316  4.59269968
0.0229577247  4.48063485
0.0229586142  4.34748856
0.0229595037  4.24471553
0.0229604921  4.15513271
0.0229614804  4.08356062
0.0229627982  4.00723036
0.0229647749  3.91943441
0.0229673447  3.83488541
0.0229699144  3.77112633
0.0229742632  3.69176977
0.0229795344  3.62345121
0.0229874413  3.55041258
0.0229969295  3.48562163
0.0230095805  3.4170236
0.0230306655  3.32163619
0.0230733627  3.15229622
0.0232022447  2.67794971
0.0232114118  2.65475872
0.0234545817  2.32632264
0.0234592  2.3251489
0.0234682975  2.33726539
0.0237155  2.83438004
0.023976  2.75858665
0.0242408  2.60459777
0.0245101  2.80528595
0.0247838  2.53771443
0.0250622  2.30317227
0.0253452  2.68976807
0.0253586954  2.67356075
0.0256286016  2.22822128
0.0256331  2.22556409
0.0256422532  2.23338085
0.025926  2.66532586
0.0262239  2.70461516
0.0265143688  2.69962103
0.026886236  2.63254565
0.027149  2.59634356
0.0274675986  2.48057426
0.0276005591  2.59998992
0.0276100841  2.62536092
0.0276122489  2.64760335
0.0276133313  2.66883492
0.0276144136  2.7023909
0.0276154419  2.75160782
0.0276162132  2.80406864
0.0276169844  2.87396165
0.0276177556  2.96544901
0.0276182697  3.04057656
0.0276187973  3.13098625
0.0276193385  3.23904974
0.0276198797  3.36379713
0.0276204209  3.50611499
0.0276209621  3.66649704
0.0276215033  3.84494154
0.0276220445  4.0408555
0.0276228563  4.36451445
0.0276237439  4.75110038
0.0276258436  5.70729077
0.0276267095  6.06673179
0.027627359  6.30220808
0.0276283115  6.57397523
0.0276289609  6.6984271
0.0276295368  6.76239515
0.027630052  6.78078371
0.0276306062  6.75905905
0.0276311366  6.69865479
0.0276317751  6.57716453
0.0276324138  6.40717126
0.0276330307  6.20337044
0.0276336802  5.95492228
0.0276343729  5.66212929
0.0276364943  4.7062793
0.0276373061  4.36057842
0.0276381179  4.0445046
0.0276386591  3.85378532
0.0276392003  3.68047963
0.0276397415  3.52506061
0.0276402827  3.38743363
0.0276408239  3.26703338
0.0276414734  3.14394728
0.0276421229  3.04220841
0.0276427723  2.95939873
0.0276434217  2.89294698
0.0276442876  2.82545072
0.0276450994  2.77960617
0.0276459112  2.74658255
0.0276469936  2.71692723
0.0276486171  2.69191669
0.0276507819  2.67694183
0.0276609563  2.66529861
0.0276888819  2.68005304
0.0277932  2.76537856
0.0281239  2.61932054
0.0284534476  2.10550033
0.0284625822  2.09845902
0.028796097  2.37067747
0.0288252472  2.3802691
0.0291523  2.42933788
0.0295077  2.09988229
0.0298635756  1.97694208
0.0298729523  1.98373783
0.0302361856  2.78967365
0.0302382  2.79081196
0.0302474131  2.78372407
0.0306089774  2.17878177
0.0306217091  2.16687192
