E(MeV)  pendfb7/B10:107
9.203714e-09  6370.86946
9.479605e-09  6277.47506
9.76394e-09  6185.39474
1.0056625e-08  6094.71898
1.0358267e-08  6005.31891
1.0668767e-08  5917.28268
1.098877e-08  5830.4849
1.131817e-08  5745.01119
1.1657652e-08  5660.73973
1.2007102e-08  5577.75399
1.2367248e-08  5495.93543
1.2737969e-08  5415.36507
1.3120036e-08  5335.92803
1.3513323e-08  5257.70254
1.3918647e-08  5180.57745
1.4335873e-08  5104.62868
1.4765869e-08  5029.74814
1.5208491e-08  4956.00973
1.5664661e-08  4883.30834
1.6134225e-08  4811.71587
1.6618162e-08  4741.13015
1.7116308e-08  4671.62102
1.7629702e-08  4603.08935
1.8158171e-08  4535.60283
1.8702814e-08  4469.06529
1.926345e-08  4403.54245
1.9841246e-08  4338.94094
2.0436008e-08  4275.32455
2.1048973e-08  4212.60269
2.1679938e-08  4150.83716
2.2330215e-08  4089.94013
2.2999587e-08  4029.97162
2.3689445e-08  3970.84626
2.4399561e-08  3912.62239
2.5268741e-08  3844.72398
2.53e-08  3842.34747
2.6058858e-08  3785.9723
2.684e-08  3730.45673
2.7645049e-08  3675.72168
2.8473738e-08  3621.8212
2.9327791e-08  3568.67853
3.0206922e-08  3516.3462
3.111296e-08  3464.74973
3.2045604e-08  3413.94001
3.3006792e-08  3363.84476
3.3996206e-08  3314.51343
3.5015901e-08  3265.87587
3.6065539e-08  3217.98007
3.7147303e-08  3170.75788
3.8260833e-08  3124.25597
3.9408443e-08  3078.40813
4.0589752e-08  3033.25969
4.1807217e-08  2988.74637
4.3060432e-08  2944.91213
4.4352004e-08  2901.69463
4.5681502e-08  2859.13653
4.705169e-08  2817.17727
4.8462114e-08  2775.85827
4.9915706e-08  2735.12075
5.1411981e-08  2695.00496
5.2954052e-08  2655.45378
5.4541406e-08  2616.50626
5.6177342e-08  2578.10698
5.7861316e-08  2540.29384
5.9596832e-08  2503.01305
6.1383309e-08  2466.30138
6.3224464e-08  2430.10661
6.5119683e-08  2394.46448
6.7072909e-08  2359.3242
6.9083489e-08  2324.72053
7.1155607e-08  2290.60421
7.328857e-08  2257.00892
7.5486817e-08  2223.8868
7.7749613e-08  2191.27058
8.0081665e-08  2159.1138
8.2482197e-08  2127.44821
8.49562e-08  2096.22873
8.7502851e-08  2065.48607
9.0127446e-08  2035.17652
9.2829111e-08  2005.32987
9.5613464e-08  1975.90361
9.8479577e-08  1946.92671
1.01433412e-07  1918.35783
1.04473985e-07  1890.22506
1.07607619e-07  1862.4883
1.1083327e-07  1835.17482
1.14157646e-07  1808.24564
1.17579641e-07  1781.72727
1.21106371e-07  1755.58192
1.24736661e-07  1729.8353
1.28478062e-07  1704.45077
1.32329326e-07  1679.45337
1.36298464e-07  1654.80749
1.40384153e-07  1630.53749
1.4459489e-07  1606.60885
1.48929273e-07  1583.04519
1.53396316e-07  1559.81304
1.57994531e-07  1536.93539
1.62733481e-07  1514.3796
1.67611588e-07  1492.17016
1.72638996e-07  1470.27116
1.7781403e-07  1448.70641
1.83147454e-07  1427.4452
1.8863749e-07  1406.50848
1.94295557e-07  1385.86646
2.0011977e-07  1365.5395
2.06122241e-07  1345.49862
2.12300971e-07  1325.76361
2.18668809e-07  1306.30636
2.25223636e-07  1287.14609
2.31979082e-07  1268.25551
2.38932897e-07  1249.6533
2.46099545e-07  1231.31295
2.53476636e-07  1213.25261
2.61079514e-07  1195.44655
2.68905645e-07  1177.91233
2.76971307e-07  1160.62501
2.85273811e-07  1143.60163
2.93830426e-07  1126.81792
3.02638301e-07  1110.29044
3.11715753e-07  1093.99564
3.21059758e-07  1077.94958
3.30689751e-07  1062.12944
3.40602522e-07  1046.55084
3.50818688e-07  1031.1916
3.61334845e-07  1016.06689
3.72172865e-07  1001.15516
3.83329135e-07  986.471074
3.9482686e-07  971.99367
4.06662208e-07  957.73718
4.18859794e-07  943.681253
4.31415555e-07  929.83976
4.44355602e-07  916.193013
4.57675626e-07  902.754536
4.71403329e-07  889.505232
4.85534136e-07  876.458215
5.00097438e-07  863.594912
5.15088382e-07  850.928026
5.30538145e-07  838.439517
5.46441581e-07  826.141722
5.62831765e-07  814.01712
5.79703235e-07  802.077668
5.97091082e-07  790.306326
6.14989512e-07  778.714674
6.33435749e-07  767.286152
6.52423648e-07  756.032007
6.71992699e-07  744.936204
6.92136383e-07  734.00976
7.12896594e-07  723.237228
7.34266415e-07  712.629374
7.5629029e-07  702.171122
7.78960882e-07  691.872684
8.02325342e-07  681.719153
8.26375882e-07  671.720314
8.51162526e-07  661.861823
8.76677012e-07  652.153527
9.02972407e-07  642.581865
9.30039949e-07  633.156562
9.57935933e-07  623.864305
9.86651065e-07  614.714195
1.01195589e-06  606.975954
1.04050974e-06  598.585563
1.06986929e-06  590.311241
1.10005725e-06  582.151324
1.13109702e-06  574.104088
1.16301262e-06  566.167877
1.19582876e-06  558.341283
1.22957087e-06  550.623148
1.26426505e-06  543.01232
1.29993819e-06  535.507352
1.33661789e-06  528.106425
1.37433257e-06  520.807619
1.41311143e-06  513.609367
1.45298448e-06  506.510655
1.5150601e-06  496.023355
1.57948201e-06  485.801347
1.64696196e-06  475.742412
1.71699247e-06  465.933752
1.79034725e-06  456.281948
1.86647465e-06  446.876175
1.94621574e-06  437.625061
2.02897083e-06  428.604503
2.11565421e-06  419.724424
2.20561399e-06  411.068291
2.29984408e-06  402.555504
2.3976358e-06  394.260247
2.5000696e-06  386.101275
2.60637512e-06  378.146033
2.71772686e-06  370.311934
2.83328738e-06  362.674392
2.95433346e-06  355.167234
3.12340751e-06  345.422566
3.30215753e-06  335.947417
3.49113727e-06  326.729817
3.69093216e-06  317.750466
3.90216115e-06  309.029715
4.1254786e-06  300.550567
4.36157631e-06  292.300759
4.67533642e-06  282.325898
5.01263774e-06  272.648454
5.37323346e-06  263.326819
5.76088444e-06  254.33543
6.17530702e-06  245.652849
6.62082346e-06  237.209795
7.19723551e-06  227.55089
7.71498533e-06  219.755297
8.50497668e-06  209.330886
9.37404613e-06  199.37625
1.03339203e-05  189.845939
1.12335964e-05  182.080358
1.23814861e-05  173.388893
1.34594242e-05  166.288485
1.46312081e-05  159.46581
1.61293999e-05  151.844654
1.77775606e-05  144.621937
1.93252836e-05  138.687621
2.1007752e-05  132.980468
2.28366969e-05  127.559568
2.48248706e-05  122.292566
2.69861357e-05  117.288409
2.93355616e-05  112.473092
3.23394351e-05  107.098889
3.51549218e-05  102.701474
3.8215526e-05  98.4850441
4.21205275e-05  93.7958496
4.57875607e-05  89.9739463
4.97738477e-05  86.256871
5.41071826e-05  82.7286314
5.88177798e-05  79.331783
6.39384838e-05  76.0564909
7.04855926e-05  72.4392923
7.6622102e-05  69.4649337
8.32928588e-05  66.6199493
9.18040261e-05  63.4257896
0.000101204483  60.4061594
0.000111545925  57.5226167
0.000124678619  54.3978198
0.000145311218  50.3774519
0.00016241922  47.6268561
0.000189260732  44.1060528
0.000208640463  41.9830023
0.000243120531  38.8737174
0.000264286721  37.2757691
0.000291348888  35.4779155
0.000321119977  33.7809663
0.000354001699  32.1579295
0.000412504265  29.7684106
0.000454743463  28.3416092
0.000501210805  26.9788472
0.000560220117  25.5074883
0.000608993148  24.452766
0.000662012382  23.4452481
0.000729800463  22.3091638
0.000809700505  21.1685659
0.000892438648  20.1527236
0.000970134783  19.3140349
0.00112718916  17.901302
0.00124952731  16.9865645
0.00134046786  16.3928931
0.00145716963  15.7141234
0.00157051151  15.1383458
0.00162146161  14.881318
0.00170724099  14.523667
0.0018907522  13.7656412
0.00209134087  13.075596
0.00224017419  12.6273699
0.00243282095  12.1087015
0.00264417581  11.6056244
0.00284613723  11.1791683
0.00307967293  10.7401832
0.00338534634  10.2342519
0.00366264999  9.83214815
0.00396189595  9.44749033
0.00435343677  9.0049999
0.00479826659  8.57007607
0.00530468331  8.14316938
0.00581546802  7.77073255
0.00632176545  7.44745159
0.00683179221  7.16056058
0.00760581188  6.78023209
0.00835437232  6.46459917
0.00908170797  6.19602595
0.0098723658  5.93952087
0.0107226058  5.69790939
0.011656121  5.46265229
0.0128513874  5.20054948
0.0139702353  4.98609447
0.0151864907  4.78106527
0.0167928058  4.54655592
0.0179641131  4.39660817
0.0187057572  4.31101468
0.0194780198  4.22269499
0.020282165  4.14102755
0.0211737855  4.05123087
0.0222179986  3.9587992
0.023254138  3.86787036
0.024338598  3.78360099
0.0250270297  3.73063082
0.0268345112  3.60579597
0.0291707365  3.46220996
0.0297882796  3.42894303
0.0320049371  3.31117878
0.033668858  3.23395029
0.0349733264  3.17398767
0.0373789341  3.07653292
0.0384599158  3.03313496
0.0418082545  2.91442418
0.0418940724  2.91173932
0.0455413904  2.79877676
0.0456348713  2.79591378
0.0504512485  2.66875992
0.055  2.5652074
0.0557759538  2.54778705
0.0606318349  2.45449873
0.064100329  2.39541537
0.0659104714  2.36506378
0.0733852204  2.25690557
0.0744061538  2.24400889
0.0809700505  2.16248057
0.085  2.11836523
0.0861992013  2.1054515
0.0963402838  2.01010148
0.101410825  1.97329564
0.12  1.84005019
0.149959693  1.68596865
0.152034487  1.67548847
0.20282165  1.45574951
0.23  1.33691405
0.251913043  1.2395551
0.253527063  1.2329282
0.28  1.12386245
0.3  1.0507961
0.3225  0.982871632
0.34  0.940905241
0.359875775  0.905825907
0.3775  0.88684749
0.38  0.885381188
0.4  0.876249257
0.45  0.87921765
