E(MeV)  pendfb7/B10:2
3.6990519e-08  2.2513934
4.1280828e-08  2.24336222
4.6264006e-08  2.23590811
5.2287314e-08  2.22879601
5.9596832e-08  2.22209415
6.8502791e-08  2.21585735
7.9408519e-08  2.21012188
9.3222567e-08  2.20478431
1.1083327e-07  2.1999186
1.34016714e-07  2.19547806
1.65504159e-07  2.19144844
2.09631649e-07  2.18783744
2.74643157e-07  2.18462599
3.75327774e-07  2.18183823
5.44144957e-07  2.17946055
8.5837783e-07  2.17748625
1.62404946e-06  2.1757618
0.000155764518  2.12406404
0.00095  2.1065175
0.001  2.10665846
0.0025  2.1044087
0.00747026831  2.12567247
0.0169774716  2.18888353
0.0340050835  2.32270987
0.108706048  2.94856477
0.154149587  3.29530198
0.18507897  3.50369924
0.223103815  3.71332547
0.24338598  3.79792981
0.263668145  3.86090593
0.28395031  3.90255962
0.32  3.92907873
0.354937888  3.90331397
0.39072227  3.84623043
0.462697425  3.701928
0.49354392  3.62496885
0.6169299  3.22521694
0.71975155  2.92717902
0.7907138  2.74051968
0.87168052  2.55782636
0.93297959  2.43464444
1  2.31309147
1.11551908  2.14615051
1.26763531  1.91439202
1.35  1.79669389
1.4  1.74152183
1.5  1.65126173
1.55  1.6171201
1.6  1.62771089
1.66  1.65673983
1.74  1.7242719
1.76  1.73241236
1.78  1.72818523
1.82  1.68582306
1.94  1.50047523
1.96  1.48060844
1.98  1.46790563
2.04  1.44555224
2.1  1.43085674
2.12  1.43014358
2.18  1.44019012
2.22  1.46102742
2.24  1.47815929
2.3  1.54387063
2.36  1.60220524
2.46  1.68437772
2.48  1.70759545
2.56  1.83122592
2.62  1.93812275
2.64  1.96291665
2.7  1.99456344
2.78  2.01737422
2.8  2.00714615
2.82  1.98410605
2.85  1.93533695
3.14  1.54087176
3.25  1.40800496
3.3  1.35531778
3.35  1.34157052
3.4  1.34914865
3.42  1.3385141
3.458281  1.29721891
3.5  1.24261992
3.6  1.16046737
3.65  1.12563355
3.7  1.10038313
3.75  1.08248406
3.8  1.07720809
3.85566913  1.10438575
4  1.20391042
4.05  1.24772442
4.1  1.27812381
4.2  1.32142077
4.3  1.33381582
4.35  1.32143994
4.4  1.289065
4.65  1.15325348
4.75  1.08906908
4.8  1.06499929
4.85  1.04670764
5.1  0.977513299
5.2  0.954759439
5.254914  0.945310469
5.4  0.937396606
5.625092  0.957216948
5.8  0.964556591
6  0.981657217
6.2  1.00475333
6.4  1.01761717
6.5  1.00646844
6.6  1.01493621
6.7  1.00861432
7  0.981707408
7.3  0.969681969
8.1  0.918828325
8.6  0.87834744
8.9  0.862081399
9.1  0.859567059
9.33120673  0.865185985
9.9  0.889311935
12  0.922895504
12.2721207  0.920451637
12.8  0.908563872
13.5  0.905215987
16.4285537  0.930663543
20  0.951971371
