E(MeV)  pendfb7/U235:102
1.0358267e-08  172.433012
1.0668767e-08  169.458823
1.098877e-08  166.52057
1.131817e-08  163.621531
1.1657652e-08  160.757976
1.2007102e-08  157.933164
1.2367248e-08  155.143495
1.2737969e-08  152.392191
1.3120036e-08  149.675789
1.3513323e-08  146.997439
1.3918647e-08  144.353813
1.4335873e-08  141.748005
1.4765869e-08  139.176804
1.5208491e-08  136.643262
1.5664661e-08  134.144298
1.6066415e-08  132.031714
1.6478474e-08  129.94566
1.69011e-08  127.88617
1.7334566e-08  125.853264
1.7779149e-08  123.846975
1.8235134e-08  121.867331
1.8702814e-08  119.914348
1.9182488e-08  117.98804
1.9674465e-08  116.088398
2.017906e-08  114.215406
2.0696596e-08  112.369037
2.1227406e-08  110.54924
2.1771829e-08  108.755966
2.2330215e-08  106.989146
2.2902922e-08  105.248704
2.3490318e-08  103.534554
2.4092778e-08  101.846606
2.471069e-08  100.184746
2.5268741e-08  98.7407609
2.53e-08  98.6614106
2.5948874e-08  97.0495534
2.6614389e-08  95.46337
2.7296974e-08  93.9026832
2.7997064e-08  92.3672987
2.871511e-08  90.857007
2.9451572e-08  89.3715855
3.0206922e-08  87.9107992
3.0981645e-08  86.4744031
3.1776237e-08  85.0621438
3.2591208e-08  83.6737614
3.3427081e-08  82.3089893
3.4284391e-08  80.9675522
3.516369e-08  79.6491599
3.6065539e-08  78.353501
3.6990519e-08  77.0802383
3.7939222e-08  75.8290122
3.8912256e-08  74.5994526
3.9910246e-08  73.3911971
4.0933832e-08  72.2039048
4.1983669e-08  71.037262
4.3060432e-08  69.8909769
4.4164811e-08  68.764769
4.5297515e-08  67.6583593
4.6459268e-08  66.5714664
4.7650818e-08  65.5038077
4.8872927e-08  64.455102
5.0126381e-08  63.4250741
5.1411981e-08  62.413457
5.2730554e-08  61.4199937
5.4082944e-08  60.4444384
5.547002e-08  59.4865575
5.689267e-08  58.5461304
5.8351807e-08  57.6229498
5.9848367e-08  56.7168231
6.1383309e-08  55.8275727
6.2957618e-08  54.9550368
6.4572304e-08  54.0990713
6.6228402e-08  53.2595521
6.7926974e-08  52.4363803
6.966911e-08  51.6294872
7.1455927e-08  50.838835
7.328857e-08  50.0644019
7.5168216e-08  49.306154
7.709607e-08  48.5640268
7.9073367e-08  47.8379447
8.1101376e-08  47.1278758
8.3181399e-08  46.4338734
8.5314768e-08  45.7560707
8.7502851e-08  45.0946452
8.9747053e-08  44.4497931
9.2048813e-08  43.8217266
9.4409606e-08  43.2106848
9.6830947e-08  42.6169435
9.9314389e-08  42.0408222
1.01861523e-07  41.4826892
1.04473985e-07  40.9429659
1.07153449e-07  40.4221328
1.09439731e-07  40.0027521
1.11772803e-07  39.5975678
1.14157646e-07  39.206286
1.16591297e-07  38.8299979
1.1907895e-07  38.468544
1.21617514e-07  38.1230584
1.24212409e-07  37.7935356
1.2686041e-07  37.4811674
1.2956717e-07  37.1861268
1.32329326e-07  36.9096817
1.35152774e-07  36.652213
1.38034005e-07  36.4150869
1.40979171e-07  36.1989279
1.43984611e-07  36.0052264
1.47056742e-07  35.8348933
1.50191747e-07  35.6895735
1.5274889e-07  35.5921744
1.55349571e-07  35.5124771
1.57994531e-07  35.4513715
1.60684524e-07  35.4098126
1.6480563e-07  35.3863823
1.67775964e-07  35.3997246
1.70632494e-07  35.4365079
1.73537659e-07  35.4980878
1.76492287e-07  35.5858167
1.7949722e-07  35.7011125
1.82553314e-07  35.8454504
1.85661441e-07  36.0203523
1.8802889e-07  36.1726355
1.90423135e-07  36.3434223
1.92851303e-07  36.5338543
1.95306953e-07  36.7440402
1.97797396e-07  36.9751871
2.00316027e-07  37.2272117
2.02870343e-07  37.5013263
2.0545357e-07  37.7971759
2.08073397e-07  38.1158978
2.10722876e-07  38.4567507
2.13409894e-07  38.820654
2.17043381e-07  39.3400683
2.20738731e-07  39.8974789
2.24496998e-07  40.4901718
2.29282899e-07  41.2738976
2.41194639e-07  43.270965
