E(MeV)  pendfb7/Be9:102
8.17785e-09  0.015122454
8.42299e-09  0.014900953
8.675632e-09  0.01468256
8.935694e-09  0.01446749
9.203714e-09  0.014255439
9.479605e-09  0.014046615
9.76394e-09  0.013840723
1.0056625e-08  0.013637964
1.0358267e-08  0.013438051
1.0668767e-08  0.013241182
1.098877e-08  0.013047077
1.131817e-08  0.012855927
1.1657652e-08  0.012667461
1.2007102e-08  0.012481866
1.2367248e-08  0.012298877
1.2737969e-08  0.012118676
1.3120036e-08  0.011941006
1.3513323e-08  0.011766042
1.3918647e-08  0.011593537
1.4335873e-08  0.01142366
1.4765869e-08  0.01125617
1.5208491e-08  0.011091233
1.5664661e-08  0.010928614
1.6134225e-08  0.010768474
1.6618162e-08  0.010610584
1.7116308e-08  0.010455102
1.7629702e-08  0.010301805
1.8158171e-08  0.010150845
1.8702814e-08  0.010002008
1.926345e-08  0.009855441
1.9841246e-08  0.009710934
2.0436008e-08  0.009568631
2.1048973e-08  0.009428329
2.1679938e-08  0.009290166
2.2330215e-08  0.009153947
2.2999587e-08  0.009019805
2.3689445e-08  0.00888755
2.4399561e-08  0.008757311
2.5268741e-08  0.008605433
2.53e-08  0.008600117
2.6058858e-08  0.008474016
2.684e-08  0.008349837
2.7645049e-08  0.008227405
2.8473738e-08  0.008106841
2.9327791e-08  0.007987972
3.0206922e-08  0.007870916
3.111296e-08  0.007755506
3.2045604e-08  0.007641857
3.3006792e-08  0.007529805
3.3996206e-08  0.007419463
3.5015901e-08  0.007310673
3.6065539e-08  0.007203542
3.7147303e-08  0.007097918
3.8260833e-08  0.006993904
3.9408443e-08  0.006891354
4.0589752e-08  0.006790368
4.1807217e-08  0.006690802
4.3060432e-08  0.006592754
4.4352004e-08  0.006496086
4.5681502e-08  0.006400892
4.705169e-08  0.006307038
4.8462114e-08  0.006214615
4.9915706e-08  0.006123493
5.1411981e-08  0.006033762
5.2954052e-08  0.005945293
5.4541406e-08  0.005858175
5.6177342e-08  0.005772284
5.7861316e-08  0.005687706
5.9596832e-08  0.005604319
6.1383309e-08  0.005522208
6.3224464e-08  0.005441255
6.5119683e-08  0.005361543
6.7072909e-08  0.005282958
6.9083489e-08  0.005205579
7.1155607e-08  0.005129298
7.328857e-08  0.005054192
7.5486817e-08  0.004980154
7.7749613e-08  0.004907262
8.0081665e-08  0.004835413
8.2482197e-08  0.00476468
8.49562e-08  0.004694965
8.7502851e-08  0.004626339
9.0127446e-08  0.004558707
9.2829111e-08  0.004492136
9.5613464e-08  0.004426535
9.8479577e-08  0.004361967
1.01433412e-07  0.004298341
1.04473985e-07  0.004235718
1.07607619e-07  0.004174006
1.1083327e-07  0.004113263
1.14157646e-07  0.004053395
1.17579641e-07  0.003994457
1.21106371e-07  0.003936357
1.24736661e-07  0.003879143
1.28478062e-07  0.003822727
1.32329326e-07  0.003767155
1.36298464e-07  0.00371234
1.40384153e-07  0.003658331
1.4459489e-07  0.003605044
1.48929273e-07  0.00355253
1.53396316e-07  0.003500712
1.57994531e-07  0.003449641
1.62733481e-07  0.003399248
1.67611588e-07  0.003349585
1.72638996e-07  0.003300587
1.7781403e-07  0.003252307
1.83147454e-07  0.003204682
1.8863749e-07  0.003157768
1.94295557e-07  0.003111495
2.0011977e-07  0.003065917
2.06122241e-07  0.003020972
2.12300971e-07  0.002976708
2.18668809e-07  0.002933063
2.25223636e-07  0.002890081
2.31979082e-07  0.002847704
2.38932897e-07  0.002805972
2.46099545e-07  0.002764827
2.53476636e-07  0.00272431
2.61079514e-07  0.002684364
2.68905645e-07  0.002645027
2.76971307e-07  0.002606244
2.85273811e-07  0.002568052
2.93830426e-07  0.002530398
3.02638301e-07  0.002493319
3.11715753e-07  0.002456762
3.21059758e-07  0.002420763
3.30689751e-07  0.002385272
3.40602522e-07  0.002350323
3.50818688e-07  0.002315868
3.61334845e-07  0.002281943
3.72172865e-07  0.002248504
3.83329135e-07  0.002215591
3.9482686e-07  0.002183169
4.06662208e-07  0.002151285
4.18859794e-07  0.00211991
4.31415555e-07  0.002089098
4.44355602e-07  0.002058826
4.57675626e-07  0.002029145
4.71403329e-07  0.002000018
4.85534136e-07  0.001971453
5.00097438e-07  0.001943358
5.17271584e-07  0.001911737
5.35035517e-07  0.001880468
5.53409492e-07  0.00184941
5.72414459e-07  0.001818508
5.92072087e-07  0.001787834
6.09820067e-07  0.00176133
6.2811125e-07  0.001735272
6.46939541e-07  0.001709808
6.663441e-07  0.001684941
6.86318461e-07  0.001660632
7.09887735e-07  0.001633302
7.37378603e-07  0.001602807
7.65920429e-07  0.001572346
7.92223361e-07  0.001545282
8.1598562e-07  0.00152176
8.40445642e-07  0.001498593
8.65654299e-07  0.001475899
8.87855898e-07  0.001456888
9.14470306e-07  0.001435195
9.41899289e-07  0.001413928
9.70133704e-07  0.001393039
9.99232276e-07  0.001372484
1.02623282e-06  0.001354258
1.05518951e-06  0.001335573
1.08496327e-06  0.001317206
1.11557714e-06  0.001299087
1.14705482e-06  0.001281148
1.17942069e-06  0.001263371
1.21269981e-06  0.001245807
1.24691796e-06  0.00122854
1.28210162e-06  0.00121162
1.31827804e-06  0.001195015
1.37433257e-06  0.001170535
1.43304796e-06  0.001146186
1.47348355e-06  0.001130203
1.5150601e-06  0.001114523
1.55780979e-06  0.001099208
1.62404946e-06  0.00107682
1.69343346e-06  0.001054568
1.76543998e-06  0.001032559
1.81525452e-06  0.001018139
1.86647465e-06  0.001004102
1.94621574e-06  0.000983644
2.05759605e-06  0.000956783
2.14508714e-06  0.000936724
2.23673135e-06  0.000917179
2.33183946e-06  0.000898608
2.46528869e-06  0.000874251
2.60637512e-06  0.000849763
2.71772686e-06  0.000832033
2.83328738e-06  0.000815295
3.07995474e-06  0.000781993
3.21153914e-06  0.000765358
3.34809707e-06  0.000749729
3.58964494e-06  0.000724702
3.84787437e-06  0.000699263
4.01226648e-06  0.000684757
4.61118571e-06  0.000638943
4.80725805e-06  0.000625873
5.08237344e-06  0.000610334
6.17530702e-06  0.000552606
6.43913364e-06  0.000540556
7.29736328e-06  0.000508132
7.71498533e-06  0.000493648
8.86661699e-06  0.000460952
9.37404613e-06  0.000448068
1.22115986e-05  0.000392656
1.27308483e-05  0.000384899
1.61293999e-05  0.000341752
1.68152385e-05  0.000334734
2.16005172e-05  0.000295182
2.25233526e-05  0.000289346
2.89330458e-05  0.000254955
3.87471795e-05  0.00022027
5.11782914e-05  0.000191685
6.21838726e-05  0.000173828
8.32928588e-05  0.000150191
9.97965285e-05  0.000137293
0.000147332785  0.000129955
0.00021751207  0.000123263
0.000379467631  0.000114178
0.000617584975  0.000106843
0.001  0.000100017
20  0.0001
