24-Cr-52(n,&gamma;) ENDF/B-VII.1
22997.8,0.0532623
23002.8,0.043615
23008.9,0.0349849
23015.4,0.0284508
23023.1,0.0227488
23031.7,0.0183094
23041.4,0.0146938
23051.9,0.0119146
23063.5,0.00968076
23077.4,0.00779548
23092.7,0.0063147
23110.7,0.00508681
23130.2,0.00415268
23149.7,0.00347893
23174.0,0.00287151
23201.3,0.00238981
23236.3,0.00196274
23277.2,0.00162511
23323.9,0.00136672
23386.2,0.00114281
23464.1,9.68497E-4
23553.2,8.45275E-4
23671.9,7.47456E-4
23862.6,6.58681E-4
24091.4,6.05483E-4
24549.0,5.54987E-4
24701.6,5.47096E-4
24778.1,5.5133E-4
24812.2,5.74179E-4
24824.9,6.12106E-4
24831.3,6.65324E-4
24834.0,7.19255E-4
24835.6,7.89892E-4
24836.6,8.78282E-4
24837.4,9.85612E-4
24838.1,0.00112054
24838.8,0.00132886
24839.6,0.00163238
24840.2,0.00199728
24840.8,0.00249111
24841.4,0.0031512
24842.0,0.00402207
24842.6,0.00515442
24843.3,0.00660448
24844.0,0.00877775
24844.7,0.0115595
24845.5,0.015597
24846.5,0.0213484
24847.6,0.0301776
24849.2,0.0456546
24851.9,0.0735715
24853.5,0.0861237
24855.0,0.0907044
24855.2,0.0907702
24856.5,0.0874572
24858.0,0.0779682
24860.2,0.0557327
24862.3,0.0342252
24863.4,0.0244827
24864.5,0.0174875
24865.3,0.0128618
24866.1,0.0097346
24866.8,0.00728731
24867.5,0.00555417
24868.2,0.00422684
24868.9,0.00322878
24869.5,0.00249159
24870.1,0.0019975
24870.8,0.00163231
24871.4,0.00136524
24872.1,0.00113989
24872.9,9.87855E-4
24873.9,8.5939E-4
24875.1,7.68654E-4
24876.7,7.07258E-4
24880.1,6.50454E-4
24884.5,6.14632E-4
24893.5,5.79825E-4
24911.4,5.5486E-4
24964.9,5.39178E-4
25466.0,5.16739E-4
26560.2,5.0291E-4
26975.6,5.13781E-4
27162.5,5.37808E-4
27266.3,5.73864E-4
27336.1,6.26399E-4
27385.7,6.99905E-4
27422.5,8.00117E-4
27449.7,9.27434E-4
27469.2,0.00106883
27485.6,0.00125277
27499.9,0.00149474
27510.8,0.00176744
27521.8,0.00216163
27529.9,0.0025923
27536.9,0.00311047
27543.6,0.00379979
27549.0,0.00459697
27554.2,0.00566322
27558.7,0.00698595
27562.6,0.00858227
27566.0,0.0105166
27569.2,0.0130948
27571.7,0.0160033
27573.7,0.0191051
27575.2,0.0225098
27576.8,0.0273827
27578.1,0.0334865
27579.1,0.0407289
27580.0,0.0498674
27580.8,0.0608258
27581.6,0.0766553
27582.3,0.0947344
27583.0,0.118645
27583.7,0.150085
27584.3,0.191094
27585.1,0.246902
27585.8,0.320704
