92-U-234(n,&gamma;) ENDF/B-VII.1
32.1263,4.04728
32.2425,3.23553
32.3753,2.57783
32.5165,2.07795
32.6825,1.65802
32.8693,1.32452
33.0727,1.06574
33.2886,0.868428
33.5542,0.694373
33.8483,0.559083
34.1471,0.461954
34.4886,0.379808
34.8301,0.319691
35.2569,0.265261
35.7691,0.219141
36.3667,0.182749
37.135,0.152569
37.818,0.135439
38.5009,0.124647
39.5245,0.117272
39.8651,0.116585
40.8187,0.120508
41.636,0.13124
42.3172,0.147194
42.9302,0.170237
43.4411,0.201155
43.8215,0.236032
44.1461,0.281889
44.3978,0.337115
44.5948,0.404487
44.7356,0.477767
44.8515,0.567938
44.9509,0.684865
45.0304,0.826957
45.09,0.985204
45.1397,1.17965
45.1794,1.41478
45.2059,1.64788
45.2291,1.9434
45.249,2.30971
45.268,2.8158
45.2854,3.47744
45.3003,4.26128
45.3152,5.31838
45.3301,6.73592
45.345,8.61869
45.3595,11.0098
45.3761,14.5769
45.3926,19.2127
45.4113,25.9193
45.4311,35.0084
45.455,48.6306
45.4894,72.7294
45.5464,114.654
45.5795,131.434
45.6097,136.855
45.6391,131.739
45.6696,116.889
45.7219,79.0462
45.7617,50.6484
45.7862,36.3638
45.8059,27.1255
45.8253,19.9629
45.8418,15.2077
45.8584,11.5362
45.8741,8.88429
45.889,6.98037
45.9039,5.54581
45.9189,4.47588
45.9362,3.57286
45.9549,2.90074
45.9731,2.44599
45.9959,2.06046
46.0232,1.76085
46.0596,1.51145
46.1035,1.32569
46.1697,1.1591
46.2525,1.04784
46.3519,0.989643
46.4049,0.979617
46.544,0.999833
46.7295,1.10555
46.8993,1.27573
47.0721,1.53702
47.2055,1.82306
47.3445,2.23663
47.4638,2.73422
47.5702,3.34833
47.6614,4.07015
47.746,4.98687
47.822,6.11856
47.8914,7.54947
47.9522,9.28703
48.0043,11.3461
48.0499,13.8411
48.089,16.8364
48.1194,20.0996
48.1465,24.1999
48.1682,28.809
48.1899,35.3111
48.2084,43.102
48.2268,53.9664
48.2431,67.142
48.258,83.2133
48.2729,104.248
48.2879,131.56
48.3043,170.701
48.3211,222.733
48.3396,296.696
48.3603,403.247
48.3837,557.383
48.4124,792.661
48.4905,1544.48
48.5218,1767.62
48.5541,1871.25
48.5598,1873.67
48.5878,1815.02
48.619,1625.91
48.6659,1193.4
48.7124,747.623
48.7406,524.602
48.7614,392.395
48.7823,287.84
48.8014,214.069
48.8187,162.726
48.8361,123.752
48.853,95.3065
48.8682,76.0866
48.8856,59.7161
48.903,47.8061
48.9209,38.8897
48.9399,32.0543
48.9616,26.4742
48.9887,21.6262
49.0202,17.7642
49.0592,14.4495
49.1059,11.6906
49.1591,9.46672
49.2199,7.65066
49.285,6.24402
49.361,5.05266
49.4456,4.09312
49.5368,3.34076
49.6366,2.73573
49.7582,2.20101
49.9014,1.75253
50.0534,1.41307
50.227,1.13511
50.4094,0.924888
50.6221,0.747025
50.8522,0.60832
51.13,0.487947
51.4468,0.391336
51.7582,0.324199
52.114,0.26664
52.5142,0.219644
52.9812,0.180154
53.4482,0.151554
53.9819,0.127645
54.827,0.101756
55.7165,0.0839002
56.606,0.0718095
57.6734,0.061841
58.7408,0.0555787
59.8082,0.0510145
61.2314,0.047595
63.0263,0.046124
64.8849,0.0477281
65.6284,0.0489608
67.1153,0.0536598
68.6022,0.0617932
69.7174,0.071719
70.6467,0.0839494
71.576,0.102436
72.4124,0.128313
72.97,0.154278
73.4579,0.186593
73.9174,0.230351
74.3062,0.283601
74.6394,0.346348
74.9331,0.425497
75.2052,0.529584
75.4456,0.660871
75.652,0.820568
75.8243,1.00693
75.983,1.24522
76.1214,1.53335
76.2484,1.90142
76.355,2.32981
76.4502,2.85583
76.5319,3.4717
76.6135,4.32543
76.6815,5.32524
76.7428,6.59721
76.7904,8.00569
76.8301,9.68172
76.8607,11.5213
76.8879,13.8271
76.9117,16.6614
76.9355,20.6575
76.9559,25.4282
76.9742,31.1705
76.9933,39.1711
77.0125,49.8373
77.0325,64.655
77.0522,83.9123
77.0724,109.674
77.094,145.01
77.1154,189.609
77.1428,261.956
77.1745,368.365
77.2167,542.58
77.292,878.683
77.3365,1021.66
77.3764,1072.31
77.3797,1072.63
77.4145,1039.57
77.4526,934.928
77.5088,698.55
77.5696,428.972
77.605,299.498
77.6335,216.336
77.658,160.351
77.6793,122.109
77.6998,93.4533
77.7202,71.3578
77.7406,54.6166
77.7598,42.7162
77.7797,33.5486
77.7995,26.7629
77.8194,21.7506
77.8404,17.8562
77.8642,14.6668
77.888,12.37
77.922,10.0724
