94-Pu-239(n,&gamma;) ENDF/B-VII.1
1.0E-5,11766.3
1.31241E-5,10271.0
1.70876E-5,9001.46
2.2426E-5,7857.68
2.91987E-5,6886.58
3.83206E-5,6011.57
4.98935E-5,5268.79
6.54808E-5,4599.53
8.52562E-5,4031.47
1.11891E-4,3519.59
1.45682E-4,3085.07
1.91195E-4,2693.72
2.48937E-4,2361.5
3.26707E-4,2062.17
4.25373E-4,1808.25
5.58264E-4,1579.55
7.26861E-4,1385.66
9.53941E-4,1211.06
0.00124203,1063.0
0.00163006,929.889
0.00212234,817.185
0.00278538,715.958
0.00362657,630.485
0.00475955,554.848
0.00619694,490.226
0.00813293,432.512
0.0105891,384.896
0.0138972,342.097
0.0180942,307.2
0.0234661,279.123
0.0253,271.803
0.0361611,243.256
0.0516848,225.449
0.0658195,220.939
0.0863822,226.762
0.11247,250.618
0.134461,286.519
0.154179,335.42
0.172539,401.733
0.19022,494.245
0.20569,610.213
0.219196,750.929
0.232126,934.264
0.245732,1193.41
0.264177,1653.24
0.278208,2006.67
0.287884,2162.38
0.294657,2193.34
0.303365,2125.04
0.315944,1852.15
0.340376,1168.09
0.352471,900.701
0.364868,693.227
0.376963,543.848
0.389058,433.383
0.402665,342.154
0.417179,271.525
0.433507,214.234
0.451347,169.444
0.470397,135.112
0.490958,108.346
0.512729,87.7204
0.536315,71.3586
0.565343,56.828
0.597394,45.4396
0.63126,36.8701
0.66815,30.1018
0.710482,24.4978
0.758862,19.9318
0.81329,16.2882
0.866508,13.7102
0.939078,11.1959
1.02616,9.1277
1.12413,7.52465
1.23299,6.29208
1.35998,5.28855
1.50512,4.48609
1.68655,3.78741
1.90426,3.21137
2.18244,2.70518
2.5211,2.28868
2.90814,1.96603
3.39194,1.69679
3.9725,1.49634
4.48412,1.39884
4.98387,1.36942
5.48362,1.41982
5.90008,1.5601
6.14996,1.72091
6.39984,1.98704
6.58204,2.29499
6.7278,2.66395
6.85534,3.13413
6.96466,3.71578
7.06097,4.45016
7.15207,5.45811
7.22651,6.64673
7.28846,8.04125
7.3452,9.84002
7.39518,12.0743
7.43786,14.7414
7.4743,17.8763
7.51074,22.2428
7.54094,27.3201
7.57009,34.2319
7.59508,42.6708
7.61694,53.1229
7.6349,65.0838
7.6513,80.0916
7.6677,100.971
7.68253,127.259
7.69711,162.676
7.71116,208.583
7.72678,275.8
7.74656,385.79
7.78311,615.453
7.79914,687.239
7.81626,716.765
7.81663,716.779
7.82996,699.442
7.84745,630.021
7.89805,320.263
7.91523,236.56
7.92903,184.764
7.9436,143.352
7.9574,114.307
7.97197,91.6545
7.98759,73.9391
8.00581,59.0963
8.02403,48.406
8.04589,39.1203
8.07088,31.5478
8.09743,25.7678
8.13023,20.6677
8.16459,16.8647
8.20623,13.5858
8.25412,10.9506
8.30514,8.98005
8.3598,7.47642
8.42539,6.20129
8.50192,5.1677
8.59707,4.30534
8.707,3.66481
8.81693,3.25905
8.96087,2.95053
9.10481,2.80384
9.20076,2.77743
9.39268,2.86994
9.58459,3.15984
9.75732,3.64206
9.90845,4.33003
10.0308,5.17857
10.1316,6.1944
10.2203,7.46644
10.2959,8.98272
10.3714,11.1392
10.4338,13.6856
10.4884,16.8208
10.5382,20.8486
10.5802,25.5982
10.6209,32.0664
10.6545,39.5025
10.6869,49.4285
10.7157,61.6116
10.7445,78.3496
10.7733,101.284
10.8021,131.798
10.8464,192.103
10.8877,247.217
10.9126,267.709
10.9302,272.407
10.951,266.462
10.9779,242.546
11.0581,133.98
11.0881,102.28
11.1163,79.9783
11.1451,63.3681
11.1739,51.3726
11.2075,41.4326
11.2399,34.6634
11.2818,28.6089
11.3238,24.6127
11.3598,22.3351
11.4078,20.5412
11.4606,19.9498
11.5055,20.5925
11.5505,22.5444
11.5805,24.8508
11.6133,28.7561
11.6407,33.7273
11.6625,39.5272
11.684,47.785
11.6999,56.5846
11.7159,68.9528
11.7312,85.9097
11.7433,104.45
11.7554,129.18
11.769,166.567
11.7821,214.29
11.7966,283.392
11.8141,389.613
11.8615,730.431
11.8777,813.745
11.8947,851.663
11.8975,852.288
11.9123,828.913
11.9299,748.941
11.9584,548.983
11.9852,357.458
12.0024,259.562
12.0162,198.288
12.0292,153.706
12.0423,120.126
12.0538,97.7342
12.0659,79.9572
12.0805,64.2957
12.0963,52.1275
12.1131,42.9227
12.1332,35.057
12.1545,29.1202
12.1813,23.7616
12.2141,19.1958
12.2499,15.7245
12.2917,12.886
12.3364,10.7404
12.3938,8.81551
12.4609,7.28371
12.5392,6.08325
12.6175,5.26838
12.7206,4.55608
12.8362,4.06513
12.9518,3.78818
13.1072,3.65553
13.2739,3.775
13.3988,4.05429
13.5182,4.51974
13.6348,5.2478
13.732,6.17763
13.8148,7.35513
13.8886,8.91409
13.9491,10.8048
13.9997,13.1231
14.0408,15.8809
14.0758,19.3269
14.1008,22.857
14.1213,26.8518
14.1435,32.9026
14.163,40.4022
14.1824,50.8298
14.2018,65.0703
14.2224,84.94
14.2501,119.001
14.2926,173.524
14.3148,192.104
14.3352,197.705
14.3557,191.632
14.3868,166.383
14.4223,133.624
14.4401,122.841
14.4578,118.574
14.4756,122.42
14.4889,131.713
14.5053,152.258
14.5195,180.352
14.5336,219.639
14.5493,279.063
14.5671,369.93
14.589,513.864
14.6353,860.358
14.6533,958.544
14.6708,1004.94
14.6766,1007.79
14.6962,970.409
14.7173,860.158
14.7748,432.308
14.7933,320.722
14.8102,241.555
14.8252,187.923
14.8402,147.55
14.8552,117.641
14.8708,94.8113
14.8876,76.9647
14.9063,62.7831
14.9269,51.6768
14.9519,42.1885
14.98,34.7272
15.0112,28.8884
15.0454,24.349
15.0874,20.4693
15.1293,17.7971
15.1893,15.2975
15.2492,13.7619
15.3291,12.5537
15.5648,10.0711
15.806,6.74867
15.9364,5.40811
16.0613,4.53107
16.1861,3.96585
16.3359,3.59261
16.4758,3.48536
16.6256,3.62189
16.738,3.92996
16.8453,4.4599
16.9327,5.14953
17.0201,6.20706
17.0851,7.37394
17.145,8.91664
17.1949,10.7386
17.2374,12.8829
17.2748,15.4701
17.3123,19.0732
17.3448,23.5113
17.3697,28.2596
17.3947,34.8716
17.4147,42.2658
17.4339,52.1189
17.4499,63.3663
17.4659,78.5485
17.4826,100.178
17.4993,129.615
17.5156,167.579
17.5347,225.991
17.5581,318.088
17.6119,563.997
17.6356,638.62
17.6568,661.956
17.6765,641.373
17.699,573.686
17.7652,277.148
17.7853,204.772
17.802,157.334
17.8192,119.949
17.8345,94.9461
17.8503,75.5951
17.8667,60.662
17.8835,49.5339
17.9035,39.8798
17.9265,32.1004
17.9503,26.3367
17.979,21.3824
18.0105,17.4816
18.0449,14.3944
18.0851,11.7786
18.1319,9.58646
18.1854,7.80091
18.2494,6.29405
18.3163,5.17744
18.3928,4.2634
18.4883,3.46309
18.5934,2.85482
18.7081,2.39164
18.8419,2.0161
18.9971,1.71895
19.1524,1.51489
19.3387,1.35103
19.5701,1.23002
19.8549,1.16885
19.9085,1.16662
20.1764,1.19763
20.4443,1.30876
20.6251,1.4442
20.8361,1.69853
21.0069,2.02337
21.1475,2.42188
21.2647,2.89877
21.3652,3.47161
21.4657,4.281
21.5534,5.29409
21.6284,6.52863
21.69,7.94502
21.7463,9.73172
21.7945,11.8398
21.8414,14.6847
21.8816,18.1035
21.9157,22.1356
21.9485,27.5625
21.9767,34.1436
22.0025,42.6618
22.0246,52.8537
22.0447,65.4895
22.0657,83.5582
22.0862,107.252
22.1073,139.699
22.1314,188.048
22.1635,269.879
22.2127,404.781
22.2371,453.172
22.2602,474.545
22.2661,475.499
22.2917,457.959
22.3172,410.302
22.3906,212.525
22.4157,157.098
22.4375,119.652
22.4589,91.7306
22.4783,72.8148
22.4984,58.2188
22.5185,47.3969
22.5416,38.2724
22.5677,30.8676
22.5982,24.7509
22.6283,20.4054
22.6645,16.6107
22.708,13.3495
22.7549,10.8453
22.8112,8.70665
22.8674,7.17328
22.9331,5.87643
23.0081,4.81644
23.0925,3.9697
23.1768,3.36247
23.2829,2.82989
23.3889,2.48643
23.4737,2.33386
23.5284,2.30431
23.5958,2.38854
23.6372,2.56898
23.6633,2.78724
23.6878,3.12885
23.7062,3.52517
23.7276,4.22158
23.746,5.10436
23.7635,6.26761
23.7836,8.099
23.8046,10.6523
23.8326,14.9859
23.8863,24.0643
23.9097,26.7051
23.9326,27.6172
23.9575,26.4967
23.9836,23.3035
24.0502,11.955
24.0732,8.81166
24.0934,6.69702
24.1096,5.39523
24.1259,4.40649
24.1445,3.58358
24.1629,3.00901
24.1844,2.54779
24.2089,2.19853
24.2426,1.89603
24.2886,1.65119
24.3499,1.46261
24.4219,1.3347
24.4939,1.25892
24.638,1.19075
24.6993,1.18397
24.851,1.21107
25.0026,1.30057
25.1558,1.47078
25.2835,1.70327
25.3856,1.98208
25.4877,2.39252
25.5771,2.92615
25.6521,3.58043
25.7165,4.38566
25.7696,5.32423
25.8196,6.57313
25.8625,8.09628
25.8973,9.82311
25.9279,11.9363
25.9534,14.3655
25.979,17.76
25.9994,21.5467
26.0198,26.7669
26.0392,33.6366
26.0576,42.5262
26.0755,54.0988
26.0933,69.2789
26.1138,91.8339
26.1383,126.79
26.175,192.521
26.22,273.212
26.2445,302.364
26.2689,312.65
26.2911,303.773
26.319,270.633
26.3701,177.839
26.4007,124.377
26.424,91.6064
26.4447,68.9074
26.4643,52.54
26.4812,41.9198
26.5003,32.8828
26.5182,26.6707
26.5396,21.2569
26.5621,17.2348
26.5876,14.0023
26.6183,11.3002
26.653,9.18048
26.6898,7.60138
26.7362,6.21039
26.7847,5.21903
26.843,4.44059
26.8818,4.1118
26.9346,3.8952
26.9463,3.88937
26.9756,3.96954
27.0056,4.26452
27.0295,4.77585
27.0505,5.57084
27.0684,6.65723
27.0855,8.18843
27.1019,10.2793
27.1183,13.1386
27.1347,16.9121
27.1534,22.4626
27.1769,31.2101
27.238,57.6025
27.2653,65.505
27.2878,67.676
27.3109,65.249
27.338,57.1759
27.4071,27.3527
27.4275,20.1284
27.4463,14.8745
27.4634,11.1815
27.4791,8.64333
27.4947,6.74919
27.5103,5.36259
27.5267,4.31719
27.5431,3.57512
27.5618,2.98168
27.5853,2.48377
27.6134,2.09412
27.6485,1.77592
27.6967,1.49164
27.7617,1.24404
27.8398,1.05079
27.935,0.894109
28.0645,0.753185
28.194,0.657453
28.4072,0.552367
28.6622,0.47061
28.9957,0.403116
29.3883,0.355088
