92-U-238(n,elastic) ENDF/B-VII.1
66.3027,377.034
66.3253,296.57
66.3479,235.467
66.3704,189.903
66.3962,152.268
66.4229,125.099
66.4541,103.538
66.4853,88.9188
66.5298,75.0037
66.5891,63.1409
66.6633,53.5187
66.7672,44.7847
66.8969,37.8145
67.0267,33.1628
67.2397,28.174
67.5214,24.1611
67.9009,20.9372
68.4127,18.3914
69.1194,16.3671
70.1295,14.7362
71.9623,13.1684
75.3032,11.7307
78.7771,10.537
79.7875,9.74694
80.1159,9.06715
80.3859,7.96825
80.4348,8.1511
80.4664,8.60883
80.498,9.47882
80.5296,10.8817
80.5659,13.2561
80.611,17.3061
80.7133,27.8914
80.7601,30.9383
80.7992,31.7193
80.8472,30.4598
80.9192,25.6228
80.9934,20.1852
81.0553,16.9322
81.1074,15.2105
81.1769,13.9078
81.3032,12.8498
81.5937,11.9279
82.3026,11.138
84.6122,10.2586
90.3554,8.76467
93.8971,7.44281
95.8439,6.32302
97.1638,5.26171
98.2564,4.05525
99.0372,2.92955
99.713,1.74679
100.291,0.664623
100.448,0.406637
100.549,0.266493
100.62,0.185541
100.673,0.137624
100.709,0.113044
100.745,0.0952882
100.777,0.0857887
100.804,0.0834069
100.831,0.0863933
100.857,0.0952798
100.881,0.108605
100.909,0.131708
100.94,0.167399
100.973,0.21756
101.005,0.282394
101.041,0.372043
101.082,0.505183
101.125,0.680708
101.17,0.90969
101.219,1.22793
101.272,1.67131
101.326,2.23871
101.379,2.96134
101.438,3.99625
101.497,5.34866
101.557,7.12315
101.61,9.2029
101.663,11.8998
101.717,15.4403
101.77,20.1696
101.818,25.814
101.859,32.381
101.901,41.2111
101.936,51.4808
101.969,64.1898
102.001,81.2306
102.027,100.437
102.056,128.091
102.08,158.891
102.103,199.137
102.127,251.66
102.153,327.671
102.179,427.851
102.204,551.292
102.233,736.437
102.263,983.393
102.299,1351.39
102.345,1951.62
102.468,3800.02
102.521,4322.89
102.566,4477.76
102.606,4353.79
102.658,3869.6
102.747,2599.81
102.806,1783.6
102.849,1296.94
102.885,984.017
102.914,780.138
102.945,615.888
102.977,487.811
103.009,393.534
103.045,318.085
103.084,259.981
103.127,216.11
103.18,178.773
103.237,151.224
103.311,126.587
103.4,106.134
103.507,89.077
103.649,73.5912
103.792,62.9374
103.993,52.5738
104.224,44.6109
104.515,37.8906
104.811,33.1963
105.286,28.1886
105.831,24.4966
106.542,21.37
107.538,18.5978
108.866,16.2544
111.747,12.9698
113.612,10.7355
114.493,9.11819
115.041,7.60934
115.44,6.02908
115.702,4.62944
115.94,3.03838
116.095,1.94177
116.154,1.62253
116.187,1.53544
116.196,1.53054
116.223,1.58778
116.24,1.70795
116.258,1.92163
116.276,2.26209
116.294,2.77357
116.311,3.47814
116.327,4.36159
116.342,5.54006
116.359,7.17774
116.376,9.45113
116.392,12.3049
116.41,16.3739
116.428,21.69
116.446,28.556
116.464,37.3211
116.484,50.4758
116.505,67.4459
116.526,88.9731
116.549,119.034
116.576,163.387
116.604,220.762
116.637,308.894
116.68,446.287
116.803,897.23
116.857,1031.19
116.903,1072.89
116.949,1036.81
116.999,922.308
117.139,449.922
117.18,332.841
117.216,252.871
117.25,194.932
117.283,151.27
117.316,119.366
117.35,96.5808
117.383,80.2822
117.421,67.9831
117.458,59.554
117.503,52.6219
117.577,45.2741
117.687,38.7766
117.821,33.8673
117.982,30.0282
118.214,26.4689
118.512,23.622
119.015,20.804
119.74,18.5918
120.476,17.2747
121.65,16.0
124.462,14.4205
129.177,13.1708
144.012,11.1535
144.899,10.7669
145.331,10.193
145.424,10.4445
145.527,11.327
145.721,13.6136
145.802,13.931
145.937,13.4247
146.06,12.6617
146.307,11.889
147.197,11.3715
161.58,9.503
163.592,8.87929
164.339,8.22603
164.793,7.27464
164.862,7.45348
164.924,8.10065
164.976,9.20481
165.029,11.0513
165.089,14.0665
165.264,25.1865
165.329,27.7861
165.377,28.3977
165.438,27.5749
165.521,24.288
165.658,17.6863
165.744,14.717
165.809,13.2671
165.875,12.3432
166.006,11.3835
166.309,10.558
166.943,9.90914
168.549,9.25708
175.255,7.51601
178.539,6.30685
180.937,5.04696
182.511,3.92977
183.807,2.76821
184.982,1.50894
185.757,0.649742
186.023,0.389976
186.187,0.253706
186.302,0.173333
186.392,0.121561
186.462,0.0902854
186.52,0.0708295
186.565,0.0600475
186.604,0.0542967
186.641,0.0522002
186.647,0.0521673
186.683,0.0540098
186.719,0.0593966
186.753,0.0677826
186.792,0.0822228
186.838,0.105487
186.883,0.136474
186.931,0.178884
186.989,0.243158
187.052,0.333948
187.119,0.454424
187.192,0.620027
187.27,0.846529
187.352,1.14325
187.443,1.56158
187.537,2.11377
187.634,2.84283
187.731,3.77536
187.828,4.96729
187.924,6.49335
188.021,8.45479
188.118,10.9917
188.215,14.3035
188.312,18.6824
188.397,23.7308
188.486,30.8167
188.563,38.8602
188.634,48.8058
188.702,61.3695
188.77,78.4674
188.828,98.589
188.876,121.139
188.927,153.182
188.971,190.473
189.014,240.644
189.058,308.621
189.102,400.741
189.143,518.788
189.187,681.369
189.23,889.473
189.278,1189.57
189.336,1647.67
189.414,2405.95
189.535,3687.14
189.615,4305.83
189.684,4526.55
189.694,4528.93
189.754,4389.32
189.833,3857.67
190.031,1922.36
190.095,1424.53
190.149,1091.19
190.201,850.44
190.246,688.848
190.3,544.823
190.349,451.405
190.409,367.047
190.47,307.23
190.545,254.745
190.63,213.227
190.732,178.129
190.858,147.76
191.019,121.154
191.206,100.098
191.424,83.348
191.642,71.5321
191.957,59.6309
192.32,50.3578
192.786,42.4074
193.396,35.6008
194.109,30.4413
195.093,25.8683
196.152,22.668
197.813,19.4005
200.511,15.9978
204.066,12.1035
205.321,10.0525
205.98,8.48703
206.489,6.8288
206.889,5.08712
207.216,3.29697
207.434,2.03731
207.507,1.70583
207.561,1.56096
207.582,1.54713
207.616,1.60017
207.643,1.7387
207.671,1.99994
207.693,2.34609
207.717,2.87894
207.739,3.55731
207.761,4.53464
207.784,5.86107
207.807,7.63795
207.83,9.99123
207.852,13.0751
207.875,17.0769
207.9,22.8058
207.926,30.6513
207.952,40.8551
207.98,54.5933
208.007,72.1479
208.039,98.4056
208.071,131.977
208.105,177.95
208.143,241.543
208.187,331.463
208.247,483.154
208.403,932.114
208.474,1074.16
208.537,1123.51
208.541,1123.8
208.601,1088.67
208.66,991.224
208.762,729.048
208.863,463.82
208.92,342.263
208.97,258.874
209.016,200.765
209.058,160.104
209.098,131.185
209.145,106.024
209.193,88.5214
209.241,76.3187
209.289,67.6712
209.357,59.1702
209.448,51.7826
209.561,45.7125
209.738,39.5574
209.998,34.0024
210.343,29.5478
210.743,26.3749
211.352,23.4368
211.979,21.5554
213.298,19.2352
215.554,17.2111
219.527,15.4445
231.539,12.3356
233.768,11.1367
234.817,10.0268
235.514,8.72274
235.901,7.55898
236.201,6.24196
236.492,4.59222
236.566,4.4203
236.611,4.60227
236.645,5.00864
236.673,5.61517
236.702,6.55986
236.731,8.00378
236.76,10.0772
236.789,12.9631
236.814,16.3823
236.844,21.4083
236.873,27.9349
236.902,36.2341
236.937,49.1768
236.976,67.2856
237.018,92.0483
237.068,128.966
237.14,193.754
237.272,320.345
237.343,369.76
237.41,390.513
237.425,391.175
237.489,377.632
237.569,329.15
237.759,166.571
237.821,124.016
237.878,94.1422
237.929,73.7961
237.978,59.8564
238.026,49.8528
238.083,41.8526
238.147,35.9725
238.229,31.4478
238.339,27.9816
238.531,24.6297
238.844,21.68
239.102,20.2144
239.618,18.4188
240.135,17.348
241.39,15.9251
243.872,14.6959
250.223,13.4841
265.206,11.8085
268.458,11.0427
270.23,10.1743
271.265,9.16839
271.782,8.30402
272.214,7.17688
272.485,6.11986
272.731,4.94695
272.792,4.80343
272.845,4.90721
272.884,5.23784
272.923,5.91783
272.956,6.8716
272.989,8.31085
273.019,10.2194
273.05,12.9051
273.082,16.5086
273.113,21.2287
273.145,27.528
273.182,36.7718
273.224,50.1507
273.27,69.0928
273.325,97.6416
273.403,147.239
273.551,247.558
273.628,283.735
273.699,297.516
273.705,297.67
273.778,287.222
273.857,253.993
274.061,130.557
274.131,96.2879
274.186,75.4754
274.24,59.8465
274.294,48.4003
274.348,40.2818
274.405,34.3923
274.479,29.4608
274.564,26.1155
274.692,23.2905
274.885,20.9432
275.237,18.6079
275.705,16.9324
276.428,15.5603
277.968,14.2083
281.311,13.0236
286.771,11.66
288.27,10.8662
289.211,9.81566
289.658,8.85108
290.046,7.42179
290.175,7.0758
290.245,7.30096
290.285,7.73008
290.335,8.77296
290.374,10.1876
290.414,12.3082
290.454,15.3367
290.494,19.5623
290.538,25.6563
290.586,34.4684
290.64,47.4365
290.71,68.1704
290.897,132.368
290.981,151.861
291.054,158.095
291.06,158.096
291.134,152.062
291.211,135.468
291.42,73.4326
291.492,56.1071
291.56,43.6812
291.615,36.3823
291.683,29.9745
291.746,26.059
291.821,23.1235
291.896,21.3015
292.045,19.2822
292.353,17.3461
292.915,15.7442
293.944,14.5047
295.934,13.576
301.105,12.7423
309.941,11.9239
310.884,11.4295
