94-Pu-239(n,elastic) ENDF/B-VII.1
44.574,178.084
44.6081,159.362
44.6978,85.514
44.73,64.2091
44.7568,50.7421
44.7837,40.8494
44.8129,33.3295
44.8422,28.2652
44.8773,24.2879
44.9241,21.0093
44.9863,18.387
45.0631,16.3642
45.1861,14.364
45.3398,12.8488
45.5469,11.5822
45.7994,10.5834
46.2913,9.33994
47.3075,7.42225
47.4071,7.65187
47.4874,8.41708
47.5754,9.99373
47.6531,11.5219
47.7314,12.3723
47.7557,12.4256
47.8447,11.9343
48.0389,10.0005
48.2431,8.84558
48.5995,7.73911
49.367,5.71275
49.7465,4.60672
49.774,4.57834
49.8016,4.65126
49.8291,4.94006
49.8497,5.41249
49.8703,6.23507
49.8884,7.36349
49.9064,9.00169
49.9245,11.2827
49.9425,14.3366
49.9632,18.9108
49.9864,25.5388
50.0175,36.7443
50.0931,67.9438
50.1286,78.1579
50.1575,81.6361
50.1623,81.7315
50.1917,79.4
50.2239,71.8648
50.3185,39.3688
50.3531,30.0047
50.3839,23.9111
50.4146,19.6716
50.44,17.2576
50.4784,14.8736
50.5168,13.4235
50.5745,12.1064
50.6668,10.8569
50.8205,9.58261
51.1139,8.0458
51.7113,5.43787
51.9455,4.10239
52.1406,2.82122
52.1933,2.62603
52.1992,2.62231
52.2249,2.68485
52.246,2.87953
52.2636,3.1988
52.2811,3.73012
52.2952,4.36823
52.311,5.39418
52.326,6.76883
52.3397,8.45609
52.3533,10.6681
52.3684,13.8519
52.3834,17.997
52.3998,23.8444
52.4166,31.5269
52.4361,42.9599
52.4575,59.0046
52.4825,82.4763
52.5161,121.404
52.5887,214.917
52.6236,247.919
52.6574,262.499
52.6636,263.043
52.6917,257.14
52.7229,236.392
52.7784,177.756
52.833,118.19
52.8658,89.8197
52.895,70.4122
52.9243,56.1115
52.9555,45.3815
52.9868,38.0556
53.0258,32.032
53.0726,27.4871
53.1277,24.0905
53.2194,20.582
53.3294,17.9974
53.4949,15.6082
53.7096,13.7288
53.9784,12.2345
54.5006,10.3822
55.1308,8.39164
55.3113,7.42492
55.438,6.57066
55.4601,6.51654
55.5045,6.7042
55.5369,7.21902
55.5678,8.0915
55.6074,9.77063
55.7103,15.2613
55.7597,16.7958
55.7939,17.0368
55.8481,16.2398
55.9879,12.425
56.0621,11.1878
56.1363,10.4421
56.2847,9.5778
56.5359,8.7753
56.7984,8.43367
56.9377,8.55351
57.0838,9.08299
57.2265,10.168
57.5833,14.2875
57.7459,15.0814
57.9514,14.5733
58.6881,9.73929
58.9396,7.67666
58.9752,7.57219
59.0109,7.7232
59.0466,8.29724
59.0796,9.37376
59.1098,10.949
59.1442,13.4971
59.1923,18.294
59.28,28.0323
59.3253,31.4375
59.3537,32.5087
59.3752,32.7366
59.4184,31.8465
59.5058,26.8976
59.5969,21.7298
59.6614,19.2556
59.7387,17.3363
59.8677,15.491
60.0605,14.0028
60.3295,12.8508
60.6883,11.9474
61.6784,10.5895
62.5537,9.56952
62.9752,8.61406
63.056,8.8583
63.2512,10.6605
63.3054,10.8124
63.4543,10.2948
63.6618,9.50857
64.4022,7.73381
64.701,6.69817
64.8952,5.70211
65.0835,4.32231
65.1911,3.50028
65.246,3.20617
65.301,3.0916
65.3393,3.17215
65.3751,3.42632
65.405,3.83094
65.4355,4.50648
65.4616,5.38295
65.4893,6.71003
65.5162,8.51726
65.543,10.9546
65.5705,14.2098
65.6034,19.2137
65.6452,27.2815
65.7587,52.6583
65.8074,60.097
65.8566,62.8625
65.8606,62.8641
65.903,61.0155
65.9711,52.959
66.0726,38.6229
66.1403,31.5081
66.2079,26.6922
66.2801,23.3261
66.3906,20.1435
66.5439,17.5886
66.7491,15.6121
67.0197,14.0777
67.4437,12.6731
68.1157,11.3866
69.3108,9.9894
71.5658,7.74105
72.3713,6.6031
72.9325,5.47385
73.3012,4.44252
73.6179,3.2576
73.7341,2.83593
73.7702,2.78846
73.7982,2.82622
73.8303,3.00105
73.8596,3.34302
73.886,3.8592
73.9125,4.62463
73.9422,5.83692
73.976,7.69793
74.0187,10.7141
74.1029,17.218
74.1439,19.3783
74.1824,20.1207
74.2215,19.4368
74.2679,17.0171
74.3793,8.74401
74.4156,6.61588
74.4457,5.28788
74.4699,4.53774
74.4892,4.14295
74.5085,3.93682
74.5181,3.90769
74.5374,4.00791
74.5567,4.34101
74.5749,4.89757
74.596,5.90428
74.6171,7.38374
74.6382,9.45582
74.6581,12.087
74.6798,15.8885
74.7016,20.8808
74.7233,27.3106
74.746,35.834
74.773,48.763
74.8039,67.6237
74.8387,94.1656
74.8889,140.72
74.97,218.848
75.019,251.433
75.0625,262.651
75.07,262.708
75.118,250.718
75.1784,212.65
75.2826,132.637
75.3341,101.743
75.381,81.0157
75.4298,65.7566
75.4814,54.7005
75.5433,45.8641
75.6118,39.3922
75.7056,33.5578
75.8369,28.3916
75.9832,24.7195
76.2008,21.2618
76.4972,18.4043
76.8724,16.2086
77.4257,14.2546
78.4124,12.2353
79.0759,11.3552
80.8854,9.23992
81.3586,9.12637
81.5208,9.13009
82.1124,8.90388
82.5894,8.2348
82.7088,8.53795
82.884,9.28769
82.926,9.30924
83.2669,8.55429
83.9973,7.79024
84.3869,7.65477
85.0736,7.95613
85.1418,8.26023
85.1874,9.00876
85.2163,10.0128
85.2453,11.7303
85.2713,14.1822
85.2944,17.3533
85.3175,21.7246
85.3407,27.5586
85.3649,35.4841
85.3926,47.0846
85.4282,66.0288
85.4836,102.539
85.5533,148.844
85.5995,169.18
85.6391,175.03
85.6824,168.193
85.7297,147.837
85.8393,84.3693
85.8846,63.7321
85.9185,52.1241
85.9563,42.7848
85.994,36.4406
86.038,31.6977
86.0883,28.4333
86.1612,25.7427
86.282,23.2773
86.5435,20.255
86.8856,17.7969
87.4428,15.2023
88.2514,12.7717
89.3771,9.9001
89.8223,8.27867
90.0834,6.88203
90.2776,5.63098
90.3278,5.52276
90.3613,5.7092
90.3864,6.11372
90.4088,6.78025
90.4322,7.92621
90.451,9.29781
90.4721,11.4846
90.4931,14.5482
90.5142,18.719
90.5353,24.2468
90.5567,31.4803
90.5814,42.2621
90.6093,57.7887
90.6434,81.8258
90.6886,121.287
90.7777,204.642
90.8254,235.271
90.8669,245.477
90.8714,245.542
90.9103,237.798
90.9598,209.633
91.0813,110.982
91.1218,84.5506
91.16,65.4582
91.1918,53.587
91.2283,43.7208
91.2659,36.7384
91.3111,31.2781
91.3639,27.3384
91.4392,24.0096
91.5396,21.3921
91.707,18.8241
91.9396,16.7528
92.3269,14.7289
92.8523,12.5622
92.8729,12.5574
92.9801,13.0928
93.1532,14.8758
93.2109,15.0406
93.384,14.1784
93.656,12.9879
94.6783,10.9709
94.9781,10.0357
95.1502,9.17266
95.2239,8.95311
95.2927,9.19762
95.3542,10.0351
95.4304,11.9363
95.5493,15.3585
95.6063,16.306
95.6544,16.5527
95.7425,15.9732
95.8923,14.1887
96.0156,13.2961
96.2535,12.727
96.2888,12.7123
97.0143,13.3567
99.3584,11.6153
101.632,10.4366
102.297,9.79075
102.615,9.14028
102.799,8.61537
102.824,8.61362
102.9,8.96819
102.951,9.63653
103.025,11.3081
103.149,14.5285
103.218,15.3631
103.235,15.4012
103.305,14.9479
103.495,12.0943
103.638,10.9376
103.898,10.0463
104.622,8.22491
104.861,7.2404
105.011,6.61214
105.028,6.60832
105.076,6.82982
105.107,7.24255
105.145,8.20943
105.176,9.45593
105.209,11.3663
105.247,14.365
105.295,19.3743
105.407,32.4783
105.461,36.6978
105.505,37.8622
105.556,36.6019
105.614,32.4375
105.742,20.7824
105.795,17.1111
105.851,14.3539
105.91,12.4153
105.998,10.5913
106.147,8.61851
106.292,7.15134
106.347,6.96287
106.381,7.17265
106.416,7.84487
106.442,8.80243
106.467,10.2941
106.493,12.3841
106.52,15.5419
106.547,19.7874
106.578,26.136
106.616,36.1544
106.668,53.3136
106.761,86.8912
106.814,100.653
106.863,105.798
106.869,105.879
106.913,102.952
106.965,92.748
107.101,54.3422
107.151,43.3545
107.203,34.9625
107.255,29.2744
107.307,25.5001
107.378,22.3875
107.484,19.7902
107.641,17.6968
107.9,15.8237
108.228,14.5052
108.918,13.0256
110.177,11.2649
110.327,11.0392
110.487,11.4467
110.681,12.3195
110.723,12.3626
111.081,11.6818
112.254,10.6914
114.853,8.81271
115.336,8.36103
115.583,8.04766
115.765,7.72594
115.859,7.97841
115.917,8.4886
115.99,9.64379
116.089,12.0609
116.209,15.0359
116.283,16.0277
116.323,16.1679
116.422,15.5016
116.654,12.3308
116.799,11.056
117.071,9.69713
117.838,7.06264
118.153,5.62199
118.343,4.67565
118.393,4.57838
118.443,4.74264
118.471,5.05688
118.501,5.67999
118.53,6.64381
118.554,7.87692
118.578,9.60249
118.602,11.9492
118.629,15.4733
118.655,19.9685
118.685,26.6467
118.718,36.3707
118.755,50.0757
118.803,72.0982
118.921,132.365
118.975,152.171
119.025,160.273
119.034,160.541
119.074,157.275
119.131,142.077
119.287,77.738
119.339,60.6609
119.388,48.429
119.438,39.6911
119.487,33.6488
119.549,28.6734
119.614,25.3516
119.713,22.1527
119.851,19.4481
120.061,16.9681
120.481,13.9393
120.807,11.7439
120.871,11.6403
120.936,12.0681
120.994,13.099
121.064,15.2056
121.203,20.0005
121.27,21.1723
121.302,21.3038
121.36,20.9053
121.579,16.8753
121.701,15.4647
121.823,14.6762
122.225,13.4134
123.403,11.4095
123.602,11.9007
123.816,12.5246
124.671,11.4075
125.575,10.4436
125.897,9.68364
126.075,9.22764
126.155,9.4848
126.221,10.161
126.339,12.3337
126.44,14.1325
126.527,14.7514
126.629,14.293
126.798,12.7285
127.017,11.6145
127.466,10.5326
127.491,10.5266
127.645,10.9356
127.821,11.7517
127.862,11.829
128.06,11.5348
128.392,10.9209
129.549,10.211
130.841,9.91084
132.376,10.2788
132.87,10.0005
133.214,9.26863
133.47,8.34889
133.48,8.34527
133.537,8.54596
133.574,9.01366
133.612,9.90347
133.65,11.3669
133.688,13.5462
133.729,16.8419
133.779,22.0584
133.92,40.0571
133.983,45.316
134.033,46.7182
134.088,45.2364
134.158,39.7838
134.292,26.9317
134.355,22.3836
134.417,19.3478
134.493,17.0442
134.585,15.5352
134.762,14.1337
135.077,12.9249
136.418,9.92934
136.466,9.915
136.537,10.1524
136.605,10.8923
136.666,12.2026
136.733,14.5009
136.916,22.6992
136.994,24.6737
137.042,24.8834
137.109,23.9917
137.346,17.2746
137.455,15.3562
137.628,13.8307
137.821,13.0215
138.278,12.0795
139.395,10.9801
139.41,10.9798
139.542,10.9876
141.373,9.64118
142.131,8.66998
142.49,7.77511
142.733,6.94648
142.772,6.91844
142.849,7.18363
142.912,7.8593
142.985,9.22522
143.146,13.0291
143.216,13.9369
143.273,14.1465
143.35,14.0989
143.416,14.4501
143.466,15.3103
143.534,17.4597
143.681,23.2936
143.753,24.5951
143.772,24.6392
143.848,23.673
144.068,16.9734
144.162,14.9865
144.295,13.3828
144.484,12.1908
144.891,10.7877
145.518,8.99342
145.925,7.23166
145.958,7.22565
146.007,7.49003
146.04,7.95373
146.081,9.01604
146.117,10.5435
146.152,12.6742
146.194,16.205
146.24,21.3566
146.313,31.5603
146.411,45.6594
146.473,51.3872
146.524,52.97
146.577,51.4791
146.647,45.5734
146.797,29.1701
146.866,23.5655
146.927,20.1472
147.004,17.4782
147.096,15.7061
147.189,14.7028
147.415,13.4044
147.853,12.2213
148.271,11.5459
148.6,11.8557
148.976,11.1342
149.339,10.1693
149.442,10.4889
149.55,11.592
149.712,13.6628
149.806,14.1592
149.936,13.7755
150.177,12.4343
150.468,11.7373
151.343,10.9602
154.974,9.00557
156.486,7.58638
156.652,7.71991
156.782,8.20645
156.881,9.0614
156.982,10.6114
157.219,16.0034
157.34,17.7616
157.446,18.1575
157.632,17.3126
158.111,14.1387
158.559,12.4542
159.232,11.1328
160.957,9.29088
162.457,7.65289
163.129,6.2462
163.539,5.01324
163.842,3.95634
163.918,3.83312
163.969,3.92055
164.009,4.18363
164.048,4.74753
164.081,5.58442
164.107,6.60845
164.133,8.06672
164.158,9.94126
164.182,12.394
164.206,15.6102
164.23,19.763
164.258,26.252
164.287,34.7128
164.318,46.5595
164.351,62.0856
164.389,85.2784
164.434,119.501
164.5,179.59
164.609,283.381
164.673,325.073
164.729,338.618
164.735,338.666
164.787,327.814
164.851,290.059
165.019,148.245
165.074,110.381
165.125,83.9572
165.17,66.2872
165.211,54.6699
165.259,44.7698
165.307,37.9544
165.364,32.477
165.441,27.8793
165.54,24.242
165.654,21.5621
165.837,18.7526
166.117,15.9811
166.803,10.8551
166.877,10.6294
166.947,10.9578
167.003,11.8083
167.061,13.4058
167.143,16.8186
167.297,24.3174
167.378,26.6861
167.437,27.1642
167.525,26.1359
167.783,19.6511
167.941,17.3597
168.17,15.7438
168.522,14.4908
169.438,12.8616
170.074,12.2109
170.45,11.9489
170.929,12.647
175.047,10.0789
175.442,9.52696
175.821,8.70535
175.92,8.95254
176.024,9.80724
176.232,12.2651
176.336,12.7277
176.47,12.243
176.786,10.0043
176.953,9.28647
176.979,9.27056
177.044,9.46722
177.125,10.3771
177.198,11.9769
177.41,18.6431
177.491,19.9263
