4*pi*AP**2: 11.2934 barns
          eV          J         GN         GG        GFA        GFB
  1.098862+3 5.000000-1 2.158873-2 2.300000-2 0.000000+0 0.000000+0
  1.109266+3 5.000000-1 3.671869-2 2.300000-2 0.000000+0 0.000000+0
  1.140529+3 5.000000-1 2.373495-1 2.300000-2 2.338000-6 0.000000+0
  1.167828+3 5.000000-1 9.033078-2 2.300000-2 0.000000+0 1.530001-5
  1.177396+3 5.000000-1 6.635805-2 2.300000-2 0.000000+0 0.000000+0
  1.195029+3 5.000000-1 9.601796-2 2.300000-2 0.000000+0 0.000000+0
  1.211316+3 5.000000-1 1.056860-2 6.600000-3 2.360000-4 0.000000+0
  1.245270+3 5.000000-1 2.602712-1 2.300000-2 0.000000+0 0.000000+0
  1.267256+3 5.000000-1 2.962110-2 2.300000-2 0.000000+0 0.000000+0
  1.273199+3 5.000000-1 2.634229-2 2.300000-2 0.000000+0 0.000000+0
  1.298820+3 5.000000-1 3.931689-3 2.300000-2 0.000000+0 0.000000+0
  1.326181+3 5.000000-1 5.961288-5 2.300000-2 0.000000+0 0.000000+0
  1.337059+3 5.000000-1 9.435315-5 2.300000-2 0.000000+0 0.000000+0
  1.361167+3 5.000000-1 4.770218-4 2.300000-2 0.000000+0 0.000000+0
  1.394043+3 5.000000-1 2.146149-1 2.300000-2 0.000000+0 0.000000+0
  1.405670+3 5.000000-1 7.462525-2 2.300000-2 0.000000+0 0.000000+0
  1.420006+3 5.000000-1 9.781326-3 2.300000-2 0.000000+0 0.000000+0
  1.428249+3 5.000000-1 2.964423-2 2.300000-2 0.000000+0 0.000000+0
  1.444330+3 5.000000-1 1.724881-2 2.300000-2 0.000000+0 0.000000+0
  1.474083+3 5.000000-1 1.242693-1 2.300000-2 0.000000+0 0.000000+0
  1.490986+3 5.000000-1 1.165119-4 2.300000-2 0.000000+0 0.000000+0
  1.522954+3 5.000000-1 2.487426-1 2.300000-2 0.000000+0 0.000000+0
  1.558081+3 5.000000-1 7.577482-5 2.300000-2 0.000000+0 0.000000+0
  1.565540+3 5.000000-1 5.919023-3 2.300000-2 0.000000+0 0.000000+0
  1.591689+3 5.000000-1 1.362036-3 2.300000-2 0.000000+0 0.000000+0
  1.598157+3 5.000000-1 3.836302-1 2.300000-2 0.000000+0 0.000000+0
  1.622947+3 5.000000-1 1.039565-1 2.300000-2 0.000000+0 0.000000+0
  1.638339+3 5.000000-1 5.070247-2 2.300000-2 0.000000+0 0.000000+0
  1.662697+3 5.000000-1 2.298212-1 2.300000-2 0.000000+0 0.000000+0
  1.689048+3 5.000000-1 1.084850-1 2.300000-2 0.000000+0 0.000000+0
  1.710061+3 5.000000-1 8.573582-2 2.300000-2 0.000000+0 0.000000+0
  1.723054+3 5.000000-1 1.914635-2 2.300000-2 0.000000+0 0.000000+0
  1.756141+3 5.000000-1 1.347726-1 2.300000-2 0.000000+0 0.000000+0
  1.782612+3 5.000000-1 2.340321-1 2.300000-2 0.000000+0 0.000000+0
  1.783173+3 5.000000-1 4.264923-1 2.300000-2 0.000000+0 0.000000+0
  1.808670+3 5.000000-1 2.056014-2 2.300000-2 0.000000+0 0.000000+0
  1.823955+3 5.000000-1 8.941746-4 2.300000-2 0.000000+0 0.000000+0
  1.846349+3 5.000000-1 1.214261-2 2.300000-2 0.000000+0 0.000000+0
  1.867306+3 5.000000-1 9.129322-4 2.300000-2 0.000000+0 0.000000+0
  1.903084+3 5.000000-1 4.726108-2 2.300000-2 0.000000+0 0.000000+0
  1.917437+3 5.000000-1 4.431647-2 2.300000-2 0.000000+0 0.000000+0
  1.954048+3 5.000000-1 4.449599-3 2.300000-2 0.000000+0 0.000000+0
  1.969286+3 5.000000-1 8.020010-1 2.300000-2 0.000000+0 0.000000+0
  1.975179+3 5.000000-1 4.743669-1 2.300000-2 0.000000+0 0.000000+0
  2.000884+3 5.000000-1 4.504840-4 2.300000-2 0.000000+0 0.000000+0
  2.023994+3 5.000000-1 2.309049-1 2.300000-2 0.000000+0 0.000000+0
  2.030790+3 5.000000-1 5.093037-2 2.300000-2 0.000000+0 0.000000+0
  2.052947+3 5.000000-1 7.817347-4 2.300000-2 0.000000+0 0.000000+0
  2.088873+3 5.000000-1 2.831705-2 2.300000-2 0.000000+0 0.000000+0
  2.096598+3 5.000000-1 3.089419-2 2.300000-2 0.000000+0 0.000000+0
  2.124435+3 5.000000-1 3.317021-3 2.300000-2 0.000000+0 0.000000+0
  2.145861+3 5.000000-1 7.526061-2 2.300000-2 0.000000+0 0.000000+0
  2.153069+3 5.000000-1 3.090425-1 2.300000-2 0.000000+0 0.000000+0
  2.186902+3 5.000000-1 6.023286-1 2.300000-2 0.000000+0 0.000000+0
  2.201649+3 5.000000-1 1.110955-1 2.680435-2 0.000000+0 0.000000+0
  2.260032+3 5.000000-1 1.034563-1 2.300000-2 0.000000+0 0.000000+0
  2.264501+3 5.000000-1 6.615532-3 2.300000-2 0.000000+0 0.000000+0
  2.266895+3 5.000000-1 2.356386-1 2.300000-2 0.000000+0 0.000000+0
  2.282240+3 5.000000-1 2.006990-1 2.300000-2 0.000000+0 0.000000+0
  2.316226+3 5.000000-1 1.845779-2 2.300000-2 0.000000+0 0.000000+0
  2.353105+3 5.000000-1 5.269077-2 2.300000-2 0.000000+0 0.000000+0
  2.356074+3 5.000000-1 8.988778-2 2.300000-2 0.000000+0 0.000000+0
  2.392339+3 5.000000-1 3.259065-2 2.300000-2 0.000000+0 0.000000+0
  2.427269+3 5.000000-1 1.647743-1 2.300000-2 0.000000+0 0.000000+0
  2.447077+3 5.000000-1 2.308380-1 2.300000-2 0.000000+0 0.000000+0
  2.456108+3 5.000000-1 2.077677-2 2.300000-2 0.000000+0 0.000000+0
  2.489539+3 5.000000-1 1.078411-1 2.300000-2 0.000000+0 0.000000+0
  2.509107+3 5.000000-1 2.602416-4 2.300000-2 0.000000+0 0.000000+0
  2.521730+3 5.000000-1 2.318521-2 2.300000-2 0.000000+0 0.000000+0
  2.548545+3 5.000000-1 7.375361-1 2.300000-2 0.000000+0 0.000000+0
  2.559933+3 5.000000-1 2.972703-1 2.300000-2 0.000000+0 0.000000+0
  2.581518+3 5.000000-1 4.731503-1 2.300000-2 0.000000+0 0.000000+0
  2.597990+3 5.000000-1 7.974298-1 2.300000-2 0.000000+0 0.000000+0
  2.620420+3 5.000000-1 5.149754-2 2.300000-2 0.000000+0 0.000000+0
  2.647606+3 5.000000-1 4.378419-4 2.300000-2 0.000000+0 0.000000+0
  2.672583+3 5.000000-1 3.016602-1 2.300000-2 0.000000+0 0.000000+0
  2.696904+3 5.000000-1 3.783731-2 2.300000-2 0.000000+0 0.000000+0
  2.717682+3 5.000000-1 1.795560-1 2.300000-2 0.000000+0 0.000000+0
  2.751210+3 5.000000-1 4.834270-2 2.841407-2 0.000000+0 0.000000+0
  2.763012+3 5.000000-1 2.079193-2 2.300000-2 0.000000+0 0.000000+0
  2.787890+3 5.000000-1 2.049485-2 2.300000-2 0.000000+0 0.000000+0
  2.806879+3 5.000000-1 1.237457-2 2.300000-2 0.000000+0 0.000000+0
  2.829768+3 5.000000-1 2.494909-2 2.300000-2 0.000000+0 0.000000+0
  2.865839+3 5.000000-1 2.260981-1 2.300000-2 0.000000+0 0.000000+0
  2.883210+3 5.000000-1 6.723084-1 2.300000-2 0.000000+0 0.000000+0
  2.897748+3 5.000000-1 2.541278-2 2.300000-2 0.000000+0 0.000000+0
  2.934110+3 5.000000-1 4.527050-2 2.300000-2 0.000000+0 0.000000+0
  2.957455+3 5.000000-1 2.819959-2 2.300000-2 0.000000+0 0.000000+0
  2.968100+3 5.000000-1 4.366379-3 2.300000-2 0.000000+0 0.000000+0
  3.004080+3 5.000000-1 1.401481-1 2.300000-2 0.000000+0 0.000000+0
  3.029099+3 5.000000-1 1.505413-1 2.300000-2 0.000000+0 0.000000+0
  3.044302+3 5.000000-1 3.814380-3 2.300000-2 0.000000+0 0.000000+0
  3.060055+3 5.000000-1 3.708704-2 2.300000-2 0.000000+0 0.000000+0
  3.081600+3 5.000000-1 2.921913-3 2.300000-2 0.000000+0 0.000000+0
  3.110721+3 5.000000-1 2.336572-1 2.300000-2 0.000000+0 0.000000+0
  3.149532+3 5.000000-1 1.320095-1 2.300000-2 0.000000+0 0.000000+0
  3.179373+3 5.000000-1 1.061264-1 2.300000-2 0.000000+0 0.000000+0
  3.189409+3 5.000000-1 1.252624-1 2.300000-2 0.000000+0 0.000000+0
  3.206311+3 5.000000-1 1.055359-1 2.300000-2 0.000000+0 0.000000+0
  3.226875+3 5.000000-1 3.190292-2 2.300000-2 0.000000+0 0.000000+0
  3.249380+3 5.000000-1 3.361968-2 2.300000-2 0.000000+0 0.000000+0
  3.280026+3 5.000000-1 3.039860-1 2.300000-2 0.000000+0 0.000000+0
  3.312696+3 5.000000-1 1.764390-1 2.300000-2 0.000000+0 0.000000+0
  3.322164+3 5.000000-1 1.581615-1 2.300000-2 0.000000+0 0.000000+0
  3.334158+3 5.000000-1 1.238760-1 2.300000-2 0.000000+0 0.000000+0
  3.356270+3 5.000000-1 1.379145-1 2.300000-2 0.000000+0 0.000000+0
  3.390257+3 5.000000-1 3.000896-2 2.300000-2 0.000000+0 0.000000+0
  3.409237+3 5.000000-1 2.525246-1 2.300000-2 0.000000+0 0.000000+0
  3.413967+3 5.000000-1 1.962429-3 2.300000-2 0.000000+0 0.000000+0
  3.436962+3 5.000000-1 4.339269-1 2.300000-2 0.000000+0 0.000000+0
  3.458723+3 5.000000-1 7.505932-1 2.300000-2 0.000000+0 0.000000+0
  3.486272+3 5.000000-1 1.060517-1 2.300000-2 0.000000+0 0.000000+0
  3.496400+3 5.000000-1 1.013625-2 2.300000-2 0.000000+0 0.000000+0
  3.522377+3 5.000000-1 2.257609-3 2.300000-2 0.000000+0 0.000000+0
  3.543249+3 5.000000-1 5.736525-4 2.300000-2 0.000000+0 0.000000+0
  3.562107+3 5.000000-1 2.616351-1 2.300000-2 0.000000+0 0.000000+0
  3.574573+3 5.000000-1 4.529844-1 2.300000-2 0.000000+0 0.000000+0
  3.595455+3 5.000000-1 5.631498-2 2.700000-2 0.000000+0 0.000000+0
  3.623807+3 5.000000-1 3.115780-2 2.700000-2 0.000000+0 0.000000+0
  3.630340+3 5.000000-1 5.605452-1 2.300000-2 0.000000+0 0.000000+0
  3.662239+3 5.000000-1 2.830716-3 2.300000-2 0.000000+0 0.000000+0
  3.693751+3 5.000000-1 4.191735-1 2.300000-2 0.000000+0 0.000000+0
  3.717218+3 5.000000-1 9.840161-2 2.300000-2 0.000000+0 0.000000+0
  3.734741+3 5.000000-1 2.293132-1 2.300000-2 0.000000+0 0.000000+0
  3.747378+3 5.000000-1 9.143671-4 2.300000-2 0.000000+0 0.000000+0
  3.765657+3 5.000000-1 1.063557-1 2.300000-2 0.000000+0 0.000000+0
  3.782532+3 5.000000-1 4.866340-1 2.300000-2 0.000000+0 0.000000+0
  3.808361+3 5.000000-1 6.020729-4 2.300000-2 0.000000+0 0.000000+0
  3.832550+3 5.000000-1 1.406470-2 2.300000-2 0.000000+0 0.000000+0
  3.858445+3 5.000000-1 6.113172-1 2.300000-2 0.000000+0 0.000000+0
  3.873740+3 5.000000-1 1.976620-1 2.300000-2 0.000000+0 0.000000+0
  3.902824+3 5.000000-1 3.114265-1 2.300000-2 0.000000+0 0.000000+0
  3.915610+3 5.000000-1 1.231596-1 2.300000-2 0.000000+0 0.000000+0
  3.940660+3 5.000000-1 1.819620-1 2.300000-2 0.000000+0 0.000000+0
  3.955553+3 5.000000-1 1.451707-1 2.300000-2 0.000000+0 0.000000+0
  3.963002+3 5.000000-1 8.695196-4 2.300000-2 0.000000+0 0.000000+0
  3.999178+3 5.000000-1 4.020890-4 2.300000-2 0.000000+0 0.000000+0
  4.016072+3 5.000000-1 2.087777-3 2.300000-2 0.000000+0 0.000000+0
  4.037955+3 5.000000-1 6.935599-4 2.300000-2 0.000000+0 0.000000+0
  4.042364+3 5.000000-1 8.084638-2 2.300000-2 0.000000+0 0.000000+0
  4.065199+3 5.000000-1 3.058732-2 2.300000-2 0.000000+0 0.000000+0
  4.091120+3 5.000000-1 1.272401-1 2.827252-2 0.000000+0 0.000000+0
  4.126347+3 5.000000-1 4.527064-2 2.300000-2 0.000000+0 0.000000+0
  4.133731+3 5.000000-1 4.753698-3 2.300000-2 0.000000+0 0.000000+0
  4.169730+3 5.000000-1 1.907633-1 2.300000-2 0.000000+0 0.000000+0
  4.179794+3 5.000000-1 3.410433-2 2.300000-2 0.000000+0 0.000000+0
  4.211822+3 5.000000-1 6.199208-2 2.300000-2 0.000000+0 0.000000+0
  4.226694+3 5.000000-1 9.651582-3 2.300000-2 0.000000+0 0.000000+0
