4*pi*AP**2: 11.2934 barns
          eV          J         GN         GG        GFA        GFB
  6.394234+3 5.000000-1 6.909714-3 2.300000-2 0.000000+0 0.000000+0
  6.415698+3 5.000000-1 2.358042-2 2.300000-2 0.000000+0 0.000000+0
  6.430833+3 5.000000-1 1.215939-2 2.300000-2 0.000000+0 0.000000+0
  6.446438+3 5.000000-1 9.472538-2 2.300000-2 0.000000+0 0.000000+0
  6.461707+3 5.000000-1 8.287402-1 2.300000-2 0.000000+0 0.000000+0
  6.508081+3 5.000000-1 3.072312-1 2.300000-2 0.000000+0 0.000000+0
  6.540601+3 5.000000-1 4.139282-1 2.300000-2 0.000000+0 0.000000+0
  6.551931+3 5.000000-1 3.248279-1 2.300000-2 0.000000+0 0.000000+0
  6.552226+3 5.000000-1 3.683486-2 2.300000-2 0.000000+0 0.000000+0
  6.567622+3 5.000000-1 1.167201-2 2.300000-2 0.000000+0 0.000000+0
  6.596496+3 5.000000-1 1.781355-2 2.300000-2 0.000000+0 0.000000+0
  6.636352+3 5.000000-1 8.821767-2 2.300000-2 0.000000+0 0.000000+0
  6.702507+3 5.000000-1 4.532936-3 2.300000-2 0.000000+0 0.000000+0
  6.714602+3 5.000000-1 4.454760-1 2.300000-2 0.000000+0 0.000000+0
  6.743773+3 5.000000-1 9.488113-1 2.300000-2 0.000000+0 0.000000+0
  6.764831+3 5.000000-1 9.022598-2 2.300000-2 0.000000+0 0.000000+0
  6.783990+3 5.000000-1 6.574443-2 2.300000-2 0.000000+0 0.000000+0
  6.797164+3 5.000000-1 5.876587-2 2.300000-2 0.000000+0 0.000000+0
  6.816861+3 5.000000-1 1.067843-2 2.300000-2 0.000000+0 0.000000+0
  6.828436+3 5.000000-1 9.221444-2 3.107507-2 0.000000+0 0.000000+0
  6.879546+3 5.000000-1 5.694887-1 2.300000-2 0.000000+0 0.000000+0
  6.893958+3 5.000000-1 1.116039-1 2.300000-2 0.000000+0 0.000000+0
  6.895415+3 5.000000-1 5.560791-2 2.300000-2 0.000000+0 0.000000+0
  6.929916+3 5.000000-1 1.831510-1 2.300000-2 0.000000+0 0.000000+0
  6.958353+3 5.000000-1 1.137815-1 2.300000-2 0.000000+0 0.000000+0
  6.969432+3 5.000000-1 3.221362-1 2.300000-2 0.000000+0 0.000000+0
  6.994424+3 5.000000-1 9.402937-4 2.300000-2 0.000000+0 0.000000+0
  7.012744+3 5.000000-1 6.806429-3 2.300000-2 0.000000+0 0.000000+0
  7.027051+3 5.000000-1 1.184688-1 2.300000-2 0.000000+0 0.000000+0
  7.065186+3 5.000000-1 2.203373-1 2.300000-2 0.000000+0 0.000000+0
  7.074631+3 5.000000-1 1.205432-1 2.300000-2 0.000000+0 0.000000+0
  7.093438+3 5.000000-1 4.812536-3 2.300000-2 0.000000+0 5.933000-4
  7.128190+3 5.000000-1 6.334233-2 2.300000-2 1.042000-4 0.000000+0
  7.146987+3 5.000000-1 3.104864-2 2.300000-2 0.000000+0 0.000000+0
  7.170365+3 5.000000-1 2.674601-2 2.300000-2 0.000000+0 0.000000+0
  7.188205+3 5.000000-1 8.701978-3 2.449348-2 0.000000+0 0.000000+0
  7.189015+3 5.000000-1 3.058560-1 2.186271-2 0.000000+0 0.000000+0
  7.204667+3 5.000000-1 2.760112-1 1.537589-2 0.000000+0 0.000000+0
  7.219545+3 5.000000-1 1.528547-1 2.300000-2 0.000000+0 0.000000+0
  7.238890+3 5.000000-1 1.834094-2 2.300000-2 0.000000+0 0.000000+0
  7.251537+3 5.000000-1 1.239290-1 2.300000-2 0.000000+0 0.000000+0
  7.287793+3 5.000000-1 5.956917-1 2.300000-2 0.000000+0 0.000000+0
  7.301746+3 5.000000-1 1.960839-2 2.300000-2 0.000000+0 0.000000+0
  7.326762+3 5.000000-1 5.113113-3 2.300000-2 0.000000+0 0.000000+0
  7.354450+3 5.000000-1 3.900918-3 2.300000-2 0.000000+0 0.000000+0
  7.375237+3 5.000000-1 4.809437-2 2.300000-2 0.000000+0 0.000000+0
  7.401049+3 5.000000-1 1.891055-2 2.300000-2 0.000000+0 0.000000+0
  7.420380+3 5.000000-1 2.876270-1 2.300000-2 0.000000+0 3.410000-4
  7.432336+3 5.000000-1 6.537060-2 2.300000-2 0.000000+0 0.000000+0
  7.478921+3 5.000000-1 2.200882-3 2.300000-2 0.000000+0 0.000000+0
  7.503370+3 5.000000-1 1.468091-2 2.300000-2 0.000000+0 0.000000+0
  7.524020+3 5.000000-1 2.568176-1 2.300000-2 0.000000+0 0.000000+0
  7.541562+3 5.000000-1 2.199104-1 2.300000-2 0.000000+0 0.000000+0
  7.562319+3 5.000000-1 2.052152-1 2.300000-2 0.000000+0 0.000000+0
  7.593640+3 5.000000-1 3.627650-1 2.300000-2 0.000000+0 0.000000+0
  7.618060+3 5.000000-1 1.652246-1 2.300000-2 0.000000+0 0.000000+0
  7.625820+3 5.000000-1 6.049523-2 3.525956-2 0.000000+0 0.000000+0
  7.638128+3 5.000000-1 1.769023-3 2.300000-2 0.000000+0 0.000000+0
  7.669504+3 5.000000-1 1.239170-2 2.300000-2 0.000000+0 0.000000+0
  7.683518+3 5.000000-1 1.102660-1 2.300000-2 0.000000+0 0.000000+0
  7.700435+3 5.000000-1 3.823124-1 2.300000-2 0.000000+0 0.000000+0
  7.735028+3 5.000000-1 8.076880-2 2.300000-2 0.000000+0 0.000000+0
  7.756228+3 5.000000-1 8.277995-4 2.300000-2 0.000000+0 0.000000+0
  7.782291+3 5.000000-1 6.186266-1 2.300000-2 1.583000-4 0.000000+0
  7.808622+3 5.000000-1 2.964863-1 2.300000-2 0.000000+0 1.640000-4
  7.811703+3 5.000000-1 1.566798-1 2.300000-2 0.000000+0 0.000000+0
  7.843933+3 5.000000-1 9.300753-2 2.300000-2 0.000000+0 0.000000+0
  7.848563+3 5.000000-1 6.763357-2 2.300000-2 0.000000+0 0.000000+0
  7.910635+3 5.000000-1 8.653594-2 2.300000-2 0.000000+0 0.000000+0
  7.930093+3 5.000000-1 4.329624-3 2.300000-2 0.000000+0 0.000000+0
  7.945892+3 5.000000-1 9.418367-3 2.300000-2 0.000000+0 0.000000+0
  7.961273+3 5.000000-1 1.526103-2 2.300000-2 0.000000+0 0.000000+0
  7.980545+3 5.000000-1 1.234580-1 2.300000-2 0.000000+0 0.000000+0
  7.997518+3 5.000000-1 5.656000-3 2.300000-2 0.000000+0 0.000000+0
  8.037047+3 5.000000-1 3.311427-1 2.300000-2 0.000000+0 0.000000+0
  8.049320+3 5.000000-1 8.163597-1 2.300000-2 0.000000+0 0.000000+0
  8.061575+3 5.000000-1 3.704956-3 2.300000-2 0.000000+0 0.000000+0
  8.091445+3 5.000000-1 4.110066-3 2.300000-2 0.000000+0 0.000000+0
  8.106042+3 5.000000-1 7.890378-1 2.300000-2 0.000000+0 0.000000+0
  8.140753+3 5.000000-1 2.884171-1 2.300000-2 0.000000+0 0.000000+0
  8.142163+3 5.000000-1 3.533546-2 2.300000-2 0.000000+0 0.000000+0
  8.154520+3 5.000000-1 2.534773-2 2.300000-2 0.000000+0 0.000000+0
  8.201861+3 5.000000-1 5.543556-3 2.300000-2 0.000000+0 0.000000+0
  8.206517+3 5.000000-1 5.230895-1 2.300000-2 0.000000+0 0.000000+0
  8.217574+3 5.000000-1 5.025359-1 2.300000-2 0.000000+0 0.000000+0
  8.226722+3 5.000000-1 5.539452-1 2.300000-2 0.000000+0 0.000000+0
  8.264517+3 5.000000-1 6.438032-1 2.300000-2 0.000000+0 0.000000+0
  8.291892+3 5.000000-1 3.605245-1 2.300000-2 0.000000+0 0.000000+0
  8.329466+3 5.000000-1 3.873322-1 2.300000-2 0.000000+0 0.000000+0
  8.358568+3 5.000000-1 2.057379-1 2.300000-2 0.000000+0 0.000000+0
  8.401743+3 5.000000-1 1.762390-1 2.300000-2 0.000000+0 0.000000+0
  8.411996+3 5.000000-1 1.276608-1 2.300000-2 0.000000+0 0.000000+0
  8.428887+3 5.000000-1 3.176604-3 2.300000-2 0.000000+0 0.000000+0
  8.442420+3 5.000000-1 4.564166-3 2.300000-2 0.000000+0 0.000000+0
  8.464014+3 5.000000-1 1.651881-2 2.300000-2 0.000000+0 0.000000+0
  8.496686+3 5.000000-1 1.740418-1 2.300000-2 0.000000+0 0.000000+0
  8.520328+3 5.000000-1 2.247276-3 2.300000-2 0.000000+0 0.000000+0
  8.532782+3 5.000000-1 4.287903-1 2.300000-2 0.000000+0 0.000000+0
  8.558792+3 5.000000-1 3.535740-2 2.300000-2 0.000000+0 0.000000+0
  8.565042+3 5.000000-1 8.017786-3 2.300000-2 0.000000+0 0.000000+0
  8.594130+3 5.000000-1 6.433025-2 2.300000-2 0.000000+0 0.000000+0
  8.614002+3 5.000000-1 9.896979-2 2.300000-2 0.000000+0 0.000000+0
  8.639864+3 5.000000-1 3.359024-1 2.300000-2 0.000000+0 0.000000+0
  8.657420+3 5.000000-1 7.305028-2 2.300000-2 0.000000+0 0.000000+0
  8.682511+3 5.000000-1 4.803515-3 2.300000-2 0.000000+0 0.000000+0
  8.711929+3 5.000000-1 1.080678+0 2.300000-2 0.000000+0 0.000000+0
  8.733959+3 5.000000-1 5.482942-2 2.300000-2 0.000000+0 0.000000+0
  8.748217+3 5.000000-1 4.917411-3 2.300000-2 0.000000+0 0.000000+0
  8.772813+3 5.000000-1 2.213375-1 2.300000-2 0.000000+0 0.000000+0
  8.785256+3 5.000000-1 4.106835-3 2.300000-2 0.000000+0 0.000000+0
  8.798978+3 5.000000-1 3.761772-3 2.300000-2 0.000000+0 0.000000+0
  8.823156+3 5.000000-1 5.761053-2 2.300000-2 0.000000+0 0.000000+0
  8.846711+3 5.000000-1 3.400184-1 2.300000-2 0.000000+0 0.000000+0
  8.857183+3 5.000000-1 1.470398-1 2.300000-2 0.000000+0 0.000000+0
  8.890521+3 5.000000-1 3.123266-1 2.300000-2 0.000000+0 0.000000+0
  8.896930+3 5.000000-1 6.229313-3 2.300000-2 0.000000+0 0.000000+0
  8.926079+3 5.000000-1 1.815973-2 2.300000-2 0.000000+0 0.000000+0
  8.947526+3 5.000000-1 1.691177-1 2.300000-2 0.000000+0 0.000000+0
  8.964560+3 5.000000-1 3.850749-1 2.300000-2 0.000000+0 0.000000+0
  8.979062+3 5.000000-1 2.270416-3 2.300000-2 0.000000+0 0.000000+0
  9.008795+3 5.000000-1 6.292035-3 2.300000-2 0.000000+0 0.000000+0
  9.020597+3 5.000000-1 1.499139-1 2.300000-2 0.000000+0 0.000000+0
  9.037897+3 5.000000-1 5.253658-2 2.300000-2 0.000000+0 0.000000+0
  9.058017+3 5.000000-1 4.000376-1 2.645526-2 0.000000+0 0.000000+0
  9.093314+3 5.000000-1 7.553080-2 2.300000-2 0.000000+0 0.000000+0
  9.124604+3 5.000000-1 1.358374-3 2.300000-2 0.000000+0 0.000000+0
  9.143418+3 5.000000-1 1.641444-1 2.300000-2 0.000000+0 0.000000+0
  9.166996+3 5.000000-1 7.925797-1 2.300000-2 0.000000+0 0.000000+0
  9.175028+3 5.000000-1 1.152387-2 2.300000-2 0.000000+0 0.000000+0
  9.199001+3 5.000000-1 9.917843-3 2.300000-2 0.000000+0 0.000000+0
  9.217900+3 5.000000-1 2.626523-1 2.300000-2 0.000000+0 0.000000+0
  9.229077+3 5.000000-1 2.165482-4 2.300000-2 0.000000+0 0.000000+0
  9.241351+3 5.000000-1 2.899687-2 2.300000-2 0.000000+0 0.000000+0
  9.287948+3 5.000000-1 6.123086-3 2.300000-2 0.000000+0 0.000000+0
  9.306565+3 5.000000-1 2.759701-2 2.300000-2 0.000000+0 0.000000+0
  9.325349+3 5.000000-1 1.647910-3 2.300000-2 0.000000+0 0.000000+0
  9.329048+3 5.000000-1 2.292996-2 2.300000-2 0.000000+0 0.000000+0
  9.345803+3 5.000000-1 3.212567-3 2.300000-2 6.336000-4 0.000000+0
  9.362752+3 5.000000-1 1.554345-1 2.300000-2 0.000000+0 6.730000-5
  9.383778+3 5.000000-1 1.529974-1 2.300000-2 0.000000+0 0.000000+0
  9.417586+3 5.000000-1 6.248992-2 2.300000-2 0.000000+0 0.000000+0
  9.422311+3 5.000000-1 3.247734-1 2.300000-2 0.000000+0 0.000000+0
  9.442950+3 5.000000-1 9.565754-3 2.300000-2 0.000000+0 0.000000+0
  9.457270+3 5.000000-1 1.060717-3 2.300000-2 0.000000+0 0.000000+0
  9.467585+3 5.000000-1 1.528783-1 2.300000-2 0.000000+0 0.000000+0
  9.470855+3 5.000000-1 8.173269-1 2.300000-2 0.000000+0 0.000000+0
  9.530525+3 5.000000-1 2.279086-1 2.300000-2 0.000000+0 0.000000+0
  9.543189+3 5.000000-1 9.689911-3 2.300000-2 0.000000+0 0.000000+0
  9.576960+3 5.000000-1 1.240768-1 2.300000-2 0.000000+0 0.000000+0
  9.588053+3 5.000000-1 6.591697-2 2.300000-2 0.000000+0 0.000000+0
  9.596351+3 5.000000-1 1.619595-1 2.300000-2 0.000000+0 0.000000+0
  9.629990+3 5.000000-1 3.901753-1 2.300000-2 0.000000+0 0.000000+0
  9.634279+3 5.000000-1 1.278046-1 2.300000-2 0.000000+0 0.000000+0
  9.650802+3 5.000000-1 1.568639-1 2.300000-2 0.000000+0 0.000000+0
  9.664294+3 5.000000-1 1.409581-2 2.300000-2 0.000000+0 0.000000+0
  9.683294+3 5.000000-1 6.711150-2 2.300000-2 0.000000+0 0.000000+0
  9.699463+3 5.000000-1 5.826152-3 2.300000-2 0.000000+0 0.000000+0
  9.702164+3 5.000000-1 5.791056-2 2.300000-2 0.000000+0 0.000000+0
  9.726900+3 5.000000-1 4.499680-1 2.300000-2 0.000000+0 0.000000+0
  9.743092+3 5.000000-1 1.768906-1 2.300000-2 0.000000+0 0.000000+0
  9.802260+3 5.000000-1 5.578870-2 2.300000-2 0.000000+0 0.000000+0
  9.816048+3 5.000000-1 3.497342-3 2.300000-2 0.000000+0 0.000000+0
  9.833783+3 5.000000-1 4.745329-2 2.300000-2 0.000000+0 0.000000+0
  9.851899+3 5.000000-1 1.801435-2 2.300000-2 0.000000+0 0.000000+0
  9.868549+3 5.000000-1 7.343088-1 2.300000-2 0.000000+0 0.000000+0
  9.905964+3 5.000000-1 1.873411-2 2.300000-2 0.000000+0 0.000000+0
  9.923971+3 5.000000-1 1.139083-3 2.300000-2 0.000000+0 0.000000+0
  9.934862+3 5.000000-1 8.613483-2 2.300000-2 0.000000+0 0.000000+0
  9.957938+3 5.000000-1 1.859824-1 2.300000-2 0.000000+0 0.000000+0
  9.985920+3 5.000000-1 1.257330-1 2.300000-2 0.000000+0 0.000000+0
  1.005528+4 5.000000-1 6.483592-2 2.300000-2 0.000000+0 0.000000+0
  1.006486+4 5.000000-1 5.694225-1 2.300000-2 0.000000+0 0.000000+0
  1.008280+4 5.000000-1 2.558686-1 2.300000-2 0.000000+0 0.000000+0
  1.010637+4 5.000000-1 4.475427-1 2.300000-2 0.000000+0 0.000000+0
  1.014046+4 5.000000-1 1.543865-1 2.300000-2 0.000000+0 0.000000+0
  1.014847+4 5.000000-1 2.464143-3 2.300000-2 0.000000+0 0.000000+0
  1.016270+4 5.000000-1 4.198386-1 2.300000-2 0.000000+0 0.000000+0
  1.017717+4 5.000000-1 1.371253-3 2.300000-2 0.000000+0 0.000000+0
  1.019566+4 5.000000-1 1.987562-1 2.300000-2 0.000000+0 0.000000+0
  1.023193+4 5.000000-1 6.866722-3 2.300000-2 0.000000+0 0.000000+0
  1.024220+4 5.000000-1 2.151420-1 2.300000-2 0.000000+0 0.000000+0
  1.025708+4 5.000000-1 2.062452-4 2.300000-2 0.000000+0 0.000000+0
  1.028419+4 5.000000-1 1.016961-1 4.046758-2 0.000000+0 0.000000+0
  1.028783+4 5.000000-1 2.130955-1 2.670666-2 0.000000+0 0.000000+0
  1.030959+4 5.000000-1 7.883586-1 2.300000-2 0.000000+0 0.000000+0
  1.033727+4 5.000000-1 1.512827-2 2.300000-2 0.000000+0 0.000000+0
  1.034918+4 5.000000-1 7.573374-1 2.411014-2 0.000000+0 0.000000+0
  1.035277+4 5.000000-1 1.279284-4 2.300000-2 0.000000+0 0.000000+0
  1.037656+4 5.000000-1 2.206012-1 2.580659-2 0.000000+0 0.000000+0
  1.037918+4 5.000000-1 2.031494-3 2.300000-2 0.000000+0 0.000000+0
  1.040974+4 5.000000-1 2.200898-1 2.782131-2 0.000000+0 0.000000+0
  1.043203+4 5.000000-1 1.900392-3 2.300000-2 0.000000+0 0.000000+0
  1.049527+4 5.000000-1 8.891116-1 1.984995-2 0.000000+0 0.000000+0
  1.050090+4 5.000000-1 1.807694-3 2.300000-2 0.000000+0 0.000000+0
  1.054292+4 5.000000-1 8.995769-2 2.300000-2 0.000000+0 0.000000+0
  1.055699+4 5.000000-1 3.413809-4 2.300000-2 0.000000+0 0.000000+0
  1.058613+4 5.000000-1 1.183748-1 2.595610-2 0.000000+0 0.000000+0
  1.060906+4 5.000000-1 6.852178-2 2.462794-2 0.000000+0 0.000000+0
  1.064129+4 5.000000-1 1.942766-1 2.497879-2 0.000000+0 0.000000+0
  1.064891+4 5.000000-1 6.016378-1 2.300000-2 0.000000+0 0.000000+0
  1.067152+4 5.000000-1 1.231254-1 2.186815-2 0.000000+0 0.000000+0
  1.071053+4 5.000000-1 3.347309-1 2.397701-2 0.000000+0 0.000000+0
  1.072049+4 5.000000-1 3.553792-3 2.300000-2 0.000000+0 0.000000+0
  1.072790+4 5.000000-1 1.058801-1 2.382577-2 0.000000+0 0.000000+0
  1.073124+4 5.000000-1 1.783355-3 2.300000-2 0.000000+0 0.000000+0
  1.076403+4 5.000000-1 7.366707-2 3.847507-2 0.000000+0 0.000000+0
  1.078349+4 5.000000-1 3.686901-1 2.633419-2 0.000000+0 0.000000+0
  1.082357+4 5.000000-1 3.859057-1 2.586617-2 0.000000+0 0.000000+0
  1.084069+4 5.000000-1 2.722094-1 3.235168-2 0.000000+0 0.000000+0
  1.088251+4 5.000000-1 1.445202+0 2.302240-2 0.000000+0 0.000000+0
  1.092209+4 5.000000-1 3.949003-1 2.495205-2 0.000000+0 0.000000+0
  1.094540+4 5.000000-1 5.768224-4 2.300000-2 0.000000+0 0.000000+0
  1.095859+4 5.000000-1 6.979982-2 2.300000-2 0.000000+0 0.000000+0
  1.100524+4 5.000000-1 4.975012-4 2.300000-2 0.000000+0 0.000000+0
  1.102368+4 5.000000-1 3.295616-1 3.161475-2 0.000000+0 0.000000+0
  1.103785+4 5.000000-1 5.032384-2 2.300000-2 0.000000+0 0.000000+0
  1.105735+4 5.000000-1 4.134096-4 2.300000-2 0.000000+0 0.000000+0
  1.106664+4 5.000000-1 1.629973-3 2.300000-2 0.000000+0 0.000000+0
  1.107268+4 5.000000-1 1.277965-1 2.300000-2 0.000000+0 0.000000+0
  1.108618+4 5.000000-1 3.095721-1 1.483806-2 0.000000+0 0.000000+0
  1.115403+4 5.000000-1 5.171589-1 2.051637-2 0.000000+0 0.000000+0
  1.117279+4 5.000000-1 1.707922-1 3.504930-2 0.000000+0 0.000000+0
  1.122902+4 5.000000-1 3.070597-1 3.044300-2 0.000000+0 0.000000+0
  1.124437+4 5.000000-1 1.047774-1 2.300000-2 0.000000+0 0.000000+0
  1.126251+4 5.000000-1 2.381973-1 2.707532-2 0.000000+0 0.000000+0
  1.130140+4 5.000000-1 5.446289-3 2.300000-2 0.000000+0 0.000000+0
  1.131795+4 5.000000-1 3.386798-1 3.545256-2 0.000000+0 0.000000+0
  1.134075+4 5.000000-1 1.757082-1 2.626840-2 0.000000+0 0.000000+0
  1.135132+4 5.000000-1 1.372740-3 2.300000-2 0.000000+0 0.000000+0
  1.135721+4 5.000000-1 8.001847-4 2.300000-2 0.000000+0 0.000000+0
  1.137611+4 5.000000-1 1.176321-1 1.699131-2 0.000000+0 0.000000+0
  1.140049+4 5.000000-1 8.865333-1 2.300000-2 5.400000-4 0.000000+0
  1.142448+4 5.000000-1 8.897389-2 2.300000-2 0.000000+0 0.000000+0
  1.144543+4 5.000000-1 1.638634-1 2.300000-2 0.000000+0 5.400000-4
  1.145747+4 5.000000-1 5.511879-2 2.300000-2 0.000000+0 0.000000+0
  1.149526+4 5.000000-1 3.687548-4 2.300000-2 0.000000+0 0.000000+0
  1.150976+4 5.000000-1 2.012118-1 2.300000-2 0.000000+0 0.000000+0
  1.153963+4 5.000000-1 4.841319-1 2.132526-2 0.000000+0 0.000000+0
  1.154614+4 5.000000-1 8.489138-2 2.300000-2 0.000000+0 0.000000+0
  1.156299+4 5.000000-1 4.144824-1 2.429560-2 0.000000+0 0.000000+0
  1.156565+4 5.000000-1 1.884352-3 2.300000-2 0.000000+0 0.000000+0
  1.157808+4 5.000000-1 3.305076-1 2.490188-2 0.000000+0 0.000000+0
  1.158519+4 5.000000-1 1.231364-3 2.300000-2 0.000000+0 0.000000+0
  1.161346+4 5.000000-1 2.984494-2 2.493428-2 0.000000+0 0.000000+0
  1.165545+4 5.000000-1 4.661283-1 2.855632-2 0.000000+0 0.000000+0
  1.165906+4 5.000000-1 1.513876-1 1.817244-2 0.000000+0 0.000000+0
  1.169117+4 5.000000-1 4.090721-1 2.445469-2 0.000000+0 0.000000+0
  1.171130+4 5.000000-1 4.184769-1 2.365347-2 0.000000+0 0.000000+0
  1.172993+4 5.000000-1 2.484330-1 2.596877-2 0.000000+0 0.000000+0
  1.176281+4 5.000000-1 7.518928-2 2.608537-2 0.000000+0 0.000000+0
  1.180851+4 5.000000-1 2.056687-1 2.300000-2 0.000000+0 0.000000+0
  1.182222+4 5.000000-1 1.507543-3 2.300000-2 0.000000+0 0.000000+0
  1.185940+4 5.000000-1 4.538138-1 2.300000-2 0.000000+0 0.000000+0
  1.186800+4 5.000000-1 2.679574-3 2.300000-2 0.000000+0 0.000000+0
  1.189321+4 5.000000-1 3.006632-2 2.848221-2 0.000000+0 0.000000+0
  1.192171+4 5.000000-1 1.451898-1 2.200000-2 0.000000+0 0.000000+0
  1.195693+4 5.000000-1 1.333478-2 2.421084-2 0.000000+0 0.000000+0
  1.195809+4 5.000000-1 8.355075-1 2.300000-2 0.000000+0 0.000000+0
  1.197196+4 5.000000-1 2.171834-1 2.425645-2 0.000000+0 0.000000+0
  1.198443+4 5.000000-1 3.674336-1 1.981558-2 0.000000+0 0.000000+0
  1.200075+4 5.000000-1 9.881589-4 2.300000-2 0.000000+0 0.000000+0
  1.203779+4 5.000000-1 3.411345-1 2.300000-2 0.000000+0 0.000000+0
  1.206113+4 5.000000-1 1.474293-1 3.858359-2 0.000000+0 0.000000+0
  1.208443+4 5.000000-1 1.570649-1 1.500382-2 0.000000+0 0.000000+0
  1.210893+4 5.000000-1 2.761743-3 2.300000-2 0.000000+0 0.000000+0
  1.212423+4 5.000000-1 2.125103-3 2.300000-2 0.000000+0 0.000000+0
  1.213334+4 5.000000-1 6.552513-1 2.911303-2 0.000000+0 0.000000+0
  1.213732+4 5.000000-1 8.386814-1 1.539314-2 0.000000+0 0.000000+0
  1.216057+4 5.000000-1 4.485098-2 2.015506-2 0.000000+0 0.000000+0
  1.220376+4 5.000000-1 1.260535+0 2.659879-2 0.000000+0 0.000000+0
  1.224799+4 5.000000-1 3.096441-1 2.300000-2 0.000000+0 0.000000+0
  1.226694+4 5.000000-1 1.599868-1 2.300000-2 0.000000+0 0.000000+0
  1.227932+4 5.000000-1 1.004421+0 2.747065-2 0.000000+0 0.000000+0
  1.232771+4 5.000000-1 4.665807-1 2.300000-2 0.000000+0 0.000000+0
  1.233315+4 5.000000-1 2.916618-2 1.712679-2 0.000000+0 0.000000+0
  1.237424+4 5.000000-1 8.012062-2 2.998350-2 0.000000+0 0.000000+0
  1.241233+4 5.000000-1 6.205588-2 4.084764-2 0.000000+0 0.000000+0
  1.245525+4 5.000000-1 4.949757-2 2.111273-2 0.000000+0 0.000000+0
  1.249501+4 5.000000-1 2.931096-1 2.300000-2 0.000000+0 0.000000+0
  1.252009+4 5.000000-1 4.298451-2 2.300000-2 0.000000+0 0.000000+0
  1.252623+4 5.000000-1 4.062462-1 2.691286-2 0.000000+0 0.000000+0
  1.256353+4 5.000000-1 1.185021-1 4.415340-2 0.000000+0 0.000000+0
  1.257244+4 5.000000-1 7.101696-1 2.300000-2 0.000000+0 0.000000+0
  1.264403+4 5.000000-1 1.198248+0 3.540277-2 0.000000+0 0.000000+0
  1.265772+4 5.000000-1 1.880342-1 2.300000-2 0.000000+0 0.000000+0
  1.267194+4 5.000000-1 1.110215-3 2.300000-2 0.000000+0 0.000000+0
  1.270219+4 5.000000-1 1.064850+0 1.789287-2 0.000000+0 0.000000+0
  1.272084+4 5.000000-1 6.964959-1 2.580061-2 0.000000+0 0.000000+0
  1.276046+4 5.000000-1 1.601549-1 2.300000-2 0.000000+0 0.000000+0
  1.278792+4 5.000000-1 9.125225-1 2.300000-2 0.000000+0 0.000000+0
  1.280370+4 5.000000-1 5.908836-3 2.300000-2 0.000000+0 0.000000+0
  1.283279+4 5.000000-1 6.206171-1 2.675325-2 0.000000+0 0.000000+0
  1.284082+4 5.000000-1 8.598549-1 2.300000-2 0.000000+0 0.000000+0
  1.288774+4 5.000000-1 1.332360-1 2.301548-2 0.000000+0 0.000000+0
  1.289863+4 5.000000-1 4.254340-1 2.300000-2 0.000000+0 0.000000+0
  1.291288+4 5.000000-1 1.008645+0 2.300000-2 0.000000+0 0.000000+0
  1.293447+4 5.000000-1 8.838395-2 3.613549-2 0.000000+0 0.000000+0
  1.295625+4 5.000000-1 8.102833-2 3.743492-2 0.000000+0 0.000000+0
  1.297200+4 5.000000-1 3.421034-3 2.300000-2 0.000000+0 0.000000+0
  1.298363+4 5.000000-1 4.281372-2 2.300000-2 0.000000+0 0.000000+0
  1.301537+4 5.000000-1 7.475623-3 2.300000-2 0.000000+0 0.000000+0
  1.304335+4 5.000000-1 1.165418-1 2.300000-2 0.000000+0 0.000000+0
  1.305226+4 5.000000-1 1.209481+0 2.300000-2 0.000000+0 0.000000+0
  1.305424+4 5.000000-1 5.444715-3 2.300000-2 0.000000+0 0.000000+0
  1.307202+4 5.000000-1 1.073319-1 2.300000-2 0.000000+0 0.000000+0
  1.308675+4 5.000000-1 1.316279-1 2.300000-2 0.000000+0 0.000000+0
  1.310217+4 5.000000-1 4.150894-2 2.300000-2 0.000000+0 0.000000+0
  1.315497+4 5.000000-1 1.429292-1 2.678524-2 0.000000+0 0.000000+0
  1.317248+4 5.000000-1 1.522054-1 2.300000-2 0.000000+0 0.000000+0
  1.320230+4 5.000000-1 2.908299-1 2.300000-2 0.000000+0 0.000000+0
  1.322825+4 5.000000-1 5.094660-1 1.865436-2 0.000000+0 0.000000+0
  1.325067+4 5.000000-1 1.408853+0 2.300000-2 0.000000+0 0.000000+0
  1.326371+4 5.000000-1 2.089554-1 2.300000-2 0.000000+0 0.000000+0
  1.328526+4 5.000000-1 9.444347-2 2.300000-2 0.000000+0 0.000000+0
  1.332258+4 5.000000-1 5.839384-1 2.300000-2 0.000000+0 0.000000+0
  1.336554+4 5.000000-1 5.952263-1 2.300000-2 0.000000+0 0.000000+0
  1.341483+4 5.000000-1 2.009239-1 2.300000-2 0.000000+0 0.000000+0
  1.343621+4 5.000000-1 3.697910-1 2.300000-2 0.000000+0 0.000000+0
  1.345326+4 5.000000-1 2.725567-3 2.300000-2 0.000000+0 0.000000+0
  1.349634+4 5.000000-1 7.753154-3 2.300000-2 0.000000+0 0.000000+0
  1.350056+4 5.000000-1 2.161071-1 2.300000-2 0.000000+0 0.000000+0
  1.350987+4 5.000000-1 1.687150-2 2.300000-2 0.000000+0 0.000000+0
  1.351473+4 5.000000-1 2.389157-1 2.300000-2 0.000000+0 0.000000+0
  1.354173+4 5.000000-1 2.270298-1 2.300000-2 0.000000+0 0.000000+0
