8-O-16(n,elastic) ENDF/B-VII.1
4267500.0,1.3507
4275000.0,1.30459
4280000.0,1.30979
4285000.0,1.36712
4290000.0,1.50111
4296250.0,1.7888
4310000.0,2.52666
4317500.0,2.77875
4326000.0,2.90424
4328000.0,2.90742
4340000.0,2.80205
4375000.0,2.2843
4405000.0,2.00675
4435000.0,1.8573
4447500.0,1.8369
4455000.0,1.84166
4462000.0,1.80654
4465000.0,1.6985
4469500.0,1.38582
4472000.0,1.25058
4475000.0,1.20516
4490000.0,1.30297
4500000.0,1.31314
4520000.0,1.27789
4524500.0,1.3102
4527000.0,1.39536
4528500.0,1.52125
4529750.0,1.70469
4531000.0,1.99889
4533000.0,2.62932
4534120.0,2.8233
4534250.0,2.82412
4535000.0,2.81215
4537500.0,2.39095
4539500.0,2.08845
4541250.0,1.94417
4545000.0,1.69641
4550000.0,1.55852
4560000.0,1.43853
4585000.0,1.32404
4599000.0,1.2947
4600750.0,1.31966
4602000.0,1.33923
4605000.0,1.28317
4615000.0,1.26908
4626000.0,1.30715
4630500.0,1.3924
4633000.0,1.50976
4635500.0,1.72985
4637000.0,1.86973
4638000.0,1.90002
4639000.0,1.84762
4642500.0,1.52125
4645000.0,1.30936
4650000.0,1.19879
4660000.0,1.13936
4752500.0,0.958255
4775000.0,0.939325
4790000.0,0.965709
4800000.0,1.02999
4807500.0,1.1295
4815000.0,1.28521
4833000.0,1.838
4840000.0,1.94183
4842000.0,1.94686
4852500.0,1.84415
4875000.0,1.4886
4895000.0,1.27855
4920000.0,1.11714
4955000.0,0.97982
4990000.0,0.903255
5000000.0,0.897953
5020000.0,0.929303
5035000.0,1.01175
5050000.0,1.14359
5102000.0,1.71061
5110000.0,1.88357
5116500.0,2.1487
5122000.0,2.53551
5129500.0,3.20465
5132000.0,3.29469
5135000.0,3.20189
5141250.0,2.60257
5146000.0,2.17935
5150000.0,1.93148
5155000.0,1.72444
5162500.0,1.5423
5170000.0,1.42902
5185000.0,1.30675
5215000.0,1.1784
5275000.0,1.04475
5300000.0,1.01546
5310000.0,1.13067
5320000.0,0.922767
5330000.0,0.981288
5340000.0,1.64132
5352190.0,1.20137
5355000.0,1.08386
5360000.0,1.00983
5372000.0,0.913244
5373500.0,0.93659
5375000.0,0.986365
5380000.0,0.99293
5397500.0,0.944605
5440000.0,0.920935
5480000.0,0.951738
5510000.0,1.02764
5540000.0,1.17685
5580000.0,1.49795
5612500.0,1.74355
5637300.0,1.8126
5639800.0,1.8134
5671500.0,1.74045
5760000.0,1.3677
5820000.0,1.19915
5867500.0,1.1269
5870000.0,1.12613
5887500.0,1.15255
5897500.0,1.221
5905000.0,1.33754
5910000.0,1.48821
5915000.0,1.7359
5923000.0,2.269
5926000.0,2.34637
5929000.0,2.26698
5940000.0,1.53412
5945000.0,1.31809
5950000.0,1.17337
5957500.0,1.03082
5975000.0,0.800501
5982000.0,0.738881
5985000.0,0.755376
5986500.0,0.795895
5988000.0,0.857976
5990250.0,1.03074
5995000.0,1.53672
5997000.0,1.65323
5999000.0,1.68154
6003000.0,1.60435
6012000.0,1.38247
6022500.0,1.23995
6037500.0,1.1358
6058000.0,1.07677
6061000.0,1.07607
6070000.0,1.1106
6074000.0,1.18098
6078500.0,1.34935
6079000.0,1.35843
6080120.0,1.33354
6084500.0,1.05285
6087000.0,0.9912
6092000.0,0.94813
6150000.0,0.880093
6240000.0,0.848265
6272250.0,0.83518
6322000.0,0.861858
6354000.0,0.92483
6368000.0,0.996214
6380000.0,1.09386
6393500.0,1.22835
6396000.0,1.23883
6404500.0,1.2032
6418000.0,0.930836
6431000.0,0.77001
6444000.0,0.66827
6458100.0,0.621905
6499000.0,0.531675
6502000.0,0.530951
6530500.0,0.558525
6572000.0,0.657031
6607000.0,0.766235
6646000.0,0.836245
6658000.0,0.860784
6675000.0,0.960899
6682500.0,0.90939
6700000.0,0.864962
6720000.0,0.857059
6760000.0,0.895484
6780000.0,0.953621
6792500.0,1.0399
6805000.0,1.18896
6810000.0,1.26138
6820000.0,1.31806
6840000.0,0.916541
6850000.0,0.793158
6860000.0,0.747964
6880000.0,0.712801
6900000.0,0.704329
6925000.0,0.708632
6940000.0,0.706444
6970000.0,0.72216
7060000.0,0.859675
7110000.0,0.808225
7120000.0,0.804601
7125000.0,0.805197
7150000.0,0.777522
7160000.0,0.78321
