40-Zr-90(n,elastic) ENDF/B-VII.1
14437.8,6.1319
14931.7,5.05251
15681.0,3.64704
16055.6,2.73239
16294.0,1.98525
16489.9,1.23187
16690.0,0.387961
16732.5,0.229645
16760.7,0.139641
16778.0,0.0936574
16790.9,0.0652717
16801.7,0.0458316
16809.5,0.0350715
16815.9,0.0285675
16820.7,0.0251763
16824.6,0.023542
16828.5,0.0229819
16832.9,0.0237997
16837.2,0.0262779
16841.5,0.0307259
16845.8,0.0375812
16850.2,0.0474042
16853.9,0.0591093
16857.9,0.0756837
16861.8,0.0975645
16865.3,0.123927
16868.3,0.15495
16871.2,0.195695
16873.8,0.244754
16875.9,0.302357
16877.8,0.371805
16879.5,0.453953
16880.8,0.548126
16881.9,0.650682
16883.0,0.802115
16883.9,0.968118
16884.7,1.18
16885.4,1.45628
16886.0,1.78274
16886.6,2.23004
16887.2,2.84344
16887.8,3.64443
16888.4,4.73282
16889.0,6.16018
16889.6,8.10037
16890.3,10.8208
16891.1,15.036
16892.5,23.4759
16894.1,32.799
16895.2,36.9827
16896.0,38.0634
16897.0,36.7057
16898.1,31.9976
16900.8,15.3838
16901.7,10.9014
16902.4,8.20108
16903.1,6.2184
16903.7,4.79417
16904.3,3.74896
16904.8,2.96405
16905.4,2.38215
16906.1,1.90038
16906.8,1.54051
16907.5,1.2902
16908.4,1.09091
16909.4,0.926259
16910.5,0.798789
16912.0,0.685501
16913.5,0.609837
16915.0,0.557288
16917.2,0.507731
16919.4,0.477657
16923.7,0.452059
16925.0,0.4503
16930.3,0.461017
16939.2,0.519309
16949.7,0.626967
16959.8,0.767055
16966.8,0.91206
16975.9,1.0554
16991.2,1.40529
17008.3,1.90683
17024.9,2.5336
17041.9,3.35648
17059.0,4.41083
17076.1,5.76391
17093.1,7.49835
17110.2,9.73053
17127.2,12.6202
17144.3,16.3649
17161.4,21.2327
17178.4,27.5911
17194.7,35.4487
17212.9,46.7701
17231.1,61.4179
17252.3,82.9939
17294.8,132.404
17314.4,148.392
17333.2,153.988
17351.4,150.281
17383.8,130.313
17434.3,94.9618
17472.2,75.2679
17510.1,61.23
17548.0,51.1941
17593.5,42.6391
17646.6,35.7029
17707.3,30.2291
17783.1,25.5665
17879.1,21.6511
18000.4,18.4455
18162.2,15.7522
18364.4,13.6688
18647.5,11.909
19055.3,10.4532
19067.1,10.4389
19075.3,10.6554
19077.6,11.3367
19079.1,12.4342
19081.0,14.8306
19083.5,18.2154
19085.0,18.9779
19086.4,18.3329
19088.5,15.5762
19090.6,12.7375
19091.8,11.7228
19093.5,10.92
19096.0,10.498
19146.6,10.2227
19505.5,9.62004
19582.4,9.8046
19614.5,10.2813
19633.7,11.1564
19644.1,12.249
19650.4,13.4379
19656.2,15.2924
19660.5,17.6158
19663.7,20.2975
19666.5,23.8111
19668.9,28.2479
19671.2,34.3962
19673.1,41.9077
19675.1,52.187
19677.4,68.0976
19681.9,104.758
19684.0,114.647
19685.0,116.061
19686.8,112.278
19689.1,97.9185
19693.5,62.4071
19695.7,48.7507
19697.8,38.7758
19700.1,31.5392
19702.6,25.9321
19705.0,22.3393
19708.2,19.0819
19712.2,16.4605
19717.5,14.3624
19723.5,12.9001
19733.7,11.5191
19744.0,10.7777
19768.3,9.95547
19819.6,9.38936
20018.3,8.88301
21004.9,8.04701
22924.2,7.29679
26186.7,6.72123
26400.2,6.83423
26439.3,7.12651
26450.4,7.50725
26454.8,7.94259
26457.4,8.65261
26459.1,9.70812
26460.2,10.9513
26461.3,12.8599
26462.4,15.5312
26463.6,19.6457
26465.5,27.8768
26467.5,36.4504
26468.7,39.9534
26469.7,40.9642
26471.0,39.5116
26472.4,34.5315
26475.7,19.0494
26476.9,14.6139
26477.9,11.8579
26478.9,9.89712
26479.7,8.76916
26480.7,7.87807
26481.7,7.34343
26483.7,6.87226
26487.5,6.72747
