94-Pu-239(n,total fission) ENDF/B-VII.1
18.0965,8.172
18.1395,6.70261
18.1911,5.43807
18.2513,4.39897
18.3163,3.60811
18.388,2.98838
18.4764,2.45426
18.5767,2.03874
18.6938,1.70927
18.8419,1.43465
19.0139,1.23148
19.1859,1.10051
19.44,0.98647
19.6942,0.933396
19.8549,0.923211
20.0961,0.941526
20.3372,1.00588
20.5783,1.13651
20.7591,1.30502
20.9198,1.53911
21.0605,1.84904
21.1743,2.21435
21.2748,2.66896
21.3752,3.31555
21.459,4.07935
21.5393,5.11188
21.6043,6.2791
21.6652,7.79077
21.7222,9.75843
21.7691,11.9924
21.8159,15.0783
21.8534,18.4791
21.8909,23.1639
21.9218,28.4885
21.9499,35.1537
21.977,44.1082
21.9991,54.2068
22.0212,68.0855
22.04,84.1039
22.058,104.626
22.0778,134.572
22.0966,172.162
22.1187,230.13
22.1428,311.411
22.1863,493.539
22.2189,625.427
22.2446,696.724
22.2671,720.205
22.2874,705.985
22.3164,633.924
22.3651,438.71
22.401,300.008
22.4244,228.085
22.4448,179.107
22.4659,140.534
22.4884,110.36
22.5118,87.7485
22.5336,72.5349
22.5587,59.7061
22.5888,48.7182
22.6223,40.0773
22.6625,32.758
22.7094,26.7855
22.7629,22.0167
22.8286,17.9819
22.8982,15.0263
22.9786,12.6564
23.059,10.9926
23.1708,9.41633
23.3136,8.21669
23.4563,7.69715
23.5039,7.68073
23.5958,7.98187
23.6541,8.58976
23.6954,9.46311
23.7299,10.7342
23.7629,12.6776
23.8004,15.9455
23.8579,21.8343
23.8809,23.3725
23.9036,23.7582
23.9278,22.6524
23.9557,19.5608
24.0223,9.13653
24.0414,6.67784
24.0587,4.92962
24.0734,3.78646
24.0861,3.04366
24.0993,2.4699
24.1131,2.05406
24.1246,1.82124
24.1384,1.64594
24.1568,1.53721
24.166,1.51956
24.1966,1.55826
24.3376,2.03212
24.4848,2.34912
25.0,3.1308
25.1762,3.53993
25.3294,4.07404
25.4571,4.7492
