92-U-238(n,total fission) ENDF/B-VII.1
36.1343,2.56917E-5
36.1873,3.15752E-5
36.2297,3.81369E-5
36.2686,4.65368E-5
36.3004,5.62355E-5
36.3269,6.75701E-5
36.3513,8.22788E-5
36.3725,1.00335E-4
36.3937,1.25909E-4
36.4107,1.54192E-4
36.4284,1.93909E-4
36.446,2.47483E-4
36.4637,3.18861E-4
36.4814,4.12177E-4
36.5012,5.47349E-4
36.5231,7.38694E-4
36.5499,0.00103169
36.6171,0.00188478
36.6482,0.00217778
36.6753,0.00229105
36.681,0.00229468
36.7093,0.00220762
36.7373,0.00196962
36.7874,0.00134009
36.8235,8.93634E-4
36.8489,6.37084E-4
36.8687,4.78994E-4
36.8857,3.71471E-4
36.9027,2.8701E-4
36.9196,2.22132E-4
36.9362,1.74037E-4
36.9521,1.39261E-4
36.9698,1.10479E-4
36.9875,8.93716E-5
37.0073,7.21861E-5
37.0271,5.97084E-5
37.0518,4.84727E-5
37.0787,3.97793E-5
37.1087,3.27372E-5
37.1448,2.66014E-5
37.184,2.17286E-5
37.2335,1.72736E-5
37.2847,1.39388E-5
37.3466,1.10247E-5
37.4084,8.90646E-6
37.4791,7.12596E-6
37.5586,5.66554E-6
37.6452,4.50702E-6
37.7442,3.54437E-6
37.8414,2.84997E-6
37.9544,2.25323E-6
38.0817,1.76521E-6
38.2089,1.40797E-6
38.3503,1.11496E-6
38.4917,8.9767E-7
38.6613,7.06128E-7
38.8309,5.65628E-7
39.0289,4.46124E-7
39.2268,3.6002E-7
39.4247,2.97201E-7
39.6721,2.4157E-7
39.9478,1.99454E-7
40.2446,1.70251E-7
40.5415,1.51975E-7
40.8287,1.41403E-7
41.2051,1.34878E-7
41.5154,1.33383E-7
42.2054,1.38659E-7
43.574,1.64261E-7
49.9563,3.20855E-7
53.2787,4.22604E-7
55.4238,5.15445E-7
57.0792,6.14843E-7
58.4822,7.40035E-7
59.5862,8.8609E-7
60.5591,1.08079E-6
61.2792,1.29238E-6
61.9127,1.56015E-6
62.4649,1.90646E-6
62.8906,2.29302E-6
63.2818,2.80224E-6
63.6177,3.43453E-6
63.9146,4.2437E-6
64.1447,5.13578E-6
64.3443,6.21146E-6
64.5265,7.57522E-6
64.6927,9.32567E-6
64.8322,1.13875E-5
64.9568,1.39549E-5
65.0637,1.70096E-5
65.1616,2.09047E-5
65.2417,2.5315E-5
65.3189,3.12146E-5
65.3827,3.80402E-5
65.4421,4.69957E-5
65.4866,5.64712E-5
65.5237,6.74628E-5
65.5534,7.96375E-5
65.583,9.67758E-5
65.609,1.1829E-4
65.6326,1.46023E-4
65.6553,1.83615E-4
65.6755,2.29707E-4
65.6957,2.92007E-4
65.7166,3.79089E-4
65.7374,4.94526E-4
65.7581,6.45689E-4
65.7819,8.70766E-4
65.8068,0.00117567
65.8365,0.00163594
65.878,0.00243883
65.9505,0.00395877
65.9873,0.00452285
66.0241,0.00477351
66.0308,0.00477932
66.0644,0.0046193
66.0988,0.00416412
66.1535,0.00307212
66.2104,0.00188449
66.2419,0.00134668
66.2686,9.8215E-4
66.29,7.51152E-4
66.3113,5.69122E-4
66.3309,4.39566E-4
66.3496,3.43755E-4
66.3683,2.70147E-4
66.387,2.14217E-4
66.4057,1.72026E-4
66.4259,1.3814E-4
66.4467,1.12537E-4
66.4704,9.13972E-5
66.4942,7.61753E-5
66.5209,6.37149E-5
66.558,5.15211E-5
66.5951,4.29079E-5
66.6426,3.49439E-5
66.696,2.84839E-5
66.7583,2.30185E-5
66.8295,1.8504E-5
66.9126,1.47203E-5
66.9968,1.19385E-5
67.0982,9.49629E-6
67.2081,7.58669E-6
67.3288,6.06536E-6
67.4697,4.78653E-6
67.6146,3.83583E-6
67.7687,3.09289E-6
67.9412,2.48091E-6
68.1252,2.00057E-6
68.3437,1.58493E-6
68.5507,1.29591E-6
68.7922,1.04599E-6
69.0682,8.38613E-7
69.3481,6.88112E-7
69.6793,5.57917E-7
70.022,4.60995E-7
70.4337,3.79816E-7
70.7866,3.30196E-7
71.2033,2.89682E-7
71.8013,2.53206E-7
72.5281,2.30817E-7
73.3424,2.23677E-7
74.2696,2.31333E-7
75.3032,2.55988E-7
76.1317,2.90426E-7
76.8443,3.35615E-7
77.5835,4.08873E-7
78.0311,4.77802E-7
78.4299,5.69215E-7
78.7794,6.88291E-7
79.0423,8.21404E-7
79.2633,9.85922E-7
79.4528,1.19146E-6
79.617,1.45245E-6
79.7496,1.75925E-6
79.8665,2.15065E-6
79.9659,2.63672E-6
80.037,3.1289E-6
80.1033,3.77467E-6
80.1506,4.42875E-6
80.1885,5.16493E-6
80.2248,6.20006E-6
80.2525,7.37248E-6
80.2762,8.81987E-6
80.2998,1.09035E-5
80.3196,1.33544E-5
80.3393,1.67245E-5
80.3571,2.08169E-5
80.3764,2.67802E-5
80.3958,3.47722E-5
80.4151,4.53381E-5
80.434,5.87671E-5
80.4554,7.82637E-5
80.479,1.06331E-4
80.5051,1.46033E-4
80.5359,2.0561E-4
80.5769,3.04478E-4
80.6616,5.29673E-4
80.7045,6.103E-4
80.7431,6.38636E-4
80.7457,6.38792E-4
80.7828,6.16812E-4
80.8182,5.5788E-4
80.8712,4.24918E-4
80.9353,2.52928E-4
80.9685,1.78962E-4
80.9969,1.2796E-4
81.0206,9.43637E-5
81.0423,7.01337E-5
81.062,5.29013E-5
81.0806,4.0256E-5
81.0995,3.02997E-5
81.1161,2.35959E-5
81.1327,1.8404E-5
81.1493,1.44212E-5
81.1674,1.11414E-5
81.1832,8.99808E-6
81.2021,7.07858E-6
