92-U-238(n,&gamma;) ENDF/B-VII.1
77.7327,0.112158
78.1803,0.125285
78.5533,0.144491
78.8465,0.168447
79.0897,0.199838
79.2633,0.233085
79.4433,0.283391
79.576,0.337234
79.7007,0.409212
79.8144,0.504029
79.8996,0.604693
79.9801,0.737367
80.0464,0.89047
80.1001,1.06182
80.1475,1.27336
80.1854,1.51585
80.2185,1.82638
80.2454,2.19573
80.2675,2.62932
80.2896,3.24227
80.3085,3.97493
80.3275,4.97687
80.346,6.31277
80.3626,7.8987
80.3792,9.95934
80.3985,13.1222
80.4179,17.308
80.4376,22.8803
80.4593,30.8385
80.483,42.0805
80.5075,56.8511
80.5359,78.2358
80.5738,113.245
80.6616,203.866
80.7045,235.46
80.7437,246.901
80.7472,246.983
80.7834,238.636
80.8258,210.202
80.8927,142.52
80.9438,91.2074
80.9748,65.6641
81.002,47.5727
81.0257,35.1573
81.0474,26.2474
81.0679,19.7135
81.0869,15.0575
81.1058,11.4875
81.1248,8.79141
81.1425,6.88987
81.1603,5.45854
81.1781,4.38755
81.1958,3.58822
81.2171,2.89059
81.2385,2.39424
81.2645,1.96929
81.2921,1.65778
81.3237,1.40759
81.3632,1.18682
81.4121,0.992653
81.4784,0.807552
81.5558,0.65698
81.6347,0.5473
81.7295,0.452306
81.8515,0.366629
81.9808,0.303685
82.1316,0.2524
82.3026,0.212074
82.5096,0.17883
82.6821,0.159979
82.8356,0.152409
83.0386,0.158835
83.1651,0.151866
83.2284,0.148344
83.2801,0.153353
83.3189,0.168006
83.3513,0.19262
83.3772,0.224132
83.4057,0.275118
83.4341,0.346641
83.4657,0.454324
83.4998,0.605188
83.5551,0.912249
83.6227,1.29381
83.6664,1.45756
83.7022,1.50354
83.7424,1.44843
83.7826,1.29319
83.8613,0.843381
83.9096,0.578931
83.9456,0.422134
83.9743,0.325422
84.0031,0.252751
84.0301,0.203355
84.057,0.168479
84.084,0.144617
84.111,0.128689
84.1433,0.116613
84.1865,0.107602
84.2728,0.0998673
84.4166,0.0947099
84.8077,0.0883417
85.3958,0.0842408
85.9839,0.0829787
86.7146,0.0843601
87.63,0.0899318
87.9995,0.095969
88.2767,0.104987
88.4615,0.116971
88.5827,0.132001
88.6549,0.148622
88.6982,0.166178
88.7343,0.190726
88.7632,0.222553
88.7895,0.267546
88.813,0.327342
88.8341,0.404088
88.8552,0.510645
88.8763,0.656692
88.8974,0.853651
88.9185,1.11436
88.94,1.45888
88.9628,1.92614
88.988,2.58528
89.0158,3.49281
89.0519,4.94776
89.1578,9.96498
89.204,11.5043
89.2455,12.0089
89.2466,12.0092
89.2837,11.6218
89.3288,10.2328
89.4007,6.87187
89.4518,4.50616
89.4864,3.18903
89.5156,2.30639
89.5416,1.69517
89.5644,1.28127
89.5871,0.964335
89.6066,0.757159
89.6271,0.590956
89.6488,0.462157
89.6704,0.369544
89.6921,0.303743
89.7174,0.251064
89.7462,0.212115
89.7823,0.182698
89.8184,0.165176
89.8819,0.147799
89.9859,0.133475
90.1245,0.123978
90.367,0.117153
90.6095,0.115365
91.2896,0.119406
92.1603,0.132883
92.5399,0.142959
92.6549,0.15161
92.7124,0.163675
92.7556,0.18173
92.7901,0.205645
92.8246,0.241539
92.8576,0.2901
92.8936,0.360697
92.9439,0.489115
93.0425,0.770066
93.0891,0.856727
93.1266,0.880419
93.169,0.851556
93.2208,0.74805
93.3378,0.422264
93.381,0.328933
93.4198,0.267838
93.4543,0.230303
93.4888,0.205521
93.5405,0.185075
93.598,0.175939
93.6843,0.173077
94.0926,0.183268
94.9251,0.218178
95.7728,0.269547
96.5197,0.331794
97.1638,0.409491
97.5203,0.468725
97.6583,0.512086
97.7388,0.569455
97.8107,0.660629
97.9706,0.942459
98.038,0.998374
98.0489,0.999825
98.1069,0.972838
98.2765,0.758529
98.334,0.716103
98.4289,0.697842
98.6014,0.739527
99.0074,0.910028
99.4001,1.14294
99.7249,1.41394
100.009,1.74282
100.272,2.16232
100.497,2.65915
100.712,3.3168
100.887,4.05591
101.045,4.96897
101.2,6.19639
101.334,7.69714
101.447,9.4256
101.551,11.6106
101.646,14.3818
101.729,17.762
101.8,21.793
101.862,26.7153
101.915,32.6514
101.957,39.1768
101.996,47.4462
102.035,59.1743
102.065,72.3331
102.095,89.5855
102.125,113.079
102.154,144.972
102.184,187.81
102.212,241.799
102.244,320.578
102.278,425.117
102.319,588.447
102.381,894.002
102.459,1282.5
102.506,1451.05
102.553,1519.82
102.558,1520.45
102.604,1466.15
102.656,1290.66
102.79,625.437
102.831,454.099
102.869,331.764
102.901,250.542
102.927,197.731
102.956,154.032
102.985,119.795
103.015,94.5051
103.047,74.6657
103.076,61.7612
103.111,50.0001
103.152,40.4938
103.2,32.7533
103.253,26.7484
103.317,21.6645
103.389,17.6419
103.472,14.2716
103.566,11.5107
103.67,9.33538
103.798,7.42657
103.94,5.92319
104.082,4.84056
104.242,3.94691
104.429,3.18711
104.633,2.58402
104.871,2.07933
105.143,1.66495
105.428,1.35433
105.766,1.08961
106.139,0.881175
106.531,0.723452
107.005,0.586778
107.515,0.483484
108.013,0.410669
108.585,0.350822
109.315,0.299407
109.929,0.272085
110.574,0.258257
110.732,0.264525
110.796,0.278382
110.861,0.311435
110.904,0.351066
