E(MeV)  pendfb7/Pu239:2
3.00177882e-07  14.650696
3.01444816e-07  14.8933361
3.0272249e-07  15.1293731
3.04000164e-07  15.3560305
3.05288669e-07  15.5744925
3.06577173e-07  15.7822564
3.07876601e-07  15.9804872
3.09176028e-07  16.1670033
3.10486471e-07  16.3429501
3.11796913e-07  16.5064989
3.13118464e-07  16.6587706
3.14440016e-07  16.7983056
3.1577277e-07  16.9261901
3.17105524e-07  17.0413334
3.18449575e-07  17.1447732
3.19793627e-07  17.2357736
3.21149072e-07  17.3153077
3.22504518e-07  17.3829682
3.23871453e-07  17.4396463
3.25238388e-07  17.4852292
3.26616911e-07  17.5205102
3.27995434e-07  17.5456315
3.29490276e-07  17.5620754
3.30886821e-07  17.5679412
3.32283365e-07  17.5652676
3.33691748e-07  17.5545464
3.35100131e-07  17.5363828
3.37230614e-07  17.496097
3.39373137e-07  17.4418113
3.41527751e-07  17.3752122
3.43694507e-07  17.297904
3.45879631e-07  17.2111381
3.48077103e-07  17.1165292
3.51027753e-07  16.980345
3.55497526e-07  16.760042
3.70822922e-07  15.9659809
3.75551445e-07  15.727672
3.80333487e-07  15.4948598
3.85183283e-07  15.2685033
3.90087972e-07  15.0502987
3.95062151e-07  14.8402719
4.00092631e-07  14.6393381
4.05194384e-07  14.4470247
4.10353882e-07  14.2637986
4.15586481e-07  14.0889523
4.20878305e-07  13.922706
4.26245105e-07  13.7642677
4.3167265e-07  13.6137286
4.37177093e-07  13.470294
4.42743839e-07  13.3339925
4.48389456e-07  13.204068
4.54098974e-07  13.0805231
4.59889385e-07  12.9626588
4.65745335e-07  12.8504708
4.71684254e-07  12.7433231
4.77690394e-07  12.6412146
4.85823483e-07  12.5120905
4.94095045e-07  12.3905287
5.02507438e-07  12.2759496
5.11063059e-07  12.1678157
5.19764347e-07  12.0656337
5.28613782e-07  11.9689589
5.37613886e-07  11.8773872
5.49084697e-07  11.7694926
5.60790266e-07  11.6684245
5.72755581e-07  11.5734224
5.84965773e-07  11.4841191
5.97446909e-07  11.3998896
6.12769742e-07  11.305056
6.28485563e-07  11.216368
6.4460445e-07  11.1332464
6.61136742e-07  11.0551782
6.80955007e-07  10.9699057
7.01379839e-07  10.8902098
7.22404433e-07  10.8156309
7.47212956e-07  10.7359294
7.72873444e-07  10.6615531
7.99415154e-07  10.5919467
8.3037303e-07  10.5187178
8.62514405e-07  10.4503346
8.99697154e-07  10.3793409
9.38482839e-07  10.31302
9.83089804e-07  10.2447881
1.02684438e-06  10.1847908
1.07050686e-06  10.1306005
1.13177108e-06  10.0624537
1.1965414e-06  9.99853936
1.26501847e-06  9.93824504
1.35628301e-06  9.8670868
1.45385037e-06  9.80008157
1.58042328e-06  9.72373845
1.74225388e-06  9.63886948
1.94737556e-06  9.54574085
2.2069284e-06  9.44338823
2.57214473e-06  9.31745333
4.48731729e-06  8.75171566
5.0854022e-06  8.55589176
5.52813975e-06  8.38750178
5.92696642e-06  8.20566707
6.1789871e-06  8.06736922
6.44297095e-06  7.89108303
6.62476904e-06  7.74128319
6.7625965e-06  7.60470024
6.899588e-06  7.44022724
6.99692911e-06  7.29883571
7.09427022e-06  7.12866175
7.17184231e-06  6.9646712
7.23002138e-06  6.81938108
7.2764843e-06  6.68550268
7.3306241e-06  6.50391584
7.378517e-06  6.31376428
7.420163e-06  6.11922056
7.4513975e-06  5.95090419
7.482632e-06  5.75898705
7.5138665e-06  5.53858928
7.53989525e-06  5.32915772
7.56332113e-06  5.11786245
7.586747e-06  4.88367182
7.6388045e-06  4.31141382
7.649216e-06  4.20782109
7.6596275e-06  4.12302817
7.66743613e-06  4.08002754
7.67498447e-06  4.06373256
7.67992993e-06  4.07117282
7.68487539e-06  4.09681487
