26-Fe-56(n,elastic) ENDF/B-VII.1
72915.9,0.00589937
72925.5,0.00567188
72933.6,0.00584456
72940.9,0.00635555
72947.6,0.00724644
72952.4,0.00826352
72956.2,0.00953579
72959.1,0.0110424
72961.5,0.0130707
72963.4,0.0154683
72965.4,0.0189616
72967.0,0.0231841
72968.6,0.028907
72970.4,0.0371663
72972.3,0.0485692
72974.5,0.0659918
72977.5,0.0960175
72982.4,0.149857
72985.2,0.171646
72987.9,0.179714
72988.0,0.179737
72990.4,0.174093
72992.9,0.156772
72998.1,0.103239
73001.3,0.0724342
73003.3,0.0565722
73005.4,0.0446255
73007.2,0.0372595
73009.0,0.0321184
73011.1,0.0282578
73013.7,0.0258591
73016.7,0.0249122
73017.7,0.024881
73023.8,0.026135
73036.0,0.0314055
73053.5,0.0417004
73075.1,0.0577483
73099.0,0.080201
73126.2,0.112185
73153.0,0.151987
73183.6,0.207382
73214.2,0.27593
73248.6,0.371637
73286.9,0.505182
73329.0,0.69314
73371.0,0.935247
73413.1,1.24292
73459.0,1.67752
73501.1,2.1877
73547.0,2.90419
73592.9,3.83346
73638.8,5.03905
73684.7,6.59641
73738.3,8.96408
73791.8,12.098
73853.0,16.7297
74009.6,31.3122
74071.8,35.1873
74126.9,36.3183
74175.9,35.605
74283.0,30.8216
74442.1,22.8262
74564.5,18.301
74671.7,15.4257
74794.1,13.022
74947.1,10.8924
75130.7,9.13333
75344.9,7.73089
75620.3,6.51315
75987.6,5.44335
76416.0,4.61519
76996.9,3.8509
77027.0,3.83536
77050.6,3.91533
77056.5,4.08535
77060.9,4.45145
77064.6,5.08388
77067.6,5.93929
77071.9,7.65166
77077.2,9.90961
77080.5,10.7262
77082.1,10.8252
77085.4,10.3806
77089.1,9.09512
77095.4,6.37182
77098.8,5.32932
77102.1,4.64288
77105.0,4.29298
77110.0,3.99696
77118.4,3.84378
77170.0,3.68712
77817.2,3.08526
80554.2,1.09101
80641.8,1.0634
80691.8,1.0898
80723.1,1.15734
80746.6,1.2782
80760.7,1.4169
80773.2,1.62987
80781.9,1.87577
80789.4,2.20592
80795.7,2.63382
80800.9,3.17664
80805.1,3.84905
80808.6,4.68061
80811.5,5.6641
80814.2,6.97391
80817.0,8.8159
80819.4,11.0913
80821.9,14.1055
80824.8,18.7384
80828.4,26.1238
80835.8,43.2393
80838.9,47.9911
80842.0,49.7864
80845.2,47.9166
80848.9,41.7791
80857.4,22.2108
80860.5,16.5025
80863.3,12.499
80865.8,9.86226
80868.1,7.99408
80870.9,6.35528
80873.9,5.11045
80876.7,4.29145
80880.2,3.56369
80884.4,2.96173
80889.4,2.47418
80895.4,2.07897
80902.3,1.77258
80911.8,1.49687
80923.2,1.28657
80935.1,1.14271
80952.2,1.00787
80973.5,0.901857
81008.7,0.794017
81056.2,0.703023
81166.3,0.565819
81363.9,0.380415
81557.6,0.223783
81683.0,0.136526
81768.5,0.0859554
81827.3,0.0568252
81872.9,0.0381162
81907.1,0.0265115
81932.8,0.0194787
81955.5,0.0144861
81975.5,0.0111578
81991.6,0.00921534
82005.9,0.0080728
82020.1,0.00752258
82024.9,0.00747659
82038.2,0.0077173
82051.5,0.00852292
82064.8,0.00993527
82080.0,0.0122887
82097.1,0.0159169
82116.0,0.0212582
82136.9,0.0288256
82158.8,0.0387592
82184.4,0.0532595
82212.9,0.0736009
82245.2,0.101726
82279.4,0.138408
82321.2,0.194012
82366.8,0.270434
82412.4,0.36514
82463.6,0.49788
82520.6,0.683217
82594.7,0.997968
82663.1,1.37849
82731.5,1.86863
82792.2,2.41357
82853.0,3.08559
82921.4,4.0285
82991.3,5.23162
83062.7,6.73411
83153.9,9.19689
83254.2,12.6466
83391.0,18.4859
83586.7,27.1961
83700.9,30.6728
83828.6,32.1483
83846.8,32.1583
83992.7,30.8937
84478.9,21.7854
84782.9,17.568
85086.8,14.6808
85451.5,12.3379
85876.9,10.5196
86424.0,8.98913
87153.4,7.69533
88125.9,6.63278
89463.1,5.74539
90040.5,5.52395
90154.5,5.5882
90220.4,5.84181
90248.4,6.18979
90266.6,6.69167
90277.5,7.25327
90287.6,8.16062
90295.2,9.34704
90300.8,10.7731
90305.7,12.6937
90309.9,15.1224
90314.3,18.8373
90318.8,23.8696
90327.2,36.497
90333.0,43.9065
90337.1,46.4277
90338.1,46.536
90341.6,45.4089
90346.1,40.9239
90357.7,24.0044
90362.1,19.078
90366.1,15.7714
90370.3,13.2738
90375.2,11.2802
90380.8,9.78427
90388.4,8.52345
90398.5,7.542
90413.0,6.77197
90427.6,6.34672
90461.2,5.86839
90539.6,5.50533
90808.4,5.23375
92626.2,4.67504
92630.1,4.67493
92674.8,4.72634
92682.8,4.89754
92687.6,5.24303
92692.5,6.00573
92699.3,7.70524
92704.3,8.84131
92708.0,9.14667
92712.0,8.79192
92718.1,7.30733
92722.8,6.12146
92726.9,5.4126
92731.4,4.97809
92737.4,4.75428
92764.2,4.64831
92888.3,4.60135
92905.0,4.68962
92911.8,4.99837
92925.3,6.31201
92928.2,6.39789
92932.8,6.21203
92945.1,5.00421
92951.5,4.7253
92968.3,4.61127
96000.0,4.05996
96084.9,4.05482
96160.1,4.0804
96168.7,4.16859
96173.8,4.37565
96179.5,4.89107
96189.9,6.34346
96194.0,6.54753
96197.8,6.36616
96209.4,4.79303
96215.0,4.33337
96220.7,4.16012
96231.3,4.1138
96264.0,4.20105
96284.9,4.37549
96296.3,4.59734
96304.6,4.92288
96309.9,5.29769
96315.4,5.97684
96320.2,6.99487
96324.0,8.25546
96327.8,10.0126
96333.8,13.6766
96339.0,16.9989
96343.6,18.8633
96346.1,19.1803
96350.2,18.453
96354.5,16.3922
96363.8,10.5795
96367.6,8.75105
96371.4,7.41247
96376.2,6.31054
96380.9,5.64074
96387.0,5.13945
96393.1,4.84537
96406.0,4.51529
96434.1,4.24476
96520.6,4.06422
96566.2,4.04569
96591.1,4.07179
96601.8,4.20255
96606.2,4.41485
96610.7,4.87528
96614.6,5.58047
96624.9,8.2673
96629.0,8.82879
96630.0,8.85427
96633.7,8.53728
96638.4,7.46321
96645.3,5.61915
96648.9,4.94452
96652.9,4.47631
96658.8,4.17502
96670.5,4.04613
97008.4,3.93336
102164.0,3.4
102425.0,3.45014
102531.0,3.62936
102573.0,3.87647
102596.0,4.16957
102615.0,4.59871
102628.0,5.15304
102639.0,5.88476
102646.0,6.68568
102653.0,7.84185
102659.0,9.38752
102665.0,11.3601
102670.0,14.0693
102675.0,17.8058
102680.0,23.0648
102692.0,37.4392
102696.0,41.3957
102700.0,42.5031
102705.0,41.236
102710.0,36.2544
102722.0,21.6878
102727.0,17.1421
102732.0,13.9699
102737.0,11.3479
102742.0,9.53278
102749.0,8.08408
102756.0,6.97452
102766.0,5.98135
102776.0,5.31652
102790.0,4.77667
102813.0,4.2725
102841.0,3.95092
102869.0,3.77207
102940.0,3.5576
103059.0,3.39436
103069.0,3.44446
103076.0,3.63289
103089.0,4.23224
103092.0,4.26432
103099.0,4.0978
103111.0,3.61056
103122.0,3.47097
103270.0,3.36654
105734.0,3.11482
105777.0,3.11371
105889.0,3.16575
105905.0,3.285
105910.0,3.44741
105914.0,3.74729
105917.0,4.1589
105921.0,4.87112
105925.0,6.04177
105934.0,9.69469
105938.0,10.5726
105940.0,10.702
105943.0,10.3714
105947.0,9.31969
105956.0,5.82544
105959.0,4.79315
105963.0,4.14778
105966.0,3.7367
105969.0,3.46355
105973.0,3.32233
105981.0,3.20799
106020.0,3.11213
112477.0,2.61651
112627.0,2.659
112660.0,2.75082
112674.0,2.89263
112683.0,3.14038
112689.0,3.50793
112693.0,4.04781
112696.0,4.79658
112699.0,5.92742
112702.0,7.39077
