94-Pu-240(n,total fission) ENDF/B-VII.1
1.0E-5,3.09153
1.31241E-5,2.69862
1.70876E-5,2.36503
2.2426E-5,2.06447
2.91987E-5,1.80928
3.83206E-5,1.57934
4.98935E-5,1.38414
6.54808E-5,1.20825
8.52562E-5,1.05894
1.11891E-4,0.924394
1.45682E-4,0.810164
1.91195E-4,0.707268
2.48937E-4,0.619902
3.26707E-4,0.541165
4.25373E-4,0.474349
5.58264E-4,0.414142
7.26861E-4,0.36307
9.53941E-4,0.317042
0.00124203,0.277971
0.00163006,0.242796
0.00212234,0.212959
0.00278538,0.186096
0.00362657,0.163341
0.00475955,0.143116
0.00619694,0.125729
0.00813293,0.110076
0.0105891,0.0969951
0.0138972,0.0850373
0.0180942,0.0750213
0.0234661,0.0665833
0.0253,0.0642595
0.033204,0.0568243
0.0432317,0.0506184
0.0617907,0.0438001
0.0810948,0.0394963
0.105586,0.0363057
0.138572,0.0336813
0.18042,0.0320822
0.2296,0.0315217
0.30133,0.0325037
0.382484,0.0356679
0.450662,0.0402102
0.519873,0.0472401
0.576688,0.0556925
0.628338,0.0666189
0.677922,0.0816635
0.721308,0.100681
0.758496,0.123995
0.791552,0.153445
0.820476,0.189824
0.844855,0.2326
0.867994,0.289713
0.888241,0.360411
0.905595,0.445342
0.920884,0.54931
0.935346,0.687037
0.947948,0.856419
0.958072,1.04484
0.967885,1.29711
0.976976,1.62677
0.98493,2.03596
0.991437,2.50216
0.997945,3.15026
1.00342,3.90295
1.00921,4.99215
1.01447,6.3347
1.02005,8.20734
1.02646,10.9799
1.04303,19.6587
1.04939,22.0121
1.0557,22.8408
1.06129,22.1299
1.0679,19.769
1.08637,10.2413
1.09298,7.55586
1.09877,5.77159
1.10383,4.59201
1.10889,3.69801
1.11467,2.94026
1.12046,2.38505
1.12728,1.90863
1.13451,1.54393
1.14236,1.25537
1.15104,1.02187
1.16137,0.820152
1.17294,0.657865
1.18574,0.528499
1.20021,0.423274
1.21467,0.346393
1.23202,0.278711
1.25186,0.222916
1.27293,0.180076
1.29772,0.143732
1.32458,0.115314
1.3535,0.0930488
1.38553,0.0750808
1.42168,0.0603399
1.45887,0.0492365
1.50226,0.0397233
1.55184,0.031849
1.60969,0.0253123
1.66754,0.020569
1.73571,0.0165095
1.80802,0.0133969
1.89066,0.0108203
1.9733,0.00893622
2.0766,0.00722036
2.1799,0.00597882
2.30386,0.00489308
2.45262,0.0039653
2.6055,0.00328881
2.77904,0.00273992
3.0063,0.0022356
3.2377,0.00188268
3.50214,0.00159878
3.84787,0.00134612
4.27487,0.00114075
4.70186,0.00100426
5.34236,8.7209E-4
6.19636,7.68057E-4
7.26386,6.98782E-4
8.54485,6.62783E-4
9.18535,6.5805E-4
10.4663,6.72726E-4
11.8267,7.28442E-4
12.7337,7.94467E-4
13.6406,8.91053E-4
14.5475,0.0010485
15.2277,0.00123078
15.7946,0.00144554
16.3614,0.00175558
16.9282,0.00222735
17.325,0.00272201
17.6651,0.00332322
17.9675,0.00407059
18.2484,0.00506109
18.4678,0.00613968
18.6828,0.00760819
18.8627,0.00931605
19.0382,0.0116527
19.1962,0.0146434
19.3191,0.0178716
19.4332,0.021987
19.5385,0.0272487
19.6285,0.0334518
19.7162,0.0418667
19.793,0.0522205
19.8632,0.0655521
19.9246,0.0820441
19.9795,0.102905
20.0256,0.127581
20.0662,0.15794
20.0991,0.19188
20.1309,0.237395
20.1572,0.290526
20.1792,0.352896
20.1967,0.422517
20.2132,0.513666
20.2263,0.614344
20.2395,0.751685
20.2531,0.949057
20.2662,1.21333
20.2773,1.51891
20.2892,1.94586
20.302,2.55925
20.3139,3.29441
20.3277,4.39088
20.3428,5.91505
20.3608,8.1603
20.4183,16.5658
20.4389,18.6159
20.4596,19.3665
20.4769,18.8553
20.4986,16.8791
20.5311,12.2641
20.5618,7.7621
20.5794,5.64551
