26-Fe-56(n,&gamma;) ENDF/B-VII.1
12525.3,4.00364E-4
12735.3,3.87901E-4
13441.5,3.854E-4
15412.6,4.06131E-4
16173.3,4.2264E-4
17492.4,4.75632E-4
17635.1,4.98624E-4
17675.4,5.29377E-4
17694.0,5.70104E-4
17704.3,6.18526E-4
17711.5,6.79974E-4
17717.4,7.69516E-4
17721.0,8.57E-4
17724.4,9.84197E-4
17726.8,0.00112747
17728.8,0.00130078
17730.3,0.0015026
17731.3,0.00170972
17732.2,0.00200406
17733.0,0.0023964
17733.6,0.00288707
17734.2,0.00352373
17734.7,0.00431173
17735.3,0.00538735
17735.8,0.0069187
17736.3,0.00891045
17736.8,0.0115644
17737.4,0.0150572
17737.9,0.0195906
17738.5,0.0259339
17739.0,0.0342887
17739.7,0.0463113
17740.4,0.0633782
17741.3,0.0889593
17742.3,0.128599
17745.6,0.271736
17746.9,0.309925
17748.0,0.321464
17749.2,0.309176
17750.3,0.275139
17752.2,0.194534
17753.8,0.122655
17754.8,0.0855901
17755.7,0.0614783
17756.4,0.0448278
17757.0,0.0331377
17757.6,0.0250367
17758.2,0.0187641
17758.7,0.0144192
17759.2,0.0110792
17759.8,0.00854638
17760.3,0.00664876
17760.8,0.0052414
17761.3,0.00420568
17761.9,0.00344708
17762.4,0.00289204
17763.0,0.00240067
17763.8,0.00200773
17764.7,0.00171299
17766.0,0.00146501
17767.7,0.00125301
17770.2,0.00106607
17773.3,9.1652E-4
17776.8,8.11608E-4
17782.4,7.10469E-4
17789.4,6.40078E-4
17799.1,5.88285E-4
17811.2,5.55202E-4
17827.4,5.30845E-4
17870.5,5.08727E-4
17956.7,5.01975E-4
18670.8,5.42964E-4
19790.9,6.48227E-4
20048.0,6.92422E-4
20097.1,7.26189E-4
20120.3,7.81433E-4
20131.8,8.55635E-4
20137.5,9.28701E-4
20142.2,0.00103466
20145.9,0.00118438
20148.3,0.00134468
20149.9,0.00153092
20151.0,0.00171615
20152.0,0.00198784
20152.8,0.00233524
20153.5,0.002738
