E(MeV)  pendfb7/B10:102
8.42299e-09  0.866549486
8.675632e-09  0.853837889
8.935694e-09  0.841320116
9.203714e-09  0.828978426
9.479605e-09  0.81682492
9.76394e-09  0.804842348
1.0056625e-08  0.793042476
1.0358267e-08  0.781408532
1.0668767e-08  0.769951982
1.098877e-08  0.758656504
1.131817e-08  0.747533236
1.1657652e-08  0.73656632
1.2007102e-08  0.725766612
1.2367248e-08  0.715118679
1.2737969e-08  0.704633062
1.3120036e-08  0.694294802
1.3513323e-08  0.684114074
1.3918647e-08  0.674076408
1.4335873e-08  0.664191678
1.4765869e-08  0.65444581
1.5208491e-08  0.644848412
1.5664661e-08  0.635385804
1.6134225e-08  0.626067331
1.6618162e-08  0.616879695
1.7116308e-08  0.607831975
1.7629702e-08  0.598911265
1.8158171e-08  0.590126371
1.8702814e-08  0.581464768
1.926345e-08  0.57293501
1.9841246e-08  0.564524934
2.0436008e-08  0.556242845
2.1048973e-08  0.548076947
2.1679938e-08  0.540035284
2.2330215e-08  0.53210642
2.2999587e-08  0.524298172
2.3689445e-08  0.51659943
2.4399561e-08  0.509017787
2.5268741e-08  0.500176011
2.53e-08  0.499866533
2.6058858e-08  0.492525007
2.684e-08  0.485295151
2.7645049e-08  0.478166678
2.8473738e-08  0.471146636
2.9327791e-08  0.464225044
3.0206922e-08  0.457408756
3.111296e-08  0.450688088
3.2045604e-08  0.444069686
3.3006792e-08  0.437544153
3.3996206e-08  0.431117949
3.5015901e-08  0.424781957
3.6065539e-08  0.418542447
3.7147303e-08  0.412390566
3.8260833e-08  0.40633241
3.9408443e-08  0.400359381
4.0589752e-08  0.394477399
4.1807217e-08  0.388678115
4.3060432e-08  0.382967274
4.4352004e-08  0.377336771
4.5681502e-08  0.371792186
4.705169e-08  0.366325639
4.8462114e-08  0.360942547
4.9915706e-08  0.355635264
5.1411981e-08  0.350409043
5.2954052e-08  0.345256455
5.4541406e-08  0.340182596
5.6177342e-08  0.33518025
5.7861316e-08  0.330254367
5.9596832e-08  0.325397939
6.1383309e-08  0.320615759
6.3224464e-08  0.31590103
6.5119683e-08  0.311258405
6.7072909e-08  0.306681271
6.9083489e-08  0.302174153
7.1155607e-08  0.297730634
7.328857e-08  0.2933551
7.5486817e-08  0.289041316
7.7749613e-08  0.28479354
8.0081665e-08  0.28060572
8.2482197e-08  0.276481989
