E(MeV)  pendfb7/Pu241:102
1e-11  22600.1715
1.02999e-11  22268.6444
1.06087e-11  21942.0802
1.09269e-11  21620.1532
1.12544e-11  21303.1429
1.1592e-11  20990.5997
1.19395e-11  20682.802
1.22976e-11  20379.3551
1.26662e-11  20080.5159
1.30462e-11  19785.8623
1.34372e-11  19495.7588
1.38403e-11  19209.6921
1.42552e-11  18928.0203
1.46827e-11  18650.3127
1.51229e-11  18376.8048
1.55765e-11  18107.1382
1.60434e-11  17841.6312
1.65246e-11  17579.8308
1.70199e-11  17322.0322
1.75304e-11  17067.8725
1.80559e-11  16817.5542
1.85975e-11  16570.7764
1.9155e-11  16327.757
1.97295e-11  16088.1692
2.03209e-11  15852.2128
2.09305e-11  15619.5693
2.15579e-11  15390.5067
2.22045e-11  15164.6431
2.28701e-11  14942.2356
2.35561e-11  14722.9372
2.42622e-11  14507.0081
2.49899e-11  14294.1047
2.5739e-11  14084.4443
2.6511e-11  13877.7419
2.73057e-11  13674.1754
2.81247e-11  13473.4901
2.89678e-11  13275.8432
2.98367e-11  13080.983
3.07311e-11  12889.1
3.16528e-11  12699.9183
3.26017e-11  12513.6082
3.35795e-11  12329.9286
3.45861e-11  12149.0401
3.56235e-11  11970.6986
3.66913e-11  11795.0772
3.77919e-11  11621.9215
3.89247e-11  11451.4109
4.00923e-11  11283.2885
4.12941e-11  11117.7408
4.25327e-11  10954.5086
4.38076e-11  10793.7759
4.51216e-11  10635.2967
4.64742e-11  10479.2334
4.78681e-11  10325.3667
4.9303e-11  10173.8386
5.07818e-11  10024.4474
5.23041e-11  9877.32489
5.38729e-11  9732.27487
5.54878e-11  9589.43355
5.71521e-11  9448.60283
5.88653e-11  9309.91324
6.0631e-11  9173.17135
6.24484e-11  9038.51993
6.43215e-11  8905.75923
6.62496e-11  8775.01672
6.82368e-11  8646.11049
7.02822e-11  8519.17361
7.23903e-11  8394.01698
7.45603e-11  8270.76726
7.67967e-11  8149.24652
7.90987e-11  8029.58081
8.14712e-11  7911.59575
8.39134e-11  7795.40377
8.64304e-11  7680.84357
8.90212e-11  7568.03167
9.16913e-11  7456.80347
9.44399e-11  7347.26608
9.72725e-11  7239.26975
1.00188e-10  7132.91427
1.03193e-10  7028.06999
1.06287e-10  6924.78914
1.09475e-10  6822.96867
1.12756e-10  6722.70902
1.16139e-10  6623.83687
1.1962e-10  6526.49748
1.23208e-10  6430.50499
1.26901e-10  6335.9833
1.30707e-10  6242.79252
1.34626e-10  6151.00017
1.38664e-10  6060.49434
1.4282e-10  5971.3866
1.47104e-10  5883.51592
1.51513e-10  5796.98583
1.56058e-10  5711.66782
1.60736e-10  5627.64561
1.65557e-10  5544.80596
1.7052e-10  5463.21817
1.75635e-10  5382.77187
1.80899e-10  5303.55995
1.86325e-10  5225.45824
1.91911e-10  5148.53163
1.97667e-10  5072.68818
2.03592e-10  4997.99789
2.09699e-10  4924.35173
2.15985e-10  4851.82734
2.22463e-10  4780.31845
2.29132e-10  4709.89241
2.36004e-10  4640.45744
2.43079e-10  4572.06922
2.5037e-10  4504.64039
2.57875e-10  4438.2375
2.6561e-10  4372.76026
2.73572e-10  4308.28045
2.81777e-10  4244.70269
2.90224e-10  4182.08466
2.98929e-10  4120.344
3.0789e-10  4059.53997
3.17125e-10  3999.58306
3.26631e-10  3940.53951
3.36428e-10  3882.31765
3.46513e-10  3824.97941
3.56906e-10  3768.44142
3.67605e-10  3712.75884
3.78631e-10  3657.85278
3.89981e-10  3603.77989
4.01678e-10  3550.45976
4.13719e-10  3497.94748
4.26128e-10  3446.16616
4.38901e-10  3395.16931
4.52066e-10  3344.88261
4.65617e-10  3295.35573
4.79583e-10  3246.51912
4.93959e-10  3198.41964
5.08775e-10  3150.99037
5.24026e-10  3104.27655
5.39744e-10  3058.21296
5.55923e-10  3012.84434
5.72598e-10  2968.10647
5.89762e-10  2924.04331
6.07452e-10  2880.59172
6.25661e-10  2837.79603
6.44427e-10  2795.59409
6.63744e-10  2754.02732
6.83653e-10  2713.03748
7.04146e-10  2672.66417
7.25267e-10  2632.85013
7.47007e-10  2593.63573
7.69413e-10  2554.96458
7.92477e-10  2516.87312
8.16247e-10  2479.30975
8.40715e-10  2442.30953
8.65932e-10  2405.82092
8.91889e-10  2369.88001
9.18641e-10  2334.43486
9.46178e-10  2299.52154
9.74558e-10  2265.08948
1.003771e-09  2231.1729
1.033879e-09  2197.72355
1.064871e-09  2164.77468
1.096811e-09  2132.27882
1.129689e-09  2100.26911
1.163573e-09  2068.69912
1.198452e-09  2037.60019
1.234399e-09  2006.92841
1.271402e-09  1976.7135
1.309537e-09  1946.91265
1.348791e-09  1917.55618
1.389247e-09  1888.60163
1.430892e-09  1860.07699
1.47381e-09  1831.94283
1.517989e-09  1804.22607
1.563521e-09  1776.88759
1.610389e-09  1749.9551
1.658691e-09  1723.38959
1.708412e-09  1697.21715
1.759655e-09  1671.40109
1.812403e-09  1645.96666
1.866765e-09  1620.87764
1.922723e-09  1596.15944
1.980394e-09  1571.77614
2.039758e-09  1547.75257
2.100939e-09  1524.05424
2.163917e-09  1500.70443
2.228823e-09  1477.67018
2.295634e-09  1454.97465
2.36449e-09  1432.58515
2.435368e-09  1410.52407
2.508415e-09  1388.76018
2.583608e-09  1367.31473
2.661102e-09  1346.15751
2.740871e-09  1325.3098
2.823082e-09  1304.74157
2.907706e-09  1284.47361
2.994921e-09  1264.47704
3.084697e-09  1244.77157
3.177221e-09  1225.3295
3.272461e-09  1206.17017
3.370617e-09  1187.26632
3.471655e-09  1168.63688
3.575785e-09  1150.25536
3.682973e-09  1132.1402
3.793441e-09  1114.26572
3.907154e-09  1096.64963
4.024346e-09  1079.26719
4.14498e-09  1062.13558
4.269306e-09  1045.23077
4.397283e-09  1028.56947
4.529177e-09  1012.12832
4.664944e-09  995.923656
4.804866e-09  979.932744
4.948897e-09  964.171545
5.097336e-09  948.61791
5.250134e-09  933.287409
5.407609e-09  918.158504
5.569708e-09  903.246471
5.736768e-09  888.530265
5.908733e-09  874.024789
6.085962e-09  859.709617
6.268395e-09  845.59916
6.456412e-09  831.673657
6.649949e-09  817.94721
6.849411e-09  804.400524
7.054729e-09  791.048599
7.266331e-09  777.870315
7.484147e-09  764.88033
7.70863e-09  752.060599
7.939704e-09  739.424313
8.17785e-09  726.953913
8.42299e-09  714.662195
8.675632e-09  702.532271
8.935694e-09  690.576581
9.203714e-09  678.778747
9.479605e-09  667.15093
9.76394e-09  655.677218
1.0056625e-08  644.369501
1.0358267e-08  633.212337
1.0668767e-08  622.217379
1.098877e-08  611.369631
1.131817e-08  600.680475
1.1657652e-08  590.135362
1.2007102e-08  579.745425
1.2367248e-08  569.496487
1.2737969e-08  559.399375
1.3120036e-08  549.44033
1.3513323e-08  539.629811
1.3918647e-08  529.954538
1.4335873e-08  520.424737
1.4765869e-08  511.02759
1.5208491e-08  501.773186
1.5664661e-08  492.649222
1.6066415e-08  484.938506
1.6478474e-08  477.326293
1.69011e-08  469.812048
1.7334566e-08  462.395182
1.7779149e-08  455.075184
1.8235134e-08  447.851543
1.8702814e-08  440.723758
1.9182488e-08  433.691374
1.9674465e-08  426.753923
2.017906e-08  419.910995
2.0696596e-08  413.162212
2.1227406e-08  406.507201
2.1771829e-08  399.945652
2.2330215e-08  393.477248
2.2902922e-08  387.1017
2.3490318e-08  380.818716
2.4092778e-08  374.628029
2.471069e-08  368.529342
2.5268741e-08  363.227263
2.53e-08  362.935824
2.5948874e-08  357.014055
2.6614389e-08  351.183639
2.7296974e-08  345.444472
2.7997064e-08  339.796519
2.871511e-08  334.239806
2.9451572e-08  328.774394
3.0206922e-08  323.400365
3.0981645e-08  318.117815
3.1776237e-08  312.92686
3.2591208e-08  307.827643
3.3427081e-08  302.820356
3.4284391e-08  297.905243
3.516369e-08  293.082597
3.6065539e-08  288.352739
