Batch-based tally statistics for PINSPEC
Tally name: total
Tally type: Flux
Tally Domain: Geometry
Logarithmically spaced bins with width = 0.001800
# batches: 10	, # bins: 5000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0133383139, 0.0013071674, 0.0000000053, 0.0000727532, 0.0556571220
0.0133937113, 0.0013649733, 0.0000000078, 0.0000885607, 0.0648808702
0.0134493388, 0.0014746941, 0.0000000061, 0.0000780062, 0.0528965184
0.0135051973, 0.0014432848, 0.0000000058, 0.0000764819, 0.0529915198
0.0135612878, 0.0013074412, 0.0000000111, 0.0001054354, 0.0806425353
0.0136176113, 0.0015017242, 0.0000000034, 0.0000582150, 0.0387654252
0.0136741687, 0.0015580957, 0.0000000069, 0.0000829990, 0.0532695168
0.0137309610, 0.0013787208, 0.0000000054, 0.0000735236, 0.0533274076
0.0137879891, 0.0014652216, 0.0000000037, 0.0000607830, 0.0414838379
0.0138452542, 0.0016079241, 0.0000000031, 0.0000559927, 0.0348229916
0.0139027570, 0.0014443560, 0.0000000044, 0.0000663249, 0.0459200785
0.0139604987, 0.0014682765, 0.0000000061, 0.0000778320, 0.0530091044
0.0140184802, 0.0016866311, 0.0000000071, 0.0000840710, 0.0498455064
0.0140767025, 0.0016564847, 0.0000000057, 0.0000756509, 0.0456695285
0.0141351666, 0.0015164831, 0.0000000034, 0.0000584873, 0.0385677031
0.0141938736, 0.0015954425, 0.0000000024, 0.0000489173, 0.0306606376
0.0142528243, 0.0016092100, 0.0000000112, 0.0001056541, 0.0656558777
0.0143120199, 0.0016724748, 0.0000000058, 0.0000760996, 0.0455011862
0.0143714614, 0.0014298150, 0.0000000101, 0.0001002523, 0.0701155436
0.0144311497, 0.0016615267, 0.0000000040, 0.0000633754, 0.0381428472
0.0144910860, 0.0016987171, 0.0000000076, 0.0000873645, 0.0514297038
0.0145512711, 0.0016203676, 0.0000000047, 0.0000684901, 0.0422682782
0.0146117062, 0.0016507329, 0.0000000079, 0.0000889388, 0.0538783908
0.0146723924, 0.0018068839, 0.0000000061, 0.0000778392, 0.0430792441
0.0147333305, 0.0016717766, 0.0000000073, 0.0000855960, 0.0512006253
0.0147945218, 0.0016498945, 0.0000000067, 0.0000819144, 0.0496482477
0.0148559672, 0.0015837409, 0.0000000041, 0.0000643181, 0.0406114813
0.0149176678, 0.0017718990, 0.0000000037, 0.0000612300, 0.0345561585
0.0149796247, 0.0016711510, 0.0000000073, 0.0000855199, 0.0511742459
0.0150418389, 0.0018090269, 0.0000000088, 0.0000937297, 0.0518122289
0.0151043115, 0.0017478145, 0.0000000117, 0.0001082910, 0.0619579685
0.0151670435, 0.0018352047, 0.0000000060, 0.0000776252, 0.0422978308
0.0152300361, 0.0018420698, 0.0000000024, 0.0000492806, 0.0267528324
0.0152932903, 0.0016539843, 0.0000000050, 0.0000706564, 0.0427188989
0.0153568072, 0.0018338562, 0.0000000060, 0.0000775045, 0.0422631445
0.0154205879, 0.0017548681, 0.0000000073, 0.0000856816, 0.0488250817
0.0154846336, 0.0017160005, 0.0000000081, 0.0000901930, 0.0525600336
0.0155489452, 0.0019192982, 0.0000000140, 0.0001183387, 0.0616572878
0.0156135239, 0.0019008246, 0.0000000030, 0.0000546716, 0.0287620479
0.0156783708, 0.0018055355, 0.0000000094, 0.0000971975, 0.0538330771
0.0157434871, 0.0018657184, 0.0000000043, 0.0000655001, 0.0351071815
0.0158088738, 0.0019811298, 0.0000000076, 0.0000873544, 0.0440932005
0.0158745321, 0.0017021924, 0.0000000066, 0.0000813177, 0.0477723259
0.0159404630, 0.0017506246, 0.0000000051, 0.0000716356, 0.0409200052
0.0160066678, 0.0019120090, 0.0000000092, 0.0000957259, 0.0500656006
0.0160731476, 0.0018849102, 0.0000000077, 0.0000879989, 0.0466859935
0.0161399035, 0.0017147792, 0.0000000041, 0.0000639529, 0.0372951212
0.0162069366, 0.0019794413, 0.0000000033, 0.0000572253, 0.0289098402
0.0162742481, 0.0021495499, 0.0000000065, 0.0000805993, 0.0374959119
0.0163418392, 0.0019145080, 0.0000000037, 0.0000609668, 0.0318446351
0.0164097110, 0.0019803402, 0.0000000050, 0.0000710507, 0.0358780044
0.0164778647, 0.0018959750, 0.0000000074, 0.0000860559, 0.0453887411
0.0165463015, 0.0020436041, 0.0000000123, 0.0001107660, 0.0542013145
0.0166150225, 0.0020014842, 0.0000000143, 0.0001195017, 0.0597065385
0.0166840289, 0.0019443816, 0.0000000113, 0.0001064890, 0.0547675302
0.0167533219, 0.0020937558, 0.0000000062, 0.0000787296, 0.0376021066
0.0168229027, 0.0018999546, 0.0000000065, 0.0000806016, 0.0424229233
0.0168927725, 0.0018642147, 0.0000000050, 0.0000706045, 0.0378735629
0.0169629324, 0.0020587128, 0.0000000086, 0.0000925129, 0.0449372546
0.0170333838, 0.0021277376, 0.0000000119, 0.0001088853, 0.0511742100
0.0171041278, 0.0019234043, 0.0000000046, 0.0000681452, 0.0354294590
0.0171751656, 0.0020095089, 0.0000000058, 0.0000764245, 0.0380314165
0.0172464984, 0.0023301953, 0.0000000070, 0.0000837105, 0.0359242509
0.0173181275, 0.0019735388, 0.0000000125, 0.0001119133, 0.0567069398
0.0173900541, 0.0020822530, 0.0000000086, 0.0000924703, 0.0444087871
0.0174622794, 0.0022295932, 0.0000000120, 0.0001093233, 0.0490328408
0.0175348047, 0.0021327442, 0.0000000130, 0.0001139104, 0.0534102356
0.0176076312, 0.0020351958, 0.0000000062, 0.0000790151, 0.0388243177
0.0176807601, 0.0022687184, 0.0000000038, 0.0000617270, 0.0272078935
0.0177541928, 0.0024160510, 0.0000000139, 0.0001179482, 0.0488186009
0.0178279305, 0.0020456460, 0.0000000024, 0.0000486268, 0.0237708868
0.0179019744, 0.0020466442, 0.0000000084, 0.0000919199, 0.0449125045
0.0179763259, 0.0023338188, 0.0000000258, 0.0001605746, 0.0688033684
0.0180509861, 0.0021227717, 0.0000000096, 0.0000978687, 0.0461042007
0.0181259565, 0.0020736356, 0.0000000157, 0.0001253436, 0.0604462807
0.0182012382, 0.0022986048, 0.0000000113, 0.0001062665, 0.0462308636
