Batch-based tally statistics for PINSPEC
Tally type: Flux
Tally Domain: Region
Logarithmically spaced bins
# batches: 20	, # bins: 2000
Bin center, Mu, Variance, Std Dev, Rel Err
0.0205473505, 0.0003215512, 0.0000001272, 0.0003567057, 1.1093280118
0.0207613614, 0.0005385813, 0.0000001493, 0.0003864483, 0.7175302068
0.0209776014, 0.0006442000, 0.0000001891, 0.0004348391, 0.6750063404
0.0211960936, 0.0005886341, 0.0000001799, 0.0004241517, 0.7205693174
0.0214168615, 0.0005679692, 0.0000001742, 0.0004173664, 0.7348398326
0.0216399288, 0.0004982224, 0.0000001349, 0.0003672802, 0.7371812485
0.0218653195, 0.0005620379, 0.0000001737, 0.0004167931, 0.7415747890
0.0220930578, 0.0005906184, 0.0000001258, 0.0003546501, 0.6004724017
0.0223231680, 0.0005348166, 0.0000001577, 0.0003970863, 0.7424718199
0.0225556750, 0.0005493647, 0.0000001069, 0.0003270115, 0.5952538955
0.0227906036, 0.0006553498, 0.0000000959, 0.0003097156, 0.4725958396
0.0230279792, 0.0005643663, 0.0000001513, 0.0003890101, 0.6892865006
0.0232678271, 0.0006777961, 0.0000002744, 0.0005237857, 0.7727777322
0.0235101732, 0.0005935464, 0.0000001509, 0.0003885187, 0.6545716874
0.0237550434, 0.0006081953, 0.0000001222, 0.0003495963, 0.5748092574
0.0240024641, 0.0007219641, 0.0000001561, 0.0003951407, 0.5473135470
0.0242524618, 0.0005808458, 0.0000001403, 0.0003746016, 0.6449243511
0.0245050633, 0.0006096669, 0.0000001952, 0.0004418035, 0.7246637122
0.0247602958, 0.0007946402, 0.0000002062, 0.0004540796, 0.5714279408
0.0250181867, 0.0007596895, 0.0000003314, 0.0005756501, 0.7577439684
0.0252787636, 0.0006680580, 0.0000002204, 0.0004695128, 0.7028024037
0.0255420546, 0.0008819643, 0.0000001692, 0.0004112974, 0.4663424106
0.0258080879, 0.0006264219, 0.0000002724, 0.0005218991, 0.8331431733
0.0260768920, 0.0007123799, 0.0000002233, 0.0004725457, 0.6633337605
0.0263484959, 0.0006702399, 0.0000002219, 0.0004710184, 0.7027608758
0.0266229287, 0.0008562431, 0.0000002281, 0.0004775836, 0.5577663211
0.0269002198, 0.0007855674, 0.0000002193, 0.0004682960, 0.5961244480
0.0271803990, 0.0007575942, 0.0000002229, 0.0004721403, 0.6232100331
0.0274634965, 0.0009441913, 0.0000001973, 0.0004441390, 0.4703908661
0.0277495426, 0.0008517904, 0.0000002430, 0.0004929450, 0.5787163274
0.0280385679, 0.0007378181, 0.0000001872, 0.0004326366, 0.5863730551
0.0283306037, 0.0009034715, 0.0000002819, 0.0005309854, 0.5877168056
0.0286256811, 0.0007749949, 0.0000001491, 0.0003861214, 0.4982244817
0.0289238319, 0.0008474051, 0.0000001772, 0.0004209767, 0.4967833182
0.0292250881, 0.0009486948, 0.0000002736, 0.0005230354, 0.5513210934
0.0295294820, 0.0008631866, 0.0000004885, 0.0006989381, 0.8097184156
0.0298370463, 0.0008494491, 0.0000002858, 0.0005346198, 0.6293723929
0.0301478141, 0.0008933453, 0.0000003645, 0.0006037706, 0.6758536366
0.0304618187, 0.0008867207, 0.0000001460, 0.0003820374, 0.4308430313
0.0307790937, 0.0010821126, 0.0000002427, 0.0004926565, 0.4552728706
0.0310996734, 0.0008087897, 0.0000002970, 0.0005449819, 0.6738239215
0.0314235921, 0.0009826091, 0.0000002771, 0.0005264277, 0.5357448304
0.0317508845, 0.0008026927, 0.0000001851, 0.0004301847, 0.5359270186
0.0320815859, 0.0009625469, 0.0000002518, 0.0005017537, 0.5212771198
0.0324157316, 0.0010428196, 0.0000003075, 0.0005545056, 0.5317368516
0.0327533577, 0.0008844213, 0.0000002310, 0.0004806540, 0.5434672333
0.0330945003, 0.0009866622, 0.0000001297, 0.0003601245, 0.3649927404
0.0334391961, 0.0011543016, 0.0000003510, 0.0005924107, 0.5132200106
0.0337874821, 0.0008935565, 0.0000002371, 0.0004869182, 0.5449215763
0.0341393956, 0.0010688232, 0.0000002924, 0.0005407492, 0.5059294845
0.0344949745, 0.0010770103, 0.0000003229, 0.0005682048, 0.5275760356
0.0348542569, 0.0011212627, 0.0000003439, 0.0005863932, 0.5229757817
0.0352172815, 0.0011003433, 0.0000003028, 0.0005503068, 0.5001227992
0.0355840871, 0.0012394387, 0.0000003650, 0.0006041488, 0.4874373610
0.0359547132, 0.0011968143, 0.0000002017, 0.0004491294, 0.3752707512
0.0363291995, 0.0013732162, 0.0000003167, 0.0005627551, 0.4098080613
0.0367075863, 0.0013739594, 0.0000003536, 0.0005946726, 0.4328167264
0.0370899142, 0.0012508558, 0.0000004998, 0.0007069588, 0.5651800909
0.0374762242, 0.0011419999, 0.0000002478, 0.0004978325, 0.4359304378
0.0378665578, 0.0011647808, 0.0000003705, 0.0006086598, 0.5225530903
0.0382609570, 0.0013050036, 0.0000004083, 0.0006390078, 0.4896598119
0.0386594640, 0.0014820478, 0.0000007103, 0.0008427962, 0.5686700370
0.0390621217, 0.0013066498, 0.0000002544, 0.0005044038, 0.3860282943
0.0394689732, 0.0012490620, 0.0000004135, 0.0006430667, 0.5148397066
0.0398800623, 0.0012058460, 0.0000006046, 0.0007775532, 0.6448196132
0.0402954331, 0.0013686402, 0.0000003403, 0.0005833645, 0.4262365678
0.0407151302, 0.0011487125, 0.0000004763, 0.0006901266, 0.6007826921
0.0411391987, 0.0015694036, 0.0000004524, 0.0006725749, 0.4285544654
0.0415676840, 0.0014895567, 0.0000003086, 0.0005555298, 0.3729497706
0.0420006323, 0.0016967127, 0.0000004955, 0.0007039314, 0.4148795833
0.0424380899, 0.0014691787, 0.0000002955, 0.0005436131, 0.3700115364
0.0428801038, 0.0014778984, 0.0000003495, 0.0005911665, 0.4000048288
0.0433267216, 0.0011979497, 0.0000003279, 0.0005726090, 0.4779908398
0.0437779911, 0.0018349162, 0.0000003887, 0.0006234274, 0.3397579409
0.0442339608, 0.0017771837, 0.0000007457, 0.0008635555, 0.4859123198
0.0446946796, 0.0015114086, 0.0000006251, 0.0007906519, 0.5231225042
0.0451601971, 0.0017573024, 0.0000003922, 0.0006262230, 0.3563546923
0.0456305631, 0.0013801699, 0.0000002403, 0.0004902057, 0.3551778325
0.0461058283, 0.0018712277, 0.0000004596, 0.0006779691, 0.3623124538
0.0465860436, 0.0016268813, 0.0000005094, 0.0007137448, 0.4387196659
0.0470712605, 0.0018289399, 0.0000004821, 0.0006943275, 0.3796338632
0.0475615313, 0.0018824062, 0.0000009970, 0.0009985074, 0.5304420340
0.0480569084, 0.0018614121, 0.0000004868, 0.0006977123, 0.3748295724
0.0485574452, 0.0018401505, 0.0000004913, 0.0007009470, 0.3809183125
0.0490631953, 0.0015952189, 0.0000003915, 0.0006256675, 0.3922141833
0.0495742130, 0.0018800405, 0.0000002947, 0.0005428559, 0.2887469087
0.0500905532, 0.0019035311, 0.0000004564, 0.0006755487, 0.3548923925
0.0506122714, 0.0020989879, 0.0000004562, 0.0006754365, 0.3217914922
0.0511394236, 0.0020930576, 0.0000008404, 0.0009167162, 0.4379794263
0.0516720663, 0.0018321569, 0.0000004377, 0.0006615897, 0.3610988207
0.0522102567, 0.0018036784, 0.0000004940, 0.0007028627, 0.3896829402
0.0527540526, 0.0018574943, 0.0000003734, 0.0006110558, 0.3289678130
0.0533035125, 0.0019109128, 0.0000006759, 0.0008221174, 0.4302223782
0.0538586953, 0.0021444074, 0.0000006797, 0.0008244659, 0.3844726047
0.0544196605, 0.0017483178, 0.0000004985, 0.0007060343, 0.4038363582
0.0549864685, 0.0021699412, 0.0000005378, 0.0007333656, 0.3379656686
0.0555591801, 0.0022914431, 0.0000004354, 0.0006598141, 0.2879469599
0.0561378568, 0.0021876154, 0.0000005052, 0.0007107398, 0.3248924934
0.0567225607, 0.0023541642, 0.0000003758, 0.0006130157, 0.2603962973
0.0573133545, 0.0019795447, 0.0000003564, 0.0005970228, 0.3015960358
0.0579103018, 0.0022669869, 0.0000003979, 0.0006308053, 0.2782571359
0.0585134666, 0.0019814042, 0.0000006345, 0.0007965287, 0.4020021111
0.0591229136, 0.0022924339, 0.0000004859, 0.0006970683, 0.3040734543
0.0597387084, 0.0019920095, 0.0000005411, 0.0007356011, 0.3692759018
0.0603609169, 0.0024761504, 0.0000007601, 0.0008718171, 0.3520856849
0.0609896061, 0.0021831319, 0.0000005718, 0.0007561810, 0.3463744134
0.0616248434, 0.0020708858, 0.0000004299, 0.0006556978, 0.3166267457
0.0622666969, 0.0026620976, 0.0000007951, 0.0008916608, 0.3349467068
0.0629152358, 0.0023383596, 0.0000009240, 0.0009612526, 0.4110798896
0.0635705294, 0.0026727541, 0.0000007716, 0.0008784037, 0.3286511448
