94-Pu-240(n,&gamma;) ENDF/B-VII.1
41.2888,113.101
41.3086,140.795
41.3266,176.023
41.3438,221.921
41.3609,284.097
41.3762,357.01
41.3937,467.037
41.4113,610.67
41.4301,807.176
41.4512,1087.22
41.479,1552.0
41.5567,3100.16
41.5883,3548.89
41.6174,3710.68
41.6198,3711.56
41.6477,3582.2
41.6786,3172.44
41.7343,2069.44
41.7706,1373.67
41.7944,1003.65
41.8164,732.213
41.834,562.465
41.8515,430.063
41.8685,332.13
41.8861,256.008
41.9037,199.874
41.9213,158.798
41.9398,127.494
41.9582,104.8
41.9793,86.0897
42.001,72.2183
42.0303,58.8998
42.0655,47.8386
42.1036,39.3719
42.1475,32.3121
42.1988,26.3509
42.2589,21.3281
42.3293,17.1381
42.3996,14.1097
42.4919,11.2481
42.5872,9.14243
42.6897,7.49139
42.8099,6.08544
42.9506,4.90553
43.1001,4.0051
43.2847,3.21216
43.4957,2.57383
43.7243,2.08462
43.991,1.68125
44.3046,1.34868
44.6534,1.09058
44.9911,0.910403
45.4342,0.742305
45.8617,0.62423
46.3624,0.523548
46.9465,0.442273
47.4471,0.387712
48.1147,0.335002
48.9491,0.289582
49.9504,0.253473
50.6179,0.237896
51.805,0.221425
52.9922,0.216142
54.1793,0.220576
55.6633,0.240962
56.8504,0.27096
58.0376,0.31724
59.0764,0.38122
59.8183,0.447572
60.4904,0.527983
61.1159,0.632623
61.7413,0.779307
62.2626,0.952791
62.7317,1.17054
63.1486,1.44296
63.5135,1.77612
63.8367,2.18469
64.1285,2.69851
64.3905,3.34183
64.6348,4.18768
64.827,5.11333
65.0146,6.36217
65.1814,7.91603
65.33,9.85332
65.4577,12.1712
65.5723,15.0547
65.6818,18.9215
65.7756,23.612
65.859,29.4916
65.9289,36.3902
65.9909,44.9371
66.044,55.1953
66.0894,67.4661
66.1259,81.1968
66.1624,100.579
66.1947,125.366
66.2228,156.1
66.2478,193.982
66.2697,238.431
66.2948,306.507
66.3198,398.47
66.3438,514.694
66.3693,674.559
66.3977,901.394
66.4321,1246.38
66.5001,2082.1
66.5533,2685.69
66.5916,2953.2
66.6196,3015.1
66.6517,2935.06
66.6888,2660.87
66.7461,1996.59
66.8076,1245.14
66.8441,882.572
66.8723,661.901
66.8996,495.349
66.9254,376.391
66.9489,294.793
66.9718,234.498
66.9953,188.273
67.0213,150.558
67.0495,121.315
67.0808,98.2832
67.112,81.7811
67.1464,68.4827
67.1933,55.4682
67.2496,44.5529
67.308,36.4887
67.381,29.2598
67.454,24.0435
67.5452,19.3196
