92-U-234(n,elastic) ENDF/B-VII.1
78.337,14.2659
78.5865,12.6442
78.8949,11.4549
79.3121,10.4853
80.0573,9.50931
81.1691,8.71709
83.9947,7.59202
87.5748,6.2538
89.2342,5.3162
90.3615,4.37649
91.1404,3.46631
91.7331,2.55
92.2072,1.64052
92.7067,0.57831
92.821,0.366372
92.893,0.255764
92.9459,0.191799
92.9861,0.156344
93.02,0.137481
93.0496,0.130849
93.0539,0.130746
93.0793,0.135051
93.1039,0.148072
93.1301,0.172874
93.1555,0.209255
93.1809,0.259563
93.2105,0.338611
93.2401,0.443255
93.2698,0.578092
93.3036,0.776319
93.3375,1.03144
93.3724,1.36774
93.4095,1.82567
93.4476,2.43483
93.4857,3.22575
93.5238,4.25751
93.5619,5.61674
93.5957,7.20618
93.6296,9.30599
93.6592,11.7446
93.6889,15.005
93.7143,18.7491
93.7397,23.7638
93.7608,29.3069
93.782,36.5612
93.8032,46.1261
93.8243,58.7887
93.8455,75.5611
93.865,95.7068
93.884,120.961
93.9069,160.36
93.9276,206.716
93.9513,274.792
93.975,361.99
94.0021,488.754
94.0318,664.053
94.0699,947.074
94.1257,1457.41
94.2053,2200.96
94.2494,2485.22
94.293,2598.16
94.2954,2598.81
94.3408,2502.43
94.3916,2183.64
94.5186,1050.99
94.5567,774.689
94.5914,575.386
94.6219,440.362
94.6498,345.502
94.6765,276.498
94.707,218.119
94.7375,176.281
94.7694,145.138
94.8065,120.111
94.8488,100.74
94.9017,84.5871
94.9673,71.2768
95.052,59.7854
95.1536,50.472
95.2869,42.2692
95.452,35.5703
95.6447,30.3806
95.8987,25.8726
96.2373,22.0446
96.5929,19.4394
97.1348,16.8829
97.9476,14.5973
99.0313,12.8193
100.665,11.2359
104.263,8.69563
104.985,7.75892
105.286,7.05366
105.501,6.21957
105.645,5.59686
105.661,5.588
105.693,5.68359
105.731,6.10467
105.759,6.76157
105.787,7.8357
105.815,9.45252
105.844,11.7358
105.872,14.7876
105.905,19.3911
105.946,26.6598
106.067,51.3629
106.117,58.2805
106.165,60.5975
106.214,58.1991
106.279,49.4651
106.388,31.0303
106.441,24.2366
106.488,19.8575
106.535,16.8943
106.582,14.9749
106.65,13.345
106.718,12.4183
106.853,11.3756
107.155,10.1835
107.727,8.97821
109.004,6.80806
109.481,5.62254
109.797,4.51813
110.024,3.4716
110.27,2.0577
110.34,1.67693
110.382,1.52447
110.41,1.4995
110.435,1.57164
110.456,1.73923
110.473,1.97522
110.492,2.372
110.508,2.91243
110.525,3.67422
110.542,4.72416
110.559,6.14539
110.576,8.0399
110.592,10.5308
110.61,13.9175
110.629,18.6536
110.647,24.6766
110.665,32.2727
110.687,43.8812
110.71,59.8749
110.732,79.5793
110.758,107.372
110.788,150.237
110.825,213.905
110.872,314.505
110.969,540.045
111.017,620.379
111.065,655.093
111.073,655.786
111.114,636.942
111.154,584.839
111.221,450.783
111.301,280.517
111.346,202.495
111.383,151.201
111.418,115.859
111.447,92.9842
111.477,75.7653
111.511,61.2706
111.544,51.3863
111.586,43.1053
111.629,37.698
111.685,33.0271
111.755,29.2982
111.861,25.6802
112.021,22.313
112.242,19.4979
112.55,17.1896
112.931,15.4986
113.446,14.1259
114.367,12.7624
115.745,11.7067
118.599,10.6452
125.023,9.57235
138.152,8.02038
141.082,7.38946
143.078,6.57998
144.043,5.83378
144.585,5.126
144.959,4.36814
145.23,3.55826
145.528,2.35755
145.58,2.29032
145.609,2.37288
145.632,2.53537
145.657,2.88687
145.68,3.38256
145.701,4.07519
145.723,5.12171
145.742,6.3982
145.765,8.32715
145.787,10.9044
145.809,14.278
145.831,18.6083
145.856,24.7464
145.883,33.373
145.911,44.7756
145.945,61.5646
145.986,87.7167
146.045,133.773
146.151,222.338
146.208,255.273
146.262,268.208
146.27,268.313
146.319,258.97
146.38,226.817
146.531,113.5
146.583,82.2101
146.623,63.1373
146.66,49.8424
146.697,39.8924
146.734,32.6582
146.777,26.8099
146.822,22.8341
146.871,19.9718
146.94,17.5233
147.038,15.5047
147.166,13.9197
147.413,12.1119
147.777,10.6162
148.221,9.52142
149.493,7.53857
150.316,6.14633
150.7,5.21077
151.019,4.1275
151.238,3.12113
151.392,2.36734
