94-Pu-241(n,elastic) ENDF/B-VII.1
39.8405,12.8185
39.9591,16.9373
40.0113,17.7253
40.0231,17.7638
40.094,17.2183
40.2129,15.5171
40.3317,14.4557
40.5324,13.7135
40.6169,13.6405
41.1661,14.2559
42.4055,12.9379
42.6592,12.6156
42.9644,13.0724
43.353,12.2374
43.4779,12.8238
43.5911,13.3671
43.606,13.3714
43.9244,12.7014
45.7026,11.0617
46.1363,10.1901
46.3813,9.53037
46.4765,9.89138
46.673,12.1796
46.7638,12.5435
47.2068,10.944
47.4916,10.1491
47.6996,9.4194
47.7248,9.39654
47.8118,9.58333
47.8849,10.2313
47.9593,11.5337
48.0727,14.6427
48.1837,17.6912
48.2845,19.1275
48.3349,19.2904
48.456,18.7468
48.8341,16.0672
49.2123,14.6689
50.1096,12.9867
50.1965,12.9308
50.5961,13.7198
51.7255,12.6672
52.1881,12.421
52.392,12.5142
54.1875,11.6442
54.3855,11.6959
55.8065,11.0378
55.9908,11.0819
57.4368,10.0496
58.0928,9.17504
58.2751,9.55873
58.4602,10.1181
58.5514,10.2169
59.0143,10.0216
59.2255,10.4421
59.5035,11.8082
59.5591,11.8966
59.6813,11.6497
60.0218,9.49114
60.2302,8.06376
60.265,7.95734
60.3181,8.08629
60.358,8.55263
60.3981,9.45826
60.445,11.1279
60.5858,17.7756
60.6346,19.1568
60.6868,19.5885
60.7551,18.8859
60.9307,15.7912
61.1395,13.6309
61.4434,11.5822
61.7915,9.98184
61.9397,9.81295
62.0428,10.183
62.1495,11.1129
62.381,13.9162
62.5184,14.8374
62.6233,15.0073
63.8493,12.3218
64.4265,11.4031
64.6574,11.1002
65.1638,9.60336
65.3878,8.82576
65.405,8.81398
65.474,9.00514
65.5398,9.74454
65.601,11.0865
65.7648,16.3167
65.8172,17.401
65.8806,17.8264
65.984,16.8693
66.2195,13.2349
66.3276,12.1181
66.3725,11.9191
66.4399,12.1881
66.5027,13.2527
66.6725,17.9873
66.7452,18.7611
66.7565,18.7666
66.8575,17.8902
67.0461,15.5367
67.2167,14.3619
67.9344,11.6913
68.0832,11.1963
68.147,11.4922
68.2365,12.7692
68.334,14.421
68.419,14.9129
68.5678,13.9289
68.8339,12.3173
69.0377,11.4955
69.1197,11.8881
69.2332,13.6719
69.3152,14.832
69.3704,15.063
69.4887,14.3813
69.6148,13.4808
69.8167,12.8032
70.6472,11.8009
71.6273,10.8788
71.7331,10.8934
72.0361,10.7602
72.1819,11.192
72.4085,12.5394
72.5016,12.6974
73.1088,11.2782
73.7382,10.1595
73.8565,10.4603
74.0256,11.343
74.0525,11.3737
74.474,10.262
75.0838,9.02512
75.3435,8.1111
75.5166,7.35721
75.5444,7.33707
75.6031,7.64206
75.6495,8.42495
75.6959,9.87445
75.75,12.4516
75.8694,19.2844
75.9228,21.1161
75.9679,21.523
76.0297,20.5641
76.1905,15.4556
76.2647,13.7818
76.3883,12.0814
76.7452,9.23395
76.7997,9.06427
76.8406,9.26802
76.8788,9.91769
76.9156,11.142
76.9525,13.0742
76.9988,16.4992
77.1035,25.5853
77.1515,28.2039
77.1885,28.8754
77.2337,28.0989
77.3047,24.5378
77.4048,19.0092
77.4734,16.5631
77.5439,15.1079
77.6614,13.8909
77.8869,12.8146
78.7328,10.7573
79.3555,9.21136
79.5846,8.32651
79.8416,6.89791
79.8695,6.83878
79.9113,6.95051
79.9532,7.44897
79.995,8.51022
80.0369,10.2638
80.0834,13.0222
80.1975,21.0414
80.2456,23.2889
80.2935,24.1103
80.3423,23.5157
80.4216,20.6189
80.5356,16.0898
80.6226,13.845
80.7443,12.0122
80.9492,10.1975
81.0651,9.71357
81.127,9.92287
81.1733,10.4769
81.2259,11.6496
81.2885,13.8475
81.4301,20.1308
81.4814,21.7168
81.5563,22.5846
81.608,22.2601
81.8779,17.3719
82.0754,15.2823
82.8305,10.4199
82.858,10.3794
82.9131,10.7215
82.9544,11.5831
82.9957,13.1986
83.0369,15.708
83.0901,20.1768
83.1942,29.943
83.2484,33.0298
83.2931,33.6594
83.3406,32.5017
83.436,26.9748
83.5317,21.5353
83.6045,18.8361
83.6794,17.1206
83.8315,15.2583
84.0767,13.819
84.6671,11.5301
85.1395,9.16123
85.1758,9.1144
85.2485,9.35827
85.3266,10.2051
85.6237,14.8009
85.7433,16.268
85.845,16.5846
86.032,15.2419
86.6043,10.8627
86.6197,10.8256
86.6661,10.9813
86.7125,11.7661
86.7589,13.4985
86.8002,16.0279
86.8516,20.4735
86.9675,32.1759
87.0241,35.6563
87.0711,36.3497
87.1245,34.8608
87.2989,24.1898
87.3665,21.2665
87.4669,18.6487
87.564,17.2279
87.6912,16.2215
87.7548,16.0487
87.874,16.4182
88.0869,17.8146
88.1043,17.8323
88.2371,17.312
88.4968,15.5563
88.8215,14.6281
88.9514,14.5484
89.5253,15.1816
89.8887,14.7337
90.4344,13.2612
90.5954,13.6946
90.8244,15.0764
90.9126,15.1838
91.5844,13.896
92.3711,13.0393
92.6744,13.3609
93.588,12.1729
93.9332,12.6746
95.1883,11.3686
95.602,11.9497
95.8551,11.654
96.0595,12.0813
96.1906,12.3082
96.8597,11.5398
97.3331,10.4431
97.6693,10.0272
97.9618,8.95959
97.9784,8.958
98.0415,9.20325
98.1012,9.98652
98.1592,11.4678
98.2153,13.6568
98.3819,22.0135
98.4476,24.0609
98.5007,24.6059
98.573,23.9064
98.8118,18.0744
98.9459,15.9877
99.1644,14.0433
99.3382,13.0395
99.5142,12.5547
99.6625,12.9386
99.9359,14.5289
100.051,14.6988
100.817,13.5659
101.152,12.7629
101.296,12.4175
101.406,12.8249
101.623,14.6673
101.688,14.7852
102.071,13.563
102.254,13.4563
102.594,13.5208
102.959,13.2603
103.375,12.3895
103.469,12.7208
103.701,15.0407
103.775,15.2593
104.192,13.7217
104.929,12.9344
107.19,11.6169
107.706,10.8997
107.833,11.2847
108.069,13.2087
108.133,13.3737
108.264,13.02
108.563,11.8025
108.831,11.3578
109.017,11.7998
109.308,13.2064
109.388,13.3122
110.622,12.4932
112.622,11.3708
112.969,10.9561
113.154,11.3906
113.363,12.1173
113.423,12.1408
114.323,11.2905
114.702,11.0686
115.066,11.3512
115.483,11.0383
115.684,11.0722
116.797,9.99089
116.934,10.1831
117.062,10.8993
117.345,13.6358
117.475,14.0606
118.077,12.2067
118.823,11.2603
118.902,11.2415
119.099,11.2705
120.25,10.3292
120.422,10.338
121.115,9.79118
121.63,8.76194
121.777,8.44121
121.871,8.38567
121.972,8.64702
122.066,9.38045
122.194,11.1539
122.347,13.4228
122.46,14.2087
122.514,14.2467
122.674,13.5589
122.985,11.6559
123.044,11.5161
123.134,11.8165
123.219,12.9385
123.412,17.0129
123.499,17.6597
123.565,17.2903
123.748,14.7826
123.88,13.5865
124.106,12.8294
125.452,11.2064
126.637,10.4899
127.898,8.86298
128.091,8.52356
128.171,8.67883
128.225,9.12278
128.279,10.0047
128.339,11.5942
128.433,15.2645
128.538,19.3313
128.609,20.7312
128.633,20.8539
128.707,20.1726
128.936,14.4592
129.033,12.8856
129.113,12.0534
129.349,10.6367
129.763,9.04863
129.931,8.78541
130.235,9.10184
130.294,9.38458
130.353,10.1295
130.403,11.4376
130.443,13.1442
130.483,15.582
130.533,19.7515
130.607,27.8019
130.708,39.5061
130.774,44.6198
130.822,45.9361
130.87,45.1729
130.948,40.4079
131.101,27.543
131.173,23.031
131.231,20.463
131.31,18.1151
131.414,16.2523
131.539,14.9264
131.809,13.3063
132.184,12.0185
132.793,10.7251
133.222,10.3198
133.33,10.6347
133.397,11.4704
133.457,12.9512
133.529,15.7316
133.683,22.9281
133.74,24.5234
133.8,24.9412
133.884,23.5399
134.077,17.6327
134.176,15.6658
134.289,14.4232
134.495,13.4454
135.003,12.8058
135.84,11.9877
136.362,11.0127
136.495,11.3427
136.74,12.8527
136.79,12.9277
136.967,12.4032
137.234,11.3934
137.958,9.45861
138.008,9.43706
138.119,9.68157
