24-Cr-52(n,elastic) ENDF/B-VII.1
48247.7,26.81
48250.6,29.9295
48252.6,30.611
48254.6,29.9215
48257.4,27.0586
48265.2,14.2187
48267.7,10.8791
48270.1,8.54106
48272.3,6.94427
48274.6,5.7547
48277.1,4.87272
48279.9,4.18168
48283.4,3.64192
48287.8,3.21469
48293.1,2.90312
48302.4,2.60581
48315.0,2.42411
48339.9,2.32066
48348.2,2.31705
48393.6,2.39413
48494.3,2.76121
48640.4,3.49323
48801.6,4.56442
48957.7,5.93953
49078.4,7.33775
49189.0,8.88043
49309.5,10.9689
49430.1,13.5733
49550.7,16.805
49686.3,21.3391
49837.0,27.5352
50114.6,41.4793
50328.9,50.3359
50471.5,53.2533
50536.3,53.5097
50698.4,51.5087
51006.2,41.9928
51338.4,31.4973
51622.0,24.7818
51905.6,19.9837
52229.7,16.1114
52594.3,13.0965
52999.4,10.7886
53485.6,8.88779
54052.8,7.38015
54701.0,6.20584
55511.2,5.22
56321.5,4.59221
56767.1,4.43772
57040.4,4.54433
57196.6,4.81794
57293.1,5.20044
57381.6,5.88154
57437.9,6.6567
57487.1,7.76646
57522.3,8.9972
57557.5,10.86
57585.7,13.098
57609.8,15.856
57633.9,19.7795
57657.3,25.1527
57682.8,33.0805
57721.0,46.3626
57735.6,49.2458
57743.9,49.7136
57758.0,48.4082
57778.1,42.9323
57819.5,28.562
57842.0,22.5918
57863.1,18.4273
57887.8,14.9243
57912.4,12.4455
57940.6,10.4439
57975.7,8.73473
58018.0,7.38442
58067.2,6.36415
58137.6,5.46479
58226.1,4.80407
58354.8,4.26627
58547.8,3.84127
58893.6,3.46466
59593.4,3.08592
61041.1,2.64182
63373.6,2.17345
66751.7,1.69493
68205.5,1.52219
68216.5,1.54999
68230.8,1.64966
68249.6,1.53545
70606.4,1.27083
77920.7,0.570409
78787.7,0.489451
78801.1,0.500145
78807.2,0.536433
78819.3,0.675061
78822.2,0.684764
78827.0,0.658839
78837.7,0.535657
78843.3,0.503441
78851.1,0.490495
80894.7,0.30585
82610.8,0.167837
83519.3,0.104579
84074.5,0.0716219
84503.5,0.0492563
84831.6,0.0350576
85083.9,0.0258345
85336.3,0.0183001
85513.0,0.0142566
85664.4,0.0116069
85790.5,0.0100337
85891.5,0.00919844
85992.4,0.00876685
86042.9,0.00867017
86143.9,0.00887811
86270.0,0.00980482
86371.0,0.0110628
86471.9,0.012823
86598.1,0.0157831
86724.3,0.0195797
86875.7,0.0253818
87052.4,0.0339208
87203.8,0.0431968
87405.7,0.0578584
87607.6,0.0757735
87834.7,0.100316
88061.8,0.129857
88339.4,0.173281
88667.5,0.237916
88970.3,0.310478
89222.7,0.384975
89626.5,0.528174
90030.2,0.710223
90434.0,0.940099
90837.8,1.22901
91241.6,1.59096
91645.4,2.04339
92149.9,2.76134
92660.1,3.72699
93170.3,4.99276
93661.7,6.57408
94190.8,8.77103
94606.6,10.99
94757.8,12.1862
94820.1,13.1848
94856.0,14.5046
94876.8,16.1816
94891.0,18.4213
94900.4,21.03
94907.3,23.9559
94914.7,28.7045
94922.2,35.6554
94938.8,55.6125
94944.5,59.3802
94947.0,59.8388
94952.4,58.1051
94959.7,51.13
94972.4,35.9897
94979.7,29.4561
94987.1,24.9833
94994.0,22.1379
95004.5,19.4566
95015.0,17.8556
95035.9,16.183
95067.2,15.2016
95115.7,14.7884
95140.0,14.7666
95350.3,15.6962
96661.1,24.3665
97276.0,26.9241
97793.8,27.6332
98505.8,26.6547
100092.0,20.8909
101386.0,16.4024
102681.0,13.0679
103975.0,10.6738
105432.0,8.73677
106261.0,7.9448
106342.0,8.12979
106367.0,8.50193
106383.0,9.20755
106389.0,9.82189
106394.0,10.6801
106400.0,12.1079
106404.0,13.9182
106408.0,16.5577
106413.0,21.1835
106424.0,32.7269
106428.0,35.5329
106431.0,35.9634
106435.0,34.6496
106440.0,30.8386
106450.0,20.0261
106454.0,16.6175
106458.0,14.1196
106463.0,12.0597
106469.0,10.8041
106475.0,9.85964
106482.0,9.30182
106496.0,8.66821
106527.0,8.13183
106621.0,7.71442
107360.0,6.97505
109536.0,5.56087
109755.0,5.44809
109773.0,5.52536
109778.0,5.67253
109786.0,6.22815
109796.0,7.15959
109800.0,7.26845
109806.0,7.01637
109818.0,5.87644
109822.0,5.64847
109832.0,5.43444
111586.0,4.59051
111633.0,4.58431
111710.0,4.64714
111741.0,4.85473
111755.0,5.20861
111761.0,5.62051
111766.0,6.30102
111769.0,7.19882
111773.0,8.5565
111777.0,10.5556
111783.0,14.609
111789.0,18.9802
111793.0,20.7487
111795.0,21.0382
111799.0,20.3937
111803.0,18.0889
111813.0,11.0315
111817.0,8.89845
111821.0,7.40055
111825.0,6.36773
111830.0,5.64286
111834.0,5.25399
111844.0,4.90924
111853.0,4.75334
111888.0,4.54682
112102.0,4.36083
113000.0,3.99523
113020.0,4.08683
113039.0,4.5413
113040.0,4.5428
113050.0,4.3595
113062.0,4.04239
113096.0,3.95963
115162.0,3.20028
115177.0,3.28396
115185.0,3.52573
115197.0,3.99876
115200.0,4.03374
115205.0,3.93155
115219.0,3.35916
115228.0,3.2085
115849.0,2.94858
118029.0,2.08234
119055.0,1.55606
119696.0,1.135
120145.0,0.773436
120598.0,0.347892
120790.0,0.168109
120874.0,0.0994247
120926.0,0.0631931
120962.0,0.0419052
120988.0,0.0291994
121010.0,0.0204279
121028.0,0.0148868
121041.0,0.0115979
121052.0,0.00966115
121061.0,0.00855213
121071.0,0.00780368
121078.0,0.00767865
121087.0,0.00798278
121096.0,0.00883202
121106.0,0.0102521
121116.0,0.0126722
121127.0,0.0159649
121139.0,0.0208757
121153.0,0.0283012
121169.0,0.0391599
121187.0,0.0546031
121207.0,0.0762903
121229.0,0.106344
121253.0,0.14755
121279.0,0.203594
121306.0,0.27639
121333.0,0.367608
121367.0,0.511557
121403.0,0.706818
121439.0,0.957087
121475.0,1.27527
121515.0,1.72754
121555.0,2.31021
121595.0,3.05648
121639.0,4.0983
121684.0,5.44341
121732.0,7.30249
121787.0,9.97376
121943.0,18.8543
122004.0,21.2062
122055.0,22.039
122075.0,22.0902
122145.0,21.3222
122421.0,14.3783
122565.0,11.7087
122709.0,9.83513
122818.0,8.87875
122846.0,8.80314
122867.0,9.10513
122876.0,9.68359
122882.0,10.5124
122888.0,11.9418
122896.0,14.9012
122904.0,17.8255
122909.0,18.8341
122910.0,18.8913
122916.0,18.2069
122923.0,15.646
122932.0,12.1002
122938.0,10.4758
122944.0,9.47723
122954.0,8.66288
122970.0,8.11527
123007.0,7.59704
123146.0,6.73063
123397.0,5.73767
123752.0,4.83031
124166.0,4.13399
124674.0,3.54213
125400.0,2.95621
126416.0,2.38624
127868.0,1.78443
129102.0,1.38536
129538.0,1.30209
129625.0,1.29767
129857.0,1.33732
129988.0,1.42774
130097.0,1.59151
130162.0,1.76419
130228.0,2.04274
130279.0,2.39163
130319.0,2.79349
130357.0,3.33709
130388.0,4.00571
130416.0,4.84475
130442.0,5.90983
130465.0,7.297
130487.0,9.09116
130508.0,11.5
130526.0,14.38
130546.0,18.6033
130566.0,24.3217
130606.0,37.7259
130617.0,40.0523
130628.0,40.9695
130643.0,39.6086
130663.0,34.2882
130699.0,22.6446
130719.0,17.6978
130739.0,13.8946
130759.0,11.2323
130780.0,9.06276
130805.0,7.31456
130830.0,6.0164
130861.0,4.89617
130897.0,3.98306
130935.0,3.32967
130985.0,2.7255
131037.0,2.2922
131102.0,1.92366
131179.0,1.63288
131288.0,1.35819
131418.0,1.14466
131571.0,0.976627
131789.0,0.811189
132079.0,0.65476
132478.0,0.494463
132932.0,0.350821
133349.0,0.24302
133676.0,0.173149
133930.0,0.128793
134148.0,0.0982277
134293.0,0.0821982
134438.0,0.0700227
134547.0,0.0633552
134721.0,0.0583996
134749.0,0.0582447
134886.0,0.0605832
135009.0,0.0670335
135132.0,0.077665
135255.0,0.0934251
135398.0,0.118263
135541.0,0.151076
135725.0,0.206796
135909.0,0.279226
136073.0,0.358915
136257.0,0.469058
136441.0,0.603005
136666.0,0.802201
136932.0,1.09994
137219.0,1.51087
137505.0,2.03008
137832.0,2.78408
138160.0,3.74055
138520.0,5.07373
138814.0,6.45722
139011.0,7.65678
139142.0,8.81336
139224.0,9.98917
139285.0,11.5201
139326.0,13.2702
139361.0,15.6812
139393.0,19.1455
139448.0,26.9553
139470.0,28.3723
139472.0,28.3796
139496.0,27.0768
139556.0,19.6407
139590.0,16.7969
139624.0,15.0844
139662.0,13.9924
139715.0,13.2408
139817.0,12.8632
140044.0,13.5002
140892.0,17.2947
141498.0,18.8198
141983.0,19.1319
142891.0,18.2181
143341.0,17.4538
143365.0,17.7756
143401.0,17.2856
145415.0,13.4657
147306.0,10.9202
149198.0,9.22247
151731.0,7.73054
152869.0,7.25732
152899.0,7.29458
152911.0,7.5152
152919.0,8.02826
152925.0,9.00508
152938.0,11.3912
152943.0,11.7919
152950.0,11.3162
152964.0,8.51391
152968.0,7.99427
152976.0,7.46324
152984.0,7.28928
153349.0,7.05879
156949.0,6.01679
161063.0,5.22634
164936.0,4.71769
164990.0,4.77672
164999.0,4.97553
165008.0,5.49532
165024.0,7.25013
165029.0,7.42488
165035.0,7.15627
165051.0,5.44088
165059.0,4.93702
165066.0,4.79039
165100.0,4.70026
166082.0,4.58276
166120.0,4.69248
166158.0,4.58501
174554.0,3.8838
176765.0,3.72891
176875.0,3.76866
176918.0,3.90962
176934.0,4.09854
176947.0,4.45758
176954.0,4.9378
176960.0,5.60404
176966.0,6.66104
176971.0,8.17766
176976.0,10.2627
176989.0,16.6925
176994.0,18.3023
176999.0,18.7334
177004.0,17.9642
177010.0,15.6512
177022.0,10.0291
177027.0,8.19436
177032.0,6.88122
177039.0,5.86573
177045.0,5.24358
177053.0,4.79869
177064.0,4.47854
177089.0,4.15158
177126.0,3.96977
177239.0,3.81941
178228.0,3.68159
183906.0,3.41237
184464.0,3.48383
184614.0,3.6263
184686.0,3.81596
184727.0,4.04377
184768.0,4.47794
184794.0,5.03249
184812.0,5.65462
184826.0,6.43404
184838.0,7.47715
184849.0,8.87291
184859.0,10.7357
184868.0,13.1942
184878.0,17.0705
184897.0,25.215
184906.0,27.568
184910.0,27.8859
184917.0,27.0433
184927.0,23.8644
184946.0,15.3058
184956.0,12.056
184966.0,9.7485
184974.0,8.35367
184984.0,7.19924
184998.0,6.11212
185015.0,5.28374
185033.0,4.77264
185062.0,4.27041
185093.0,3.9787
185156.0,3.68395
185256.0,3.49998
185579.0,3.35458
189558.0,3.15923
189958.0,3.21452
190040.0,3.30984
190099.0,3.53461
190126.0,3.80753
190145.0,4.20611
190155.0,4.58773
190165.0,5.18218
190173.0,5.95096
190180.0,6.98862
190187.0,8.43897
190193.0,10.3838
190201.0,13.7236
190214.0,19.7658
190220.0,21.3899
190224.0,21.8159
190230.0,21.2382
190236.0,19.1045
190253.0,11.4747
190260.0,9.03442
190267.0,7.44364
190274.0,6.29377
190282.0,5.43848
190292.0,4.77727
190302.0,4.36647
190319.0,3.93707
190345.0,3.63017
190370.0,3.4702
190430.0,3.29777
190597.0,3.17115
192381.0,3.0489
198077.0,2.83546
198290.0,2.89182
198353.0,3.03469
198386.0,3.27681
198402.0,3.53704
198412.0,3.81745
198423.0,4.3227
198431.0,4.92545
198438.0,5.74597
198444.0,6.78615
198450.0,8.43021
198457.0,10.6245
198467.0,15.1534
198476.0,19.3125
198483.0,20.9668
198485.0,21.183
198492.0,20.5287
198499.0,18.2105
198515.0,11.3039
198522.0,8.92476
198529.0,7.32616
198536.0,6.23135
198544.0,5.39949
198555.0,4.64071
198568.0,4.17976
198589.0,3.7261
198614.0,3.45923
198661.0,3.21173
198752.0,3.03472
199027.0,2.90481
199479.0,2.85211
199542.0,2.87893
200385.0,2.80965
200642.0,2.80417
200900.0,2.84186
200959.0,2.93003
200985.0,3.0648
201000.0,3.26484
201012.0,3.61504
201019.0,4.08713
201025.0,4.72082
201030.0,5.58495
201035.0,6.79912
201042.0,9.06747
201052.0,12.7413
201058.0,13.9098
201061.0,14.0859
201066.0,13.6844
201072.0,12.3126
201086.0,7.27868
201092.0,5.95994
201097.0,4.99761
201102.0,4.28871
201108.0,3.81159
201116.0,3.45955
201129.0,3.18826
201151.0,3.00274
201202.0,2.86791
201432.0,2.78605
204656.0,2.67679
204695.0,2.71195
204705.0,2.82482
204726.0,3.2538
204730.0,3.27036
204739.0,3.15812
204757.0,2.77123
204770.0,2.68585
206768.0,2.61835
206825.0,2.65353
206834.0,2.76464
206844.0,3.05669
206858.0,3.56078
206863.0,3.63288
206872.0,3.48852
206889.0,2.84538
206895.0,2.72357
206908.0,2.6272
224861.0,2.1897
224903.0,2.20978
224937.0,2.40336
224968.0,2.21299
225068.0,2.18381
229303.0,2.12563
230645.0,2.17127
230973.0,2.25648
231152.0,2.40196
231261.0,2.627
231328.0,2.92092
231376.0,3.30508
231413.0,3.83448
231438.0,4.40199
231461.0,5.23044
231481.0,6.28107
231495.0,7.35455
231510.0,8.94356
231525.0,11.167
231540.0,14.3081
231572.0,21.7536
231581.0,23.2135
231589.0,23.6053
231599.0,23.0185
231613.0,20.6485
231644.0,13.1308
231660.0,10.2356
231675.0,8.29921
231690.0,6.91755
231707.0,5.82146
231724.0,5.04835
231748.0,4.27323
231780.0,3.66719
231811.0,3.28457
231865.0,2.88783
231937.0,2.61701
232027.0,2.4469
232206.0,2.3036
232608.0,2.22716
232733.0,2.22412
233677.0,2.31543
234196.0,2.47651
234215.0,2.53705
234224.0,2.69009
234231.0,2.97558
234239.0,3.52264
234252.0,4.62908
234259.0,4.89761
234260.0,4.90312
234266.0,4.74111
234275.0,4.0214
234285.0,3.24322
234293.0,2.88079
234302.0,2.68552
234320.0,2.60472
234330.0,2.60015
234466.0,2.6919
234612.0,2.92398
234700.0,3.21908
234755.0,3.57132
234797.0,4.07168
234828.0,4.68177
234850.0,5.43254
234869.0,6.36501
234885.0,7.60563
234898.0,9.19688
234910.0,11.1977
234921.0,13.8486
234933.0,17.7123
234963.0,29.7617
234973.0,32.1573
234977.0,32.3305
234984.0,31.66
234994.0,28.8888
235022.0,17.2679
235033.0,13.7754
235045.0,11.0611
235057.0,9.0563
235071.0,7.48176
235087.0,6.3595
235106.0,5.46797
235129.0,4.796
235159.0,4.27538
235196.0,3.91429
235254.0,3.64379
235358.0,3.52048
235490.0,3.61138
235667.0,3.93095
235873.0,4.55207
236050.0,5.36294
236227.0,6.53748
236404.0,8.18958
236758.0,12.417
236894.0,13.2892
236928.0,13.3333
237046.0,12.9181
237223.0,11.119
237477.0,8.15619
237671.0,6.45825
237848.0,5.36556
238025.0,4.58897
238261.0,3.87955
238555.0,3.31163
238909.0,2.89008
239381.0,2.55513
240088.0,2.27858
241149.0,2.06781
242711.0,1.92576
242740.0,1.92553
243004.0,1.96856
243087.0,2.06899
243126.0,2.21064
243150.0,2.39663
243166.0,2.64109
243178.0,2.96771
243188.0,3.41631
243196.0,3.9903
243202.0,4.77875
243208.0,5.74953
243213.0,7.10877
243219.0,9.23481
243227.0,12.5581
243239.0,18.2074
243246.0,20.2618
243250.0,20.6963
243256.0,19.9686
243263.0,17.7463
243279.0,9.95534
243286.0,7.64497
243291.0,6.21402
243296.0,5.12492
243302.0,4.35754
243308.0,3.75641
243316.0,3.25265
243327.0,2.86496
243340.0,2.5646
243359.0,2.33721
243391.0,2.14849
243445.0,2.0127
243576.0,1.91462
244204.0,1.84391
244731.0,1.83255
245561.0,1.88313
245602.0,1.95114
245650.0,1.89792
246056.0,2.03033
246302.0,2.21495
246487.0,2.47403
246641.0,2.85626
246748.0,3.29628
246841.0,3.87702
246918.0,4.60154
246979.0,5.43176
247041.0,6.6037
247095.0,8.04133
247152.0,10.1575
247201.0,12.6209
247273.0,17.2972
247345.0,21.9411
247390.0,23.3455
247398.0,23.3955
247439.0,22.6698
247497.0,19.6528
247595.0,13.6032
247657.0,10.7009
247719.0,8.628
247780.0,7.14589
247857.0,5.85468
247934.0,4.96777
248027.0,4.23498
248150.0,3.59438
248273.0,3.17789
248468.0,2.7687
248725.0,2.47293
249053.0,2.30432
249063.0,2.30391
249082.0,2.30761
249245.0,2.27181
249546.0,2.35477
249726.0,2.52607
249877.0,2.81094
249997.0,3.21892
250087.0,3.71847
250162.0,4.35186
250223.0,5.08127
250290.0,6.2535
250358.0,7.92229
250476.0,11.6235
250526.0,12.4729
250536.0,12.5116
250576.0,12.1265
250633.0,10.4747
250728.0,7.01961
250782.0,5.51404
250834.0,4.43841
250887.0,3.63709
250939.0,3.04813
250999.0,2.55833
251075.0,2.13767
251150.0,1.87597
251211.0,1.77414
251231.0,1.76594
251276.0,1.80779
251321.0,1.9643
251357.0,2.21184
251391.0,2.59883
251419.0,3.08382
251448.0,3.79326
251477.0,4.77074
251510.0,6.27951
251591.0,10.9309
251613.0,11.8261
251646.0,12.3218
251674.0,12.0417
251728.0,10.4767
251800.0,8.21218
251863.0,6.75332
251938.0,5.57519
252014.0,4.78968
252119.0,4.06996
252239.0,3.54752
252390.0,3.13051
252570.0,2.81052
252841.0,2.51379
253262.0,2.24934
253969.0,2.01455
255241.0,1.79823
256667.0,1.66893
256774.0,1.66726
257205.0,1.7147
257420.0,1.82838
257571.0,2.0228
257677.0,2.29436
257753.0,2.62966
257813.0,3.05396
257866.0,3.61973
257914.0,4.38988
257954.0,5.34191
257989.0,6.48884
258022.0,8.03422
258055.0,10.0978
258091.0,13.0333
258166.0,20.4762
258185.0,21.6656
258208.0,22.1778
258235.0,21.4237
258279.0,18.0794
258338.0,13.0909
258378.0,10.4897
258417.0,8.61374
258459.0,7.19391
258512.0,5.89942
258573.0,4.92317
258648.0,4.12326
258724.0,3.59488
258815.0,3.16682
