11-Na-23(n,&gamma;) ENDF/B-VII.1
35429.9,0.0175061
35433.2,0.0143705
35437.0,0.0117642
35441.6,0.00952766
35446.9,0.00770378
35453.0,0.00618823
35459.5,0.0050283
35467.2,0.00404303
35476.2,0.00322365
35484.9,0.00264608
35495.7,0.00212635
35506.0,0.00176379
35518.8,0.00143021
35534.2,0.00114613
35550.6,9.27387E-4
35569.1,7.49315E-4
35590.7,6.01271E-4
35615.3,4.81869E-4
35643.0,3.87333E-4
35671.8,3.17695E-4
35708.8,2.54763E-4
35749.8,2.05797E-4
35790.9,1.7121E-4
35840.2,1.41446E-4
35897.7,1.17304E-4
35971.6,9.62823E-5
36058.5,7.99806E-5
36145.5,6.89908E-5
36249.8,5.98829E-5
36423.7,5.08178E-5
36597.6,4.54338E-5
36806.2,4.15057E-5
37084.4,3.87619E-5
37501.7,3.71289E-5
37779.9,3.67682E-5
38753.6,3.81672E-5
39866.4,4.22207E-5
41257.4,5.02045E-5
42370.2,5.93412E-5
43483.0,7.20778E-5
44456.7,8.75843E-5
45291.3,1.05839E-4
46098.1,1.29688E-4
46765.8,1.56939E-4
47433.4,1.94215E-4
47989.8,2.37071E-4
48546.2,2.95436E-4
49047.0,3.69777E-4
49492.1,4.6119E-4
49881.6,5.72472E-4
50215.4,7.0345E-4
50549.3,8.84337E-4
50827.5,0.00109339
51105.7,0.00138441
51328.2,0.0017071
51550.8,0.00215238
51745.5,0.00269516
51912.5,0.00333022
52079.4,0.00419922
52218.5,0.00518076
52357.6,0.00650706
52496.7,0.00830162
52635.8,0.0107478
52774.9,0.0139499
53047.5,0.0213991
53164.4,0.0232899
53213.3,0.02349
53309.0,0.0227546
53445.3,0.0197399
53687.4,0.0131082
53832.0,0.0100107
53971.1,0.00778755
54110.2,0.00614301
54249.3,0.00493378
54388.4,0.00402545
54555.4,0.00321949
54722.3,0.00262582
54917.0,0.00211535
55139.6,0.00169188
55390.0,0.00134971
55668.2,0.00107801
55946.4,8.80669E-4
56280.2,7.08569E-4
56669.7,5.64278E-4
57059.2,4.61275E-4
57504.3,3.74509E-4
58005.0,3.03862E-4
58561.4,2.46648E-4
59229.1,1.97809E-4
59896.8,1.62636E-4
60620.1,1.34762E-4
61426.9,1.11765E-4
62400.6,9.14359E-5
63513.4,7.47542E-5
64626.2,6.26532E-5
66017.2,5.16274E-5
67686.4,4.23776E-5
69633.8,3.4922E-5
71581.2,2.97044E-5
73806.8,2.53957E-5
76588.8,2.16248E-5
79927.2,1.86118E-5
84378.4,1.60679E-5
89942.4,1.42527E-5
95506.4,1.33653E-5
99401.2,1.31788E-5
104409.0,1.36026E-5
106634.0,1.42336E-5
108860.0,1.55058E-5
110529.0,1.74037E-5
111572.0,1.95894E-5
112407.0,2.22426E-5
113137.0,2.60236E-5
113555.0,2.92215E-5
113972.0,3.36577E-5
114389.0,3.98442E-5
114754.0,4.79468E-5
115015.0,5.62034E-5
115224.0,6.50051E-5
115380.0,7.3369E-5
115575.0,8.67116E-5
115760.0,1.03958E-4
115941.0,1.27569E-4
116096.0,1.56087E-4
116235.0,1.91765E-4
116359.0,2.35936E-4
116468.0,2.89133E-4
116561.0,3.5181E-4
116654.0,4.38446E-4
116732.0,5.38742E-4
116809.0,6.79106E-4
116871.0,8.36194E-4
116933.0,0.00105126
116986.0,0.00131603
117032.0,0.00164079
117073.0,0.00203609
117107.0,0.00248711
117141.0,0.003108
117170.0,0.00384767
117197.0,0.00480531
117221.0,0.00596239
117243.0,0.00744373
117261.0,0.00916776
117277.0,0.0112778
117291.0,0.0137333
117305.0,0.0170997
117317.0,0.0209657
117327.0,0.0257145
117337.0,0.0316183
117345.0,0.0385252
117353.0,0.0475409
117360.0,0.0597071
117367.0,0.0751451
117373.0,0.0949835
117379.0,0.120828
117384.0,0.154361
117389.0,0.19736
117395.0,0.259612
117402.0,0.357567
117418.0,0.59674
117424.0,0.658886
117430.0,0.682564
117435.0,0.665301
117442.0,0.601604
117454.0,0.420961
117462.0,0.291429
117469.0,0.216301
117474.0,0.167402
117480.0,0.130526
117485.0,0.103245
117491.0,0.0831567
117497.0,0.0660042
117504.0,0.0530299
117511.0,0.0429082
117519.0,0.0348248
117528.0,0.0285077
117538.0,0.0229956
117551.0,0.0183943
117564.0,0.0148351
117579.0,0.0118366
117597.0,0.00944095
117615.0,0.00761199
117636.0,0.00613013
117661.0,0.00489457
117686.0,0.00397297
117713.0,0.003244
117745.0,0.00261705
117779.0,0.00213277
117818.0,0.00172833
117864.0,0.00137932
117911.0,0.00112722
117963.0,9.19729E-4
118024.0,7.4249E-4
118097.0,5.91823E-4
118175.0,4.77341E-4
118252.0,3.93764E-4
118345.0,3.20189E-4
118454.0,2.5844E-4
118578.0,2.08464E-4
118702.0,1.72125E-4
118857.0,1.39332E-4
119036.0,1.12945E-4
119214.0,9.3917E-5
119424.0,7.78597E-5
119664.0,6.46165E-5
119945.0,5.37991E-5
120231.0,4.58165E-5
120611.0,3.84551E-5
121087.0,3.23741E-5
121563.0,2.82224E-5
122134.0,2.47516E-5
122895.0,2.18105E-5
123656.0,1.99133E-5
124417.0,1.86384E-5
125939.0,1.71324E-5
128222.0,1.62091E-5
130506.0,1.59513E-5
134343.0,1.65439E-5
136658.0,1.76379E-5
137816.0,1.86734E-5
138974.0,2.05291E-5
139697.0,2.27397E-5
140276.0,2.55709E-5
140710.0,2.91053E-5
141072.0,3.41063E-5
141336.0,3.94159E-5
141572.0,4.68154E-5
141773.0,5.6377E-5
141915.0,6.61576E-5
142056.0,7.99643E-5
142180.0,9.75234E-5
142286.0,1.19148E-4
142375.0,1.44406E-4
142454.0,1.76304E-4
142525.0,2.1591E-4
142587.0,2.64086E-4
142640.0,3.20839E-4
142693.0,3.99701E-4
142741.0,4.98619E-4
142778.0,6.07403E-4
142814.0,7.51598E-4
142846.0,9.2686E-4
142876.0,0.00115331
142903.0,0.00144801
142926.0,0.00180706
142948.0,0.00226398
142966.0,0.00278932
142982.0,0.00348334
142996.0,0.00424876
143009.0,0.00526626
143021.0,0.00655922
143031.0,0.00814608
143040.0,0.0101965
143049.0,0.0127581
143055.0,0.0155087
143061.0,0.0192342
143066.0,0.0235237
143071.0,0.0290134
143076.0,0.0364674
143081.0,0.0458817
143085.0,0.0585205
143090.0,0.0769867
143096.0,0.103321
143103.0,0.146379
143117.0,0.232726
143124.0,0.261688
143130.0,0.27175
143137.0,0.260926
143144.0,0.227403
143162.0,0.116102
143168.0,0.0848212
143173.0,0.0640373
143178.0,0.0495265
143182.0,0.0395101
143187.0,0.0319031
143192.0,0.0256576
143197.0,0.0206824
143203.0,0.0165359
143210.0,0.0133877
143218.0,0.0107176
143226.0,0.00877551
143236.0,0.00700581
143247.0,0.00573522
143259.0,0.00465057
143273.0,0.0037373
143287.0,0.00307343
143306.0,0.00244419
143325.0,0.00197967
143345.0,0.0016144
143370.0,0.00130163
143396.0,0.00106101
143425.0,8.60712E-4
143460.0,6.88339E-4
143496.0,5.6416E-4
143536.0,4.61981E-4
143582.0,3.74942E-4
143632.0,3.07743E-4
143690.0,2.49719E-4
143755.0,2.03966E-4
143826.0,1.6796E-4
143903.0,1.39606E-4
144006.0,1.12684E-4
144115.0,9.28161E-5
144239.0,7.70157E-5
144381.0,6.44364E-5
144558.0,5.36676E-5
144782.0,4.46905E-5
144971.0,3.95728E-5
145313.0,3.35679E-5
145655.0,2.9804E-5
146065.0,2.68929E-5
146612.0,2.46397E-5
147160.0,2.33204E-5
148254.0,2.20357E-5
149896.0,2.15505E-5
153726.0,2.2546E-5
159199.0,2.59861E-5
164370.0,3.07157E-5
168748.0,3.67149E-5
172185.0,4.32148E-5
174935.0,5.01215E-5
177730.0,5.91063E-5
180520.0,7.18691E-5
183048.0,8.84684E-5
185110.0,1.08143E-4
186672.0,1.30187E-4
187585.0,1.49595E-4
188245.0,1.71918E-4
188602.0,1.91825E-4
188891.0,2.18196E-4
189098.0,2.49946E-4
189221.0,2.79484E-4
189345.0,3.2441E-4
189448.0,3.83242E-4
189529.0,4.54353E-4
189595.0,5.41694E-4
189652.0,6.51931E-4
189697.0,7.80794E-4
189739.0,9.5243E-4
189775.0,0.00115904
189805.0,0.0014087
189833.0,0.00174326
189857.0,0.00214712
189878.0,0.00263333
189897.0,0.00326772
189913.0,0.00399702
189927.0,0.00496089
189939.0,0.0060543
189951.0,0.00748836
189960.0,0.00912039
189968.0,0.0109751
189975.0,0.0134635
189982.0,0.0168072
189988.0,0.0206939
189994.0,0.0257007
190000.0,0.0325186
190005.0,0.0411196
190011.0,0.052609
190017.0,0.0692077
190024.0,0.0948193
190036.0,0.150684
190047.0,0.1942
190054.0,0.213304
190060.0,0.219074
190067.0,0.212514
190074.0,0.19223
190087.0,0.136362
190097.0,0.0917936
190104.0,0.0668509
190110.0,0.0512038
190115.0,0.0400548
190121.0,0.0318693
190126.0,0.0251005
190132.0,0.0201668
190139.0,0.0162071
190145.0,0.0132914
190153.0,0.0109323
190162.0,0.00881986
190171.0,0.00729867
190182.0,0.00592835
190195.0,0.00479152
190211.0,0.00385185
190227.0,0.00315007
190244.0,0.00259599
190267.0,0.00209341
190291.0,0.00171048
190320.0,0.00138722
190351.0,0.00114511
190386.0,9.52531E-4
190426.0,7.94689E-4
190478.0,6.5684E-4
190536.0,5.56222E-4
190605.0,4.73517E-4
190686.0,4.10834E-4
190801.0,3.56405E-4
190925.0,3.22428E-4
191048.0,3.01847E-4
191294.0,2.81543E-4
191602.0,2.74611E-4
192280.0,2.87903E-4
193142.0,3.29113E-4
194128.0,4.00906E-4
194990.0,4.90647E-4
195729.0,5.96923E-4
196468.0,7.42952E-4
197208.0,9.47883E-4
197824.0,0.00118503
198440.0,0.00150123
199080.0,0.0019365
200460.0,0.00305453
200953.0,0.00326579
201130.0,0.00328289
201594.0,0.0031699
202185.0,0.00277878
203318.0,0.00188303
203984.0,0.00148703
204523.0,0.00124588
205015.0,0.00107992
205729.0,9.05976E-4
206622.0,7.70371E-4
207443.0,6.92184E-4
208586.0,6.41689E-4
209515.0,6.31418E-4
213300.0,6.78808E-4
214871.0,6.5524E-4
216728.0,5.72021E-4
219871.0,4.01374E-4
221442.0,3.36026E-4
223228.0,2.83167E-4
225014.0,2.49217E-4
226799.0,2.33269E-4
227514.0,2.31241E-4
228942.0,2.37553E-4
230371.0,2.59267E-4
231442.0,2.89656E-4
232335.0,3.31528E-4
233049.0,3.79207E-4
233674.0,4.35872E-4
234388.0,5.28084E-4
234835.0,6.11946E-4
235103.0,6.77361E-4
235460.0,7.9389E-4
235728.0,9.29796E-4
235951.0,0.00112059
236085.0,0.00131647
236196.0,0.00158403
236263.0,0.00184054
236322.0,0.00217574
236372.0,0.0026049
236413.0,0.0031167
236445.0,0.00369487
236477.0,0.00453168
236502.0,0.00545146
236525.0,0.00666782
236544.0,0.00809247
236562.0,0.00996354
236578.0,0.0122235
236592.0,0.0152722
236604.0,0.0188467
236616.0,0.0235971
236626.0,0.0293478
236637.0,0.0371653
236647.0,0.0474238
236658.0,0.062237
236675.0,0.0918966
236692.0,0.120287
236703.0,0.131679
236710.0,0.133634
236721.0,0.128151
236733.0,0.112569
236761.0,0.0647433
236772.0,0.0494863
236782.0,0.0383159
236792.0,0.0303762
236803.0,0.0239945
236814.0,0.0193885
236826.0,0.0157869
236839.0,0.0130116
236854.0,0.010602
236870.0,0.00877348
236890.0,0.00713426
236910.0,0.00597495
236935.0,0.0049512
236965.0,0.00410667
236999.0,0.00346208
237040.0,0.00292192
237090.0,0.00250884
237151.0,0.00218955
237231.0,0.00193802
237338.0,0.00175955
237498.0,0.00164519
237686.0,0.00161197
238301.0,0.00171479
238943.0,0.00179779
238970.0,0.00179802
239532.0,0.0017332
240388.0,0.00146049
241083.0,0.00124465
241404.0,0.00119352
241511.0,0.0011895
241792.0,0.00123339
241993.0,0.00134315
242143.0,0.00151226
242243.0,0.00170128
242344.0,0.00199574
242429.0,0.00238365
242499.0,0.00286022
242558.0,0.00342326
242615.0,0.00420716
242662.0,0.00509883
242710.0,0.00636852
242751.0,0.00789235
242795.0,0.0100312
242845.0,0.0132456
242914.0,0.0181809
242947.0,0.0196952
242970.0,0.0200303
243003.0,0.0193347
243047.0,0.0167182
243125.0,0.0111671
243173.0,0.00850902
243214.0,0.00680747
243256.0,0.0055059
243306.0,0.0043955
243357.0,0.00356605
243415.0,0.00290049
243481.0,0.00236183
243553.0,0.00194617
243625.0,0.00164692
243713.0,0.00138145
243827.0,0.00114515
243950.0,9.66921E-4
244099.0,8.18777E-4
244272.0,6.98856E-4
244519.0,5.83372E-4
244815.0,4.91917E-4
245211.0,4.11135E-4
245688.0,3.45922E-4
246265.0,2.91326E-4
247089.0,2.38202E-4
248077.0,1.95172E-4
249230.0,1.60795E-4
250548.0,1.33551E-4
251933.0,1.13658E-4
253462.0,9.71661E-5
255501.0,8.19496E-5
258050.0,6.93127E-5
260598.0,6.05851E-5
263657.0,5.329E-5
267735.0,4.73909E-5
272832.0,4.37738E-5
275891.0,4.32321E-5
279969.0,4.46566E-5
283028.0,4.81325E-5
285678.0,5.42398E-5
287717.0,6.27507E-5
289144.0,7.25047E-5
290368.0,8.53016E-5
291387.0,1.01245E-4
292203.0,1.19974E-4
292917.0,1.43466E-4
293528.0,1.7175E-4
294038.0,2.04478E-4
294548.0,2.49991E-4
295007.0,3.0793E-4
295414.0,3.80474E-4
295771.0,4.68944E-4
296077.0,5.72835E-4
296383.0,7.15084E-4
296638.0,8.76099E-4
296893.0,0.00109076
297173.0,0.00141239
297453.0,0.00184398
298065.0,0.00299835
298302.0,0.00324562
298422.0,0.00327746
298707.0,0.00322418
298845.0,0.00330058
298942.0,0.00353628
299018.0,0.00396102
299069.0,0.00447217
299108.0,0.00506164
299146.0,0.00593201
299178.0,0.00701999
299208.0,0.00857624
299231.0,0.0102586
299254.0,0.0126226
299276.0,0.0157995
299294.0,0.0194288
299311.0,0.0243175
299332.0,0.0318011
299384.0,0.0558368
299403.0,0.0608004
299410.0,0.0612196
299426.0,0.0591457
299443.0,0.0528741
299488.0,0.0315318
299507.0,0.0245325
299526.0,0.019268
299543.0,0.0155404
299563.0,0.0124881
299586.0,0.0100247
299609.0,0.00819487
299637.0,0.00661541
299666.0,0.00546303
299700.0,0.00448992
299738.0,0.00373372
299781.0,0.00311805
299839.0,0.00254377
299897.0,0.00214664
299972.0,0.00178715
300053.0,0.00151266
300152.0,0.00127433
300285.0,0.00105362
300452.0,8.63953E-4
300636.0,7.18689E-4
300885.0,5.82481E-4
301133.0,4.87042E-4
301432.0,4.05079E-4
301796.0,3.35288E-4
302194.0,2.83445E-4
302591.0,2.49259E-4
303055.0,2.27337E-4
303289.0,2.23971E-4
303601.0,2.30454E-4
303835.0,2.48084E-4
304001.0,2.71757E-4
304171.0,3.13412E-4
304293.0,3.61261E-4
304391.0,4.17729E-4
304488.0,5.0055E-4
304556.0,5.83275E-4
304625.0,6.97964E-4
304683.0,8.34409E-4
304737.0,0.00100901
304788.0,0.0012445
304834.0,0.00154939
304873.0,0.00191425
304908.0,0.00236146
304939.0,0.00293383
304964.0,0.00357781
304988.0,0.00441155
305010.0,0.00547494
305029.0,0.00679138
305046.0,0.00833312
305062.0,0.0103264
305075.0,0.0127196
305089.0,0.0160228
305101.0,0.0200039
305113.0,0.0254238
305124.0,0.0325802
305137.0,0.0425993
305154.0,0.0603307
305178.0,0.0867739
305191.0,0.0954081
305200.0,0.0975096
305210.0,0.0950417
305223.0,0.0853116
305260.0,0.0457962
305273.0,0.0343377
305285.0,0.0264783
305297.0,0.0208809
305308.0,0.0168922
305322.0,0.0133422
305335.0,0.0108216
305351.0,0.00871886
305367.0,0.00711415
305384.0,0.00582604
305405.0,0.00472674
305428.0,0.00383462
305455.0,0.00307293
305483.0,0.00252071
305517.0,0.00202299
305555.0,0.00163057
305597.0,0.00132293
305646.0,0.00106792
305701.0,8.6278E-4
305766.0,6.95903E-4
305834.0,5.74974E-4
305914.0,4.71575E-4
306007.0,3.87305E-4
306114.0,3.20669E-4
306221.0,2.73706E-4
306399.0,2.20945E-4
306577.0,1.86302E-4
306790.0,1.58001E-4
307004.0,1.39363E-4
